,It 0,It 1,It 2,It 3,It 4
0,-23.56641797073613,-113.7955728100841,-111.1725917847155,-93.30473739875784,-97.85795720572474
1,-22.155395163175513,-100.5360880451178,-111.1188323860094,-93.31312317721127,-97.9925565590049
2,-23.77386277732651,-112.72420326304808,-111.25317773268821,-93.26827407850236,-97.75976387920882
3,-23.834559664815522,-100.39071253437444,-111.52312079615209,-93.44093546591365,-97.73625115850761
4,-23.80799248257367,-100.46078280489799,-111.07782782006946,-93.45699009527235,-97.71299268772833
5,-23.83618920159238,-100.56095851590426,-111.27565291961623,-93.168305966852,-98.09257590880912
6,-23.839078806573447,-101.24023614492178,-111.37613408467561,-93.4023829846169,-97.87962543063813
7,-23.583068296783132,-112.53837205987688,-111.4117095526432,-93.27403437660433,-97.8961779930937
8,-23.83814679609719,-100.39403537651924,-111.1307026599672,-93.19759988465769,-16.18091566541996
9,-23.83557507396648,-100.55195794639779,-111.17218728932863,-93.34207987022803,-97.74050594507763
10,-23.839332360665054,-100.36818949262589,-111.39485108933124,-93.38058724922323,-97.69106873905724
11,-21.951012958893447,-100.45600522407024,-111.3162588636654,-93.27934924787135,-97.7917375422077
12,-23.837954960882424,-100.34997174880777,-111.37283447818535,-93.31761056817501,-97.72202333518212
13,-21.958034429263854,-100.32292030512859,-111.27043879992546,-93.25751548153558,-97.74642339035442
14,-22.151296921970953,-112.5258073859176,-111.35478846555203,-93.33037988595012,-97.95105360662038
15,-23.84104364432836,-112.81630294575388,-111.2522598502397,-93.29192920905588,-97.91924082348993
16,-23.558682385132514,-100.48584509109563,-111.41409521733512,-93.29275954179931,-97.87111851208479
17,-23.800597676276926,-100.47331166161942,-111.09045306903342,-93.27641656022418,-97.79803350603817
18,-23.808731089272282,-112.6351496936488,-111.11379360753546,-93.20710415419836,-97.92081186129944
19,-23.841803550314953,-112.9733473540068,-111.27048747041356,-93.20240525019712,-7.181079257417896
20,-23.78823050963124,-100.58284379213482,-111.22269474936711,-93.1213535842817,-97.76277173645065
21,-23.56178295427102,-100.4866773468878,-111.401011781297,-93.27381562045434,-97.87259102066707
22,-23.250422388051028,-112.63858566051938,-112.19125097070258,-93.0530288982975,-1.7334402824425201
23,-23.650195544125083,-100.81376787337858,-112.07611692458073,-93.07374577057894,-3.377184377292287
24,-23.24227149918275,-112.89085849050123,-112.11146273373146,-93.61616299868972,-1.6045040183745174
25,-23.47485120398368,-99.94530169732775,-111.92114551114997,-93.42867850550913,-1.7935242702717078
26,-22.260630660870756,-100.32246440063219,-111.15473237003603,-93.32431382913623,-97.98393916411062
27,-22.070341947647865,-100.4868416590748,-111.27315203664824,-93.2436120678876,-6.190651444297605
28,-22.129609211757245,-100.37596412541167,-111.29320459488065,-93.24354244884736,-97.98401778346052
29,-22.08060224636406,-112.99332725024138,-111.11538432711208,-93.18506096173307,-97.85858746754953
30,-21.949097249029723,-100.50744963691524,-111.19332458667085,-93.25925408278887,-98.1048563918712
31,-21.878946192254514,-112.96233350046678,-111.33828435263054,-93.18810976851266,-14.091101819743754
32,-21.828616969922717,-100.34071953222866,-111.29275034180345,-93.35423684667155,-98.35705654675762
33,-22.088114315017034,-100.37396124608868,-111.41428472603671,-93.27486190652773,-97.81929268884767
34,-21.96272993286255,-112.64253634829214,-111.36469046830025,-93.19280918448011,-97.78858429854984
35,-21.82958118453855,-112.78234221946417,-111.33834855316995,-93.15947665579641,-97.96321808140539
36,-22.121218032236133,-112.74914468979914,-111.20139062258849,-93.28648114737034,-4.22236820142216
37,-21.943705987261456,-101.44536107571524,-111.14336004489,-93.34510131032167,-98.07397414482246
38,-21.97029899121101,-100.35003117359263,-111.28496723765663,-93.33154768704205,-13.238159440735172
39,-21.82644514495802,-112.58192036250094,-111.13988730629812,-93.27787959510286,-3.547341437267542
40,-22.087974452590757,-100.58793789907138,-111.29990896192267,-93.31460339080209,-97.84544325038225
41,-22.080831112941695,-100.38839732674906,-111.3870095557485,-93.27459490098781,-97.79190030592238
42,-21.804823316150074,-101.60520213118816,-111.29799599698342,-93.2824106664703,-97.89584907440484
43,-22.13056843234348,-100.43663943164597,-111.18398609926923,-93.31373644430842,-98.04724463594891
44,-21.94335006382933,-100.41454103635441,-111.13818548933773,-93.1482729305819,-98.51287548289851
45,-22.021574152671388,-113.64256810828842,-111.43771509085192,-93.2871091456284,-97.75718053696063
46,-22.202904559110582,-100.7552054045976,-111.41396412805514,-93.34713866611973,-7.583484143250207
47,-21.804265634204405,-113.8553904775066,-111.24803857581287,-93.09680526253543,-97.80643729400069
48,-21.96413913601336,-100.35103198220732,-111.11980096596774,-93.25257240317998,-9.612608864912008
49,-22.030771067060783,-112.4637783805894,-111.42759507981494,-93.17176296228845,-98.36871124931052
50,-22.26069684525273,-100.34948841869529,-111.45218629137847,-93.17820517148868,-97.65931139281412
51,-22.037739695785074,-100.5068334294005,-111.08703003548396,-93.29606608858099,-97.84296076279685
52,-21.805478115607702,-112.91382725318289,-111.44193802731034,-93.20928040662861,-98.45154134472833
53,-22.078120883893483,-100.47701409454515,-111.1133535967997,-93.34005513117106,-97.96326961035794
54,-22.252427190732504,-100.60838371591755,-111.37647912761413,-93.36698533299185,-97.74777517928804
55,-22.13099737804203,-100.49652174844138,-111.32130446653998,-93.2625788384666,-97.82698501646387
56,-22.07978237205376,-100.21065747184645,-111.15885051106537,-93.19270816429525,-98.15743501859112
57,-22.048528457205062,-100.45155268658333,-111.33011348164435,-93.33914950779774,-98.20165941776258
58,-23.96077251209981,-100.33322470012276,-111.1345787360617,-93.1312865644494,-97.90459540856428
59,-22.125254472212404,-112.63839268590309,-111.1220903586691,-93.3061669637618,-97.87224670229813
60,-22.04459279325491,-100.71579718788357,-111.29935511944691,-93.28873504352104,-97.82176603942769
61,-22.12716878303313,-113.60608483046371,-111.1044170544368,-93.15775068888084,-6.014337034637386
62,-21.91420939344676,-100.51229158572605,-111.50153711780783,-93.1555876487147,-1.943165758343964
63,-21.24792016055268,-112.81145550184573,-101.1548121048895,-93.13988680738115,-1.8322288189271811
64,-22.22685360913388,-100.54560412023123,-101.22864611775056,-93.32431796487762,-1.9874282138628325
65,-21.983695046414596,-100.45644125955646,-112.16217986748026,-93.51494833845362,-1.7814019963362853
66,-21.8748351353065,-100.95589580693725,-112.14422349520571,-93.06450475623272,-1.7654295643791278
67,-22.151516296388014,-100.37649005854142,-111.47368702254072,-93.29971581495433,-97.70862104706256
68,-23.58407787092265,-100.46382815120369,-111.24657205003997,-93.24649659473782,-14.425365258899241
69,-23.85196842175293,-100.39886829800062,-111.14339199939013,-93.16601480118379,-4.275470431588203
70,-22.154092529355587,-100.41766483025415,-111.31286828584193,-93.28365572805609,-97.88544533570895
71,-22.157535622388064,-100.40208706857509,-111.30110872313628,-93.21844981515306,-98.14159017937894
72,-21.945315603627446,-100.80834546477871,-111.18625478214709,-93.21185059417714,-97.7974938696383
73,-23.668418263748986,-100.63661265066825,-111.35105992533744,-93.17288659133521,-97.84168130437936
74,-23.571177797432394,-100.3910014385025,-111.27364284635553,-93.44510837706993,-97.98921653155463
75,-23.66806782780696,-112.68469317775794,-111.26651779141432,-93.16431775803375,-97.8141618595908
76,-23.598789783701772,-100.39490586295088,-111.1153605505433,-93.38914351506112,-97.858244793069
77,-23.77666747289081,-100.78602998491982,-111.21511801386934,-93.43570383951767,-97.7394766831117
78,-21.945463100673297,-100.48270375586685,-111.18201612125337,-93.2107712753599,-97.73543693484676
79,-23.779820007922467,-100.44956686267322,-111.15407504102711,-93.26188352994062,-97.90049441803231
80,-22.16494350062122,-112.96316920658279,-111.30271037603946,-93.44252492447477,-97.75340808471253
81,-23.810671385258694,-101.03760309688859,-111.37765730215298,-93.39317650120485,-98.1586418060859
82,-23.784754316390252,-100.63974421705632,-111.56595129568657,-93.33705254876435,-3.792719582455777
83,-22.12660394932929,-112.84092133032314,-111.29707749108081,-93.12057780827512,-97.82157158204355
84,-23.836501922776463,-100.51499256945156,-111.33043690872316,-93.27291512130472,-98.10560708774642
85,-23.558033421536848,-100.61860066003302,-111.30148908560817,-93.3798386851193,-97.8925047750366
86,-21.96966269973682,-100.38732669402702,-111.49051802595417,-93.18493858565336,-14.528447600633228
87,-23.667678120401817,-113.86822339320773,-111.19063693954051,-93.26996943089851,-97.87011354768983
88,-23.589856594670014,-112.91307371046364,-111.23217155941421,-93.30523909398964,-98.10863520362477
89,-23.96232376007273,-100.53829869782427,-111.30967369222921,-93.30927819066048,-98.01442220138463
90,-23.586684852212034,-100.40764829822405,-111.42357571192109,-93.43782072868392,-97.79186199024637
91,-23.863674932922887,-100.37633607490861,-111.27650494910435,-93.31991639131316,-97.85804174824176
92,-22.164910822514095,-112.88224857449532,-111.09273424686849,-93.24564777107095,-6.536064579407904
93,-22.12506637459166,-100.51703765307273,-111.34127181216066,-93.16335285477778,-97.8296070682401
94,-23.829025388716406,-100.48353727237314,-111.17434586463287,-93.28695959032365,-97.82464405800495
95,-23.55317162138625,-100.38601541013135,-111.09453245805855,-93.25343955222336,-98.06490783524157
96,-23.580293952765476,-100.37459844844369,-111.30256446077333,-93.26600576204702,-97.75668966652795
97,-23.594413090651255,-100.5692111725922,-111.41861920070866,-93.42027776190794,-98.0249922691087
98,-23.865877652680325,-100.54321069665215,-111.35763954183615,-93.28488268201116,-98.02301426141243
99,-22.157917813729394,-100.615737048458,-111.12486904087321,-93.33057571604778,-98.0433633396534
