,It 0,It 1,It 2,It 3,It 4
0,-101.53835661434445,-156.2451186045531,-172.0565760420958,-179.25687137812847,-177.18039756029864
1,-101.5380573475721,-156.24243534492874,-172.05505345541485,-179.22793049241267,-177.13926899838904
2,-101.71170542124287,-156.2262020071961,-172.04724319904855,-108.46094677775478,-177.16558186851773
3,-101.56368174183369,-156.2309868472776,-172.0537769552022,-179.25603119066767,-177.18883435011242
4,-101.5632718864816,-156.232312316276,-172.22726673358244,-179.20264270110218,-177.19969935212927
5,-101.55989237367052,-156.26683405201499,-172.10070090086012,-179.2278776365193,-177.2259120107072
6,-101.55765087720815,-156.222274676632,-172.02324596983502,-179.19481812867807,-177.18597707930664
7,-101.56530482427404,-156.2157908161629,-172.12386983509765,-179.26675600589726,-177.13780440345738
8,-101.55984530586936,-156.21667095278315,-172.053744637688,-179.26595942893536,-177.1789171684287
9,-101.56118790383017,-156.22452758986736,-172.7236658626249,-179.14969437879984,-177.2313519023423
10,-101.58250104524072,-156.2670261952708,-172.7358796136001,-179.15396068020266,-177.20447293034778
11,-101.56392029351431,-156.2169135280101,-172.72673812420237,-179.1945864587728,-177.2019651169953
12,-101.5725712439809,-156.2402609786632,-172.68320095890456,-179.22544497042125,-177.22880620596953
13,-101.55017819648175,-156.25710775405094,-172.68287941491562,-179.1984032809285,-177.18165318243226
14,-101.56370447751321,-156.2563604392414,-172.7380050188409,-179.1529357288204,-177.17194483035576
15,-101.55057787822125,-156.24634599744576,-172.21432091323783,-179.22840173511617,-177.21465254375423
16,-101.57242062513903,-156.2622945161684,-172.21336381825122,-179.19755611452436,-177.17829325929304
17,-101.55751687176402,-156.21166541641503,-172.0732369192112,-179.2604690808819,-177.196058016758
18,-101.56078157555189,-156.23490999488394,-172.73039600568333,-179.22497270186594,-177.20659453315372
19,-101.55911414050374,-156.24121190596605,-172.67073056067778,-110.49066663802601,-177.18543084162
20,-101.56444111439897,-156.2467912439094,-172.10025977906895,-179.2638923940265,-177.20807363118377
21,-101.5605127947703,-156.2511260662065,-172.01697502757136,-179.19107522396533,-177.22055221809097
22,-101.56233128785652,-156.23671427179673,-172.79636129741687,-179.19351954432366,-177.2177266600606
