,It 0,It 1,It 2,It 3,It 4
0,-20.976023,-35.899723,-111.027725,-101.1486,-32.835514
1,-115.432045,-128.00227,-120.18291,-114.18364,-29.870558
2,-116.24393,-117.322464,-118.677505,-114.439026,-113.25291
3,-116.5058,-116.35808,-119.822784,-120.03798,-111.49719
4,-118.69681,-119.64929,-112.76822,-117.28606,-115.90608
5,-118.7985,-116.632935,-117.28591,-120.78339,-21.684113
6,-118.0249,-14.297537,-117.251686,-118.670265,-21.42671
7,-120.1548,-32.81641,-117.37521,-46.97341,-119.43515
8,-29.261917,-103.14601,-117.48682,-115.22433,-20.332537
9,-116.39039,-132.60112,-118.2439,-111.97794,-104.33444
10,-24.882483,-29.887291,-127.88118,-109.628136,-22.414793
11,-22.200274,-110.828545,-117.82193,-32.69961,-103.724266
12,-25.648201,-27.101357,-120.2413,-109.00255,-9.91404
13,-106.113525,-102.51475,-112.253395,-104.78884,-103.374565
14,-113.94931,-24.636774,-22.99183,-29.27279,-109.34734
15,-25.05992,-103.9659,-106.69058,-103.13588,-123.94361
16,-112.11547,-26.006512,-114.8249,-30.548906,-105.99937
17,-107.52835,-102.955956,-119.90844,-105.94927,-111.72829
18,-25.47392,-107.36845,-104.876755,-28.429852,-105.90331
19,-35.847748,-28.057922,-109.36239,-105.98286,-112.66963
20,-117.7165,-111.0916,-30.678276,-107.601616,-24.205103
21,-25.265373,-25.000532,-27.49903,-26.576614,-106.96702
22,-27.753786,-29.803598,-105.67442,-101.73938,-19.222979
23,-31.712172,-119.93352,-24.247272,-28.145426,-19.632286
24,-110.689224,-106.65044,-110.60844,-34.806934,-101.47269
25,-112.02421,-113.05115,-113.18532,-116.96936,-104.275696
26,-28.621029,-121.13638,-110.16281,-105.29114,-112.38291
27,-23.499985,-107.616486,-17.215218,-18.443125,-106.579636
28,-104.736145,-109.87126,-104.66795,-110.99183,-98.332535
29,-24.84195,-102.249214,-28.836315,-108.70511,-20.785093
30,-114.83697,-26.077868,-102.006134,-22.768179,-20.867794
31,-24.43112,-101.88196,-108.39088,-28.461334,-18.461884
32,-105.13505,-110.7119,-22.116201,-25.046951,-16.566246
33,-122.53259,-21.852869,-103.2736,-103.48251,-111.19118
34,-113.064766,-24.985287,-102.591286,-112.915,-28.905012
35,-22.450283,-26.416094,-111.1334,-113.073204,-25.28929
36,-24.930151,-115.18802,-109.23259,-108.78534,-106.71284
37,-26.46563,-114.53885,-110.79462,-113.360016,-102.39078
38,-19.728676,-103.96541,-101.910736,-102.757195,-26.918715
39,-26.41679,-24.106857,-100.7355,-123.22172,-13.444131
40,-24.10919,-111.508026,-110.98894,-30.872175,-30.57242
41,-100.7764,-111.75677,-23.283384,-31.724531,-19.845863
42,-110.86071,-106.16901,-17.422892,-101.6205,-110.474
43,-33.176613,-124.4086,-23.758915,-106.79405,-100.15741
44,-17.097311,-111.971504,-29.18094,-116.27652,-16.348354
45,-24.457712,-19.489996,-102.25988,-26.213797,-19.402687
46,-103.80759,-109.67587,-25.485888,-36.869064,-100.59717
47,-15.261008,-113.96198,-25.19005,-102.69083,-30.015202
48,-106.97034,-115.12239,-22.043003,-111.32502,-98.56701
49,-31.609133,-101.58477,-19.973015,-108.73888,-104.96264
50,-24.315569,-21.652088,-28.604355,-23.437305,-99.53053
51,-28.893042,-111.30031,-20.259075,-25.41669,-108.73409
52,-30.095991,-116.02457,-24.181309,-30.97637,-19.698687
53,-105.48599,-104.535934,-102.35014,-21.098625,-37.35701
54,-103.03488,-30.92765,-102.94198,-102.51019,-97.1191
55,-28.18636,-23.288662,-19.254618,-107.28455,-113.823746
56,-119.33209,-113.19895,-111.78798,-102.99513,-104.272385
57,-133.0715,-103.420715,-25.867214,-27.453253,-18.83219
58,-16.21964,-103.72233,-24.501389,-120.08602,-31.003082
59,-108.3505,-107.37783,-100.19151,-24.411238,-25.040337
60,-111.74166,-103.02369,-22.028484,-24.597324,-20.351152
61,-100.2201,-24.031174,-116.14447,-103.329956,-17.641586
62,-18.351078,-18.114393,-19.071087,-113.13696,-19.36513
63,-111.28503,-22.821047,-121.22374,-12.916441,-98.82937
64,-107.30502,-28.098688,-99.007416,-113.02245,-111.628685
65,-17.306465,-26.988083,-22.870173,-115.65634,-23.362635
66,-102.448975,-18.896612,-16.778328,-107.136475,-22.473005
67,-23.32682,-103.21121,-27.415539,-30.836113,-102.90394
68,-27.861544,-114.55295,-28.948292,-102.24583,-18.932644
69,-101.855675,-118.80925,-20.666725,-26.727957,-26.148832
70,-99.14899,-102.41517,-25.789167,-110.772026,-124.2831
71,-108.77017,-30.073235,-100.49489,-32.21953,-101.08993
72,-18.002111,-26.171768,-95.491905,-29.245363,-102.63551
73,-19.486155,-26.828007,-21.310282,-15.472962,-102.03497
74,-13.804154,-103.2718,-99.6726,-102.83656,-25.558004
75,-15.681153,-104.46299,-117.82706,-14.731929,-26.330797
76,-21.031595,-27.18645,-10.18855,-19.092411,-20.20151
77,-23.916933,-28.335522,-22.872484,-28.311625,-99.96661
78,-29.161928,-104.95606,-113.3573,-119.83177,-25.089518
79,-100.169304,-102.98208,-17.871529,-104.02179,-24.870697
80,-15.5125885,-37.251396,-22.46866,-24.84721,-24.573195
81,-21.18576,-119.177635,-21.59497,-103.56802,-21.764744
82,-111.857735,-23.996712,-25.58285,-112.61047,-100.54522
83,-23.927345,-26.39256,-108.03877,-119.25499,-24.620113
84,-114.07101,-30.89805,-23.101212,-22.183132,-106.846794
85,-39.01328,-119.37121,-104.56375,-101.00667,-112.47028
86,-16.083399,-97.64828,-110.92487,-29.617409,-110.36749
87,-11.641703,-32.50467,-100.48077,-102.9797,-23.94275
88,-115.14802,-19.291164,-30.912777,-114.222275,-116.034515
89,-108.1244,-14.26589,-23.283806,-25.436508,-17.796053
90,-109.41108,-100.53056,-103.01384,-105.13448,-20.581215
91,-105.71986,-31.525717,-14.122967,-24.00372,-114.78647
92,-14.605429,-99.97639,-97.62359,-101.94696,-115.84675
93,-21.360466,-109.60754,-102.73749,-101.17213,-24.9324
94,-17.723303,-102.770645,-107.11634,-119.45253,-26.523224
95,-101.39725,-102.19921,-19.277035,-22.860558,-109.97031
96,-20.921207,-117.25946,-110.79115,-114.65806,-28.619682
97,-15.42287,-22.622183,-101.41748,-101.14235,-28.149103
98,-101.872955,-14.340892,-116.36131,-24.360048,-29.393852
99,-22.447084,-19.489717,-105.93789,-102.349335,-104.11483
100,-14.876606,-101.196884,-100.11819,-94.35708,-27.71071
101,-103.0621,-100.0419,-101.24253,-103.17622,-30.737402
102,-117.374596,-24.382318,-98.469826,-112.3425,-28.71926
103,-19.004631,-35.680313,-22.21572,-107.23576,-99.938866
104,-17.58227,-16.934113,-27.760519,-24.822529,-111.20322
105,-20.241793,-18.502157,-102.80075,-99.61138,-132.12666
106,-32.19628,-22.26405,-18.331167,-95.341064,-112.01488
107,-98.20589,-104.10467,-112.41104,-118.5865,-109.26179
108,-19.897943,-104.729965,-98.13258,-115.40343,-108.8165
109,-106.05474,-14.214501,-101.775894,-112.37572,-110.32832
110,-24.226048,-99.79695,-96.32908,-100.370995,-106.59501
111,-109.46524,-112.51833,-97.1629,-105.44901,-101.1427
112,-108.11074,-104.01306,-99.30752,-21.746704,-24.641676
113,-20.816912,-113.635544,-101.54287,-99.71808,-101.141815
114,-18.707367,-117.00484,-18.240341,-96.5985,-104.89658
115,-18.1439,-102.49152,-98.9309,-17.833107,-106.311714
116,-105.598206,-31.598522,-22.663755,-97.51986,-27.90897
117,-23.858274,-101.701355,-98.87599,-109.60008,-20.34478
118,-25.458115,-100.64305,-25.447664,-113.627625,-102.756485
119,-107.38784,-102.50509,-29.006323,-20.041689,-33.834644
120,-22.830801,-17.775574,-114.54413,-21.591658,-98.12883
121,-25.76397,-24.8144,-104.49105,-116.790245,-102.78295
122,-23.923128,-99.319954,-14.19275,-104.32333,-101.4712
123,-19.180155,-19.160059,-16.79835,-29.55717,-104.78803
