,It 0,It 1,It 2,It 3,It 4
0,-99.69244,-116.624954,-135.715,-100.53856,-110.39758
1,-100.38154,-109.85918,-47.022575,-43.193233,-29.572447
2,-113.303635,-118.36433,-134.21869,-118.53819,-39.83057
3,-116.70712,-35.65931,-111.48841,-118.38881,-32.82372
4,-122.61064,-28.02659,-116.190605,-108.78475,-39.142944
5,-113.89732,-35.07864,-123.9599,-116.049,-128.71355
6,-127.74515,-103.95979,-116.47081,-120.864624,-39.26651
7,-108.49571,-99.26035,-116.994125,-108.83558,-117.5327
8,-107.36353,-111.60911,-32.645905,-25.135782,-117.2738
9,-109.87757,-105.58667,-30.19041,-112.12091,-103.23727
10,-40.5321,-104.57187,-26.497934,-109.97958,-121.45471
11,-32.28684,-114.44737,-27.993317,-112.53988,-108.005905
12,-38.346386,-102.7085,-20.279379,-115.178406,-17.28379
13,-118.3035,-17.28276,-24.014402,-126.851,-25.087252
14,-17.574318,-17.28003,-18.422894,-107.0168,-110.32917
15,-25.577013,-105.27048,-107.06548,-126.74393,-119.52991
16,-119.10661,-92.66731,-23.41525,-101.58869,-105.88635
17,-22.473518,-112.70897,-108.58876,-107.64653,-104.906715
18,-33.29626,-117.421196,-103.527534,-26.959927,-102.359215
19,-102.33116,-106.17515,-117.188286,-106.659134,-26.741745
20,-17.243868,-114.14519,-113.13507,-114.51182,-101.40131
21,-23.63059,-17.460234,-110.191956,-106.89688,-31.268215
22,-17.553656,-19.886032,-27.850683,-132.20152,-102.69728
23,-119.42904,-109.17872,-27.560242,-21.17687,-100.12578
24,-102.08705,-122.37892,-113.47362,-108.24946,-27.245146
25,-24.777975,-106.2042,-23.03674,-24.11905,-101.39756
26,-18.319038,-116.039215,-24.612545,-101.65416,-96.914894
27,-19.064674,-27.049526,-22.533974,-112.184654,-101.54982
28,-18.128122,-17.12774,-31.466434,-11.702282,-101.20835
29,-109.065186,-111.78094,-18.56259,-135.91295,-33.16124
30,-104.59623,-104.65712,-23.689867,-105.76734,-101.354965
31,-30.253487,-103.49862,-114.24511,-13.700686,-102.60919
32,-106.40262,-27.651936,-30.434708,-106.8247,-23.99695
33,-104.59437,-100.79236,-102.91238,-113.431496,-103.619514
34,-106.69351,-103.20308,-23.433884,-111.71808,-105.91364
35,-24.225231,-24.5407,-108.24086,-99.08088,-113.692505
36,-98.910355,-29.86874,-107.38696,-105.18415,-99.62293
37,-22.116848,-102.84617,-105.66106,-109.04049,-28.528805
38,-113.225845,-104.85407,-15.199465,-22.875246,-21.565535
