,It 0,It 1,It 2,It 3,It 4
0,-21.97714,-29.074446,-125.87112,-35.54601,-21.288094
1,-121.812614,-114.64796,-31.18032,-127.02622,-116.33261
2,-120.320786,-119.99981,-38.49498,-119.19441,-120.14365
3,-116.42278,-117.71188,-115.7486,-122.9294,-113.8193
4,-119.00637,-126.34008,-118.86053,-117.64468,-113.73446
5,-17.502232,-115.315445,-126.731094,-118.77794,-115.247505
6,-115.97023,-110.781906,-114.8564,-33.601288,-112.34173
7,-25.232567,-128.89622,-19.05495,-34.64321,-119.12477
8,-119.09231,-120.56843,-15.46385,-28.34081,-119.275925
9,-20.592514,-113.38817,-15.251344,-110.33742,-111.19715
10,-102.50612,-114.853645,-106.407104,-102.70957,-107.492065
11,-107.001274,-114.114136,-111.81563,-116.53696,-25.831244
12,-130.03598,-146.86674,-117.21919,-115.18677,-27.74134
13,-29.927542,-116.545876,-17.11377,-112.87503,-105.289795
14,-106.41969,-112.53508,-108.55381,-22.80597,-110.74728
15,-106.48511,-108.26541,-121.04657,-105.60982,-36.56667
16,-106.69373,-114.3197,-104.66177,-112.91522,-103.359024
17,-114.96088,-106.813385,-102.03272,-20.871002,-14.4196205
18,-120.65214,-117.98733,-102.53786,-26.384851,-105.0578
19,-105.87437,-112.41913,-18.739315,-118.57945,-106.4353
20,-28.970762,-109.38829,-95.88708,-110.323425,-108.580574
21,-20.74552,-19.110403,-20.483648,-17.44189,-101.83409
22,-22.865896,-105.27127,-20.114569,-110.68898,-106.87728
23,-22.322899,-23.304802,-100.310524,-106.86356,-14.497227
24,-26.051367,-25.407175,-111.86293,-28.40617,-100.23349
25,-22.889479,-28.192963,-16.64725,-107.67187,-123.92029
26,-16.270393,-14.81355,-102.486664,-18.211954,-20.872507
27,-14.524605,-107.28067,-18.924383,-16.69572,-111.65123
28,-19.635601,-113.654305,-97.20583,-21.40492,-30.178337
29,-109.673615,-28.595665,-14.637713,-19.69477,-110.80045
30,-109.3515,-21.752867,-97.93517,-27.166466,-116.286125
31,-116.90274,-110.1314,-102.42847,-17.962233,-15.608392
32,-22.776314,-26.7648,-102.69103,-105.579544,-19.909735
33,-22.190313,-112.677475,-101.26455,-117.131454,-102.97808
34,-21.227869,-23.74251,-102.86723,-105.161865,-109.35736
35,-105.50244,-28.619526,-23.098703,-29.855684,-21.364399
36,-109.45826,-19.338018,-99.72379,-26.86044,-29.37794
37,-22.020248,-22.838968,-97.82102,-124.992966,-31.166006
38,-24.250578,-21.957071,-110.02025,-22.106415,-23.36688
39,-14.919639,-112.46223,-108.86792,-29.386955,-21.784382
40,-19.111475,-109.38202,-29.409075,-103.5153,-26.457956
41,-109.97662,-115.90515,-107.646774,-25.950962,-112.07568
42,-15.09463,-20.214787,-99.85841,-19.90781,-101.30658
43,-103.8244,-100.30566,-113.28897,-102.637856,-104.824234
44,-22.87617,-18.769863,-30.6408,-103.21622,-99.95097
45,-13.066731,-23.50722,-16.572567,-18.81273,-115.02473
46,-19.151869,-19.634447,-100.42753,-110.39597,-109.55738
47,-22.577364,-109.43801,-99.799286,-24.90061,-25.164705
48,-22.210876,-16.155071,-99.27752,-19.57375,-104.214745
49,-20.360142,-104.40172,-112.497696,-103.924774,-32.2162
50,-22.852552,-118.2293,-91.56134,-111.662926,-23.018747
51,-113.62213,-18.721571,-27.97005,-27.663877,-98.8207
52,-15.264126,-23.194506,-112.22211,-19.553398,-112.83849
53,-20.255362,-111.32385,-112.32273,-107.75671,-98.790504
54,-19.45306,-138.2643,-30.517406,-102.54011,-114.8259
55,-25.602436,-106.388016,-108.82642,-21.382322,-100.2613
56,-29.947039,-102.915436,-14.167396,-19.352999,-10.163792
57,-19.078842,-111.929054,-102.132385,-16.689014,-111.04939
58,-17.388084,-103.88979,-21.970331,-20.42617,-15.642588
59,-15.354744,-20.45096,-113.483505,-24.865774,-19.883944
60,-17.80786,-136.3795,-104.96532,-103.07649,-13.918291
61,-98.70297,-18.805637,-28.417358,-23.749596,-110.44122
62,-103.53956,-107.87554,-106.93596,-101.27177,-102.4163
63,-19.94538,-24.635845,-105.64168,-111.86809,-12.912265
64,-15.688058,-14.498106,-103.12314,-20.362778,-111.68352
65,-15.195836,-19.019857,-14.3080635,-103.0549,-120.222466
66,-16.082233,-101.12802,-104.57748,-106.74467,-101.31883
67,-17.360046,-14.878225,-97.670265,-18.956167,-115.41991
68,-14.099457,-23.981089,-13.575501,-28.334726,-111.95281
69,-17.197676,-108.897064,-101.433525,-109.17941,-111.986
70,-23.024237,-118.346405,-122.51889,-19.56587,-40.33392
71,-103.79955,-18.692648,-121.60904,-106.14889,-12.436405
72,-16.128166,-119.209564,-21.906727,-17.350264,-104.279854
73,-11.342491,-113.59748,-103.633865,-99.85734,-99.981544
74,-14.035268,-21.53606,-22.186222,-36.28088,-24.93091
75,-25.395233,-103.73533,-21.910582,-105.46053,-101.22117
76,-21.535427,-104.67493,-119.98804,-103.91939,-20.336248
77,-18.738598,-107.422745,-101.340004,-109.822624,-90.25786
78,-110.207825,-109.25932,-19.260527,-103.581635,-103.43973
79,-98.25845,-21.758526,-101.83561,-103.54607,-100.68743
80,-20.17371,-24.439817,-103.8654,-101.63869,-104.10109
81,-20.875422,-15.726364,-105.63348,-100.529274,-109.56187
82,-105.541824,-107.3528,-103.15788,-38.143356,-103.94341
83,-107.93924,-118.94294,-102.14445,-102.9182,-26.936235
84,-120.4572,-111.60653,-108.57922,-116.11971,-101.53929
85,-113.882065,-117.61919,-101.469986,-100.43897,-23.140356
86,-16.73558,-17.886799,-112.65481,-26.846415,-110.07512
87,-15.987769,-106.02571,-105.161285,-102.34341,-112.912346
88,-6.0445585,-112.48171,-12.927133,-20.05308,-26.618536
89,-18.920374,-103.5827,-99.86527,-104.05423,-23.447084
90,-8.908528,-107.6087,-95.66021,-34.335415,-100.829155
91,-107.65759,-100.443855,-102.890564,-28.895454,-104.164505
92,-100.452034,-20.89855,-96.14802,-34.831455,-118.27876
93,-12.541166,-107.21541,-14.142625,-29.994173,-114.15813
94,-12.597289,-19.589928,-101.82448,-109.12568,-29.78899
95,-103.40684,-15.270999,-22.720896,-104.200935,-113.3954
96,-14.565392,-113.38143,-102.32588,-23.79641,-103.41255
97,-10.425235,-101.301186,-114.90821,-27.214495,-38.67822
98,-15.873311,-106.26996,-100.48792,-103.91279,-24.925274
99,-97.56092,-108.99554,-101.65761,-101.80622,-101.82877
100,-7.891228,-110.87708,-98.78222,-122.21288,-29.709934
101,-24.54777,-102.28483,-113.06268,-103.77205,-24.263544
102,-99.41657,-14.681043,-22.384275,-99.72728,-99.804756
103,-18.709055,-17.68654,-17.835875,-103.32972,-27.323227
104,-21.58937,-115.61142,-16.509914,-110.382355,-113.008934
105,-109.22605,-119.65744,-115.31679,-110.847755,-20.876015
106,-103.99783,-100.46036,-108.42177,-114.62666,-24.002007
107,-108.4918,-19.68105,-102.68517,-102.49282,-19.36319
108,-107.50606,-14.090483,-100.96707,-43.926353,-22.840029
109,-16.903702,-16.122578,-17.759996,-26.683788,-29.160126
110,-21.036123,-24.725574,-108.402596,-19.947681,-111.06384
111,-11.402261,-14.272852,-27.882399,-102.17209,-30.638645
112,-96.887115,-10.015167,-104.798805,-21.339527,-30.56074
113,-17.963842,-111.2183,-15.139414,-20.801302,-107.23745
114,-104.417145,-102.48222,-104.65581,-121.82399,-113.36815
115,-102.73779,-93.06371,-113.28842,-105.39577,-95.53885
116,-27.635582,-16.599838,-98.707794,-26.700626,-101.4479
117,-100.657425,-106.61757,-100.372,-107.794014,-99.74316
118,-105.639015,-19.23242,-99.12682,-99.14202,-28.918459
119,-19.408936,-119.66524,-117.8179,-97.66395,-97.15548
120,-18.256504,-112.854645,-105.351776,-29.974031,-101.64796
121,-99.68319,-101.05886,-15.329592,-100.31051,-112.18482
122,-105.90298,-100.62164,-100.97533,-105.88913,-101.32523
123,-25.563995,-108.90784,-20.784832,-104.66415,-24.861979
124,-105.26502,-15.577653,-111.73706,-111.63512,-23.969355
125,-98.64837,-112.54586,-97.11938,-103.88531,-26.038395
126,-19.504253,-100.81615,-96.53295,-15.274033,-99.96408
127,-102.56967,-15.520738,-18.411413,-29.656898,-104.58045
128,-25.145582,-15.005861,-102.93287,-19.639097,-105.767685
129,-103.687904,-105.41624,-106.97704,-100.75482,-19.918852
130,-107.27364,-112.89785,-17.621025,-29.140709,-22.982594
131,-12.241021,-113.909836,-26.317451,-103.933975,-14.961959
132,-107.04237,-6.299709,-101.63497,-101.71469,-102.41671
133,-17.638256,-5.6272006,-105.81771,-24.786726,-28.733301
134,-103.451546,-12.12962,-102.437584,-101.73793,-18.118795
135,-107.551926,-20.278498,-104.79515,-104.01153,-20.080095
136,-16.478333,-9.39918,-99.430115,-99.445724,-97.67287
137,-15.79704,-111.533585,-121.842545,-105.142555,-97.39701
138,-22.48813,-105.03811,-12.15119,-33.78295,-123.950485
139,-104.684166,-113.7448,-10.70239,-105.23914,-103.447365
140,-104.29002,-16.518736,-13.228223,-113.68824,-101.058
141,-105.08419,-20.7248,-12.091943,-104.83853,-98.30212
142,-108.00018,-18.470724,-107.41954,-21.265265,-20.628874
143,-105.06469,-112.87143,-105.47572,-100.4354,-96.17773
144,-102.2039,-115.98294,-14.788848,-21.347126,-17.330942
145,-105.68695,-99.35192,-114.04373,-102.48062,-21.653158
146,-105.07812,-97.57318,-21.955088,-7.7794247,-21.014843
147,-18.522562,-110.60731,-101.93293,-105.72566,-98.810776
148,-10.370353,-112.717896,-21.351221,-109.53868,-98.700645
149,-13.739892,-9.658701,-97.086624,-102.98652,-104.84056
150,-100.97254,-97.84142,-103.039276,-121.54784,-22.437614
151,-13.019516,-115.29033,-105.40613,-104.45923,-102.695305
152,-93.45119,-114.042725,-103.45831,-14.746579,-19.67102
153,-104.97149,-104.48129,-12.634513,-9.723539,-101.61831
154,-103.57457,-102.789505,-105.76267,-26.209347,-104.499985
155,-106.33888,-105.81059,-10.756782,-112.72233,-100.72757
156,-110.20944,-99.42071,-16.531515,-20.014902,-99.39401
157,-106.221954,-19.419256,-102.91406,-113.84235,-114.22388
158,-106.59319,-15.932872,-18.904247,-104.73305,-97.87398
159,-15.329178,-105.643394,-99.69001,-98.65318,-20.231253
160,-99.33786,-10.064651,-97.961716,-19.215572,-112.763145
161,-104.93117,-115.9218,-105.780075,-20.891073,-97.543686
162,-107.50147,-13.380781,-21.79376,-101.26821,-18.406956
163,-99.8289,-19.43169,-106.02418,-100.55662,-98.00952
164,-107.9491,-112.7245,-99.62053,-15.784842,-22.8618
165,-100.65425,-102.20514,-102.297775,-15.89166,-101.27267
166,-102.87297,-127.30348,-17.54059,-101.09764,-96.00457
167,-101.98258,-100.203995,-12.197105,-109.801674,-22.167263
168,-103.31673,-102.88239,-96.58029,-98.21808,-92.43489
169,-101.97916,-21.732996,-11.229198,-13.761587,-110.51293
170,-103.75556,-101.392914,-2.351137,-102.38698,-112.43675
171,-107.33517,-17.457388,-102.59257,-22.940536,-14.98502
172,-101.74936,-104.457825,-104.77733,-11.696065,-16.580292
173,-14.61504,-18.545076,-14.617693,-18.143307,-11.0948925
174,-14.729655,-120.44869,-15.326506,-16.444424,-16.924469
175,-9.3938055,-105.77848,-25.565517,-14.506777,-16.590178
176,-10.821654,-12.160603,-26.769417,-16.363401,-22.347387
177,-100.25173,-103.75552,-105.79151,-16.708698,-16.060974
178,-103.67457,-20.461014,-99.773285,-101.163414,-9.759744
179,-104.30947,-18.31621,-9.045916,-6.6228237,-110.26335
180,-17.877226,-108.990814,-104.24551,-13.236017,-96.08919
181,-15.853073,-103.767426,-102.42243,-12.637867,-16.502373
182,-11.608067,-113.524345,-97.89491,-105.214874,-124.882195
183,-14.647543,-103.29768,-96.67885,-10.822753,-93.08001
184,-14.662067,-24.292877,-103.94742,-10.719758,-17.31481
185,-14.474336,-31.86575,-101.000175,-33.038937,-15.563398
186,-96.945946,-109.910225,-103.63455,-30.499609,-105.381584
187,-17.225931,-104.39078,-94.56876,-12.137529,-13.490528
188,-102.441414,-14.569776,-101.25308,-19.55973,-15.216623
189,-13.001434,-104.12661,-104.79158,-6.799806,-13.846271
190,-10.982798,-103.97819,-23.942705,-12.280569,-14.672819
191,-105.786606,-103.04999,-100.01179,-106.44952,-15.3641615
192,-97.21079,-103.54956,-105.14223,-4.9619017,-18.038757
193,-96.20585,-102.80539,-19.00648,-107.66254,-18.755033
194,-6.4563313,-101.43139,-6.9421034,-10.937137,-8.004685
195,-10.218377,-99.49332,-104.85081,-14.447253,-14.339879
196,-98.0716,-102.594925,-104.227066,-102.27357,-17.214457
197,-18.380167,-37.866863,-102.95162,-100.845406,-16.46813
198,-14.05543,-28.878494,-101.434586,-13.423264,-100.488716
199,-14.396069,-25.106445,-14.797422,-111.54875,-14.491257
200,-20.181984,-118.89626,-26.386705,-13.468778,-29.947416
201,-16.132658,-24.840223,-103.19332,-13.207606,-105.66693
202,-9.560116,-27.84683,-24.394526,-14.467179,-91.00758
203,-16.472271,-19.431166,-96.48435,-6.711309,-95.39886
204,-101.728546,-28.947323,-102.18892,-101.0725,-109.90457
