,It 0,It 1,It 2,It 3,It 4
0,-91.60466733292739,-92.99582099340421,-93.08155787722103,-103.70845204685132,-179.93521861965195
1,-91.83138277807322,-92.99589587649734,-93.10160034679843,-6.329374493653024,-179.56167389602513
2,-91.65471022857811,-92.56924071603501,-92.93204097539676,1.1700434662966168,-158.5174783329924
3,-91.69496655574112,-93.04634381846246,-92.98838633106284,-102.03140847404394,-180.1094164766879
4,-91.66148449516243,-93.04747919482598,-92.91744049024533,-102.81159623318227,-179.60755206810362
5,-91.62895916373286,-93.04467234117297,-92.8303980214938,-101.43285558061737,-179.6080780578329
6,-92.06673023631315,-92.99158024344042,-92.85932102251398,-88.33497998304632,-179.6135502856714
7,-91.7956638783159,-93.0856771413628,-93.06383547174104,13.988600787223032,-179.6918232271567
8,-91.67143360819038,-92.92262143817699,-92.93556121025786,-103.57733271867285,-179.68561172418555
9,-92.06714367546972,-93.05115860668539,-93.03865746979307,8.914921703249703,-146.72094203173646
10,-91.62506840661602,-93.05987770643893,-92.85873467537866,14.37006417967747,-179.67017098638837
11,-92.03105909274255,-92.98751504461343,-92.99511251701465,-34.71244141202415,-179.6618072229542
12,-91.66629590090943,-92.72837339003011,-92.94261423018735,-102.70786692489901,-179.70776081602943
13,-92.00172617162266,-92.97300590959327,-92.90268158768207,-46.8087766997646,-180.04227972755007
14,-91.75459857004881,-92.98561470013361,-92.86650784700495,-110.24428683130661,-180.1135205640301
15,-91.76030643495064,-92.978855055755,-92.97369623449895,-104.75117670871131,-113.28607650129726
16,-91.85043953180988,-93.00885103075858,-93.03593902587612,-103.80477211842997,-179.64472069502423
17,-91.7339398855184,-92.7751351948533,-92.93986586311945,-103.60150316774472,-180.10987470483207
18,-91.74106120193595,-92.97516429419753,-92.99774338672299,-103.81547927851975,-174.6777843048104
19,-92.07663870622636,-93.0177819919209,-93.05208877254472,-1.3486703279561367,-179.65236271110436
20,-91.76062546044393,-93.04279541857012,-92.99042775614555,-8.180300811043702,-173.1795891048221
21,-92.05432410809367,-93.08574849888464,-92.88687564002707,-103.22152593777764,-179.61341661290191
22,-91.76978722855232,-92.61948388916642,-92.81882500376533,-103.5826895074714,-83.34380249276508
23,-91.92565165093325,-92.79200736586276,-92.76263480944039,12.25417756812305,-88.63685926224416
24,-91.65764811584314,-92.785994751139,-92.97418118197727,-81.54274059546837,-89.92795937196935
25,-91.59655345095598,-92.9352809083565,-93.08111816921915,-97.20947599266532,-96.25560105285173
26,-91.60322725504548,-92.79912134928628,-93.2333210201003,-15.781842169273405,-180.11156851433515
27,-91.61297925189778,-93.05492300594753,-93.03376544727342,-61.614159463095376,-180.11463558890657
28,-91.82795211431039,-93.09604392597265,-92.88586111618963,-49.82911586192879,-161.28595449494074
29,-91.71677796777249,-93.07339542376685,-92.94954356277668,-103.30856604116829,-101.76063425821067
30,-92.04892403803362,-93.08718177682394,-93.11979446421645,-76.46349333636982,-129.0579111964811
31,-91.60941182070171,-92.62014279464694,-92.96049899753304,-14.879758580240848,-180.1166817444189
32,-91.79707664540271,-92.60659943813182,-92.87424912391188,-13.96334666742013,-180.23172036039816
33,-91.72867324465183,-93.02159681571305,-92.93296297880612,-22.4191923833426,-156.99052398795803
34,-91.82208639788655,-93.0918066890206,-93.02616872417717,-3.6778352789850786,-156.71188139692978
35,-91.63566397418182,-93.02778920127203,-93.10370967250027,-101.63894726153339,-179.53182447421477
36,-91.80435820217477,-92.60623402520301,-92.95184715269994,-103.14964935905051,-111.22973435724897
37,-91.62292195556813,-92.91318730825687,-92.96868771964006,-103.01865672868398,-112.36138551853587
38,-91.74362904776311,-93.06231847662944,-92.84025060385974,-12.298334132102077,-152.60737566302834
39,-91.62963413835857,-92.66260549619857,-93.12119267432794,-76.63966262502977,-179.61167432330413
40,-91.78058075027877,-92.80819115852363,-93.01655377308089,-104.54102756047311,-107.57090704502353
41,-91.77908520248774,-93.08604205787321,-92.83716824135934,-72.26348648482931,-100.47097707702035
42,-91.66972255295553,-92.6099880560592,-92.98911858761564,13.757271775942067,-113.45554681647123
43,-91.98551033575244,-92.7012228367456,-92.9473755851347,-14.032359541558185,-176.89875624305506
44,-91.91106108992352,-93.10592695926192,-92.80406354655322,-32.91920316072186,-156.46621408170685
45,-91.58822418582564,-93.12199778953303,-92.97272281753563,47.73347699850163,-117.6044895463272
46,-91.58004172146154,-93.12287243825695,-92.94966912156161,9.125706611514115,-96.31006826642964
47,-91.78352748455444,-93.11646849522351,-92.862970093168,-92.26012875098931,-179.53770032656243
48,-91.72980196406549,-93.00154836415561,-92.96574910508228,-101.29904342145659,-176.8951497950523
49,-91.60584924927548,-92.56329440010029,-92.94481081597158,-104.96568966487484,-108.6929030095858
50,-91.634067626647,-93.09910594035809,-93.0581535457618,-103.09294658304067,-119.29627175770192
51,-91.71263391690061,-93.0022874292899,-92.95203534304153,-89.50773271143933,-179.7255597189465
52,-91.67105773953224,-92.76783226092626,-92.92351478592761,-82.51029696767284,-180.1094546193057
53,-91.72990262926658,-92.86805668884826,-92.90575561859687,-62.24495337140832,-144.80601653875598
54,-91.57755477326248,-92.65019243926295,-93.06660977736547,-104.2435410594036,-93.55445297293429
55,-92.10592069283206,-93.0960824586148,-92.98498905955853,21.97791019455852,-180.10738794899905
56,-91.70926591611564,-93.0760351142579,-92.8629099071093,-103.30971684317726,-129.96151287095523
57,-92.06122251771278,-92.52191080451043,-92.99605180352793,25.53602320996297,-177.0573018633419
58,-91.76430012669663,-92.83025163700944,-92.85176265717794,-14.773339969885214,-142.04745986394502
59,-91.66041512625641,-92.53214300037149,-92.89413736975274,-64.65754652604538,-179.62834305796372
60,-91.63799456560092,-93.07542904147724,-92.92771659859503,13.448622634824037,-177.15329119947864
61,-91.7892292135544,-93.10224900583911,-92.91272744048962,-104.48246517203997,-107.35248393307505
62,-91.65744082017355,-92.63650250634784,-92.89364118536305,-105.4665151429462,-98.36973836858881
63,-91.64471416579917,-93.00803678115783,-92.9788487258602,-28.521875248577388,-152.89866310744765
64,-91.6325692036732,-92.56214863689182,-93.15766775587892,15.07174061669811,-138.31090190938176
65,-91.90552066799556,-92.63595745747932,-93.02803668393506,6.522008270888474,-98.57970291241631
66,-91.65114409201794,-92.71229516931895,-93.01215476535967,-26.5387917523707,-134.7825106894257
67,-92.08505320197298,-93.04759675538361,-92.95219079303598,-104.19780691763759,-179.41544804475078
68,-92.04047966788085,-93.04278258838474,-92.88898077869598,-97.60453182821543,-180.22855169265952
69,-91.75340259279358,-93.08437819879168,-92.972624800766,-11.151045922478968,-179.64533800029184
