,It 0,It 1,It 2,It 3,It 4
0,-181.72421466741812,-175.14831816223017,-101.61482764051048,-116.31371710202595,-180.72113641378888
1,-181.76768756545562,-180.71534429010526,-101.78531591326185,-116.0792952444777,-180.70928402295755
2,-181.65133513071984,-100.186843401003,-101.79396447573976,-113.44355538304337,-187.14363949571506
3,-181.82961956726177,-174.4981580956742,-101.64049471495736,-115.8621490950361,-180.72695124432863
4,-181.7837084327307,-175.02042823114277,-101.63642690625726,-115.74143454579266,-180.71850097098184
5,-181.85859973538768,-177.3256047981706,-101.63783325060955,-116.41839681888993,-181.18769775342923
6,-181.84874335897877,-183.36201286811624,-101.63583513706364,-115.97206434287939,-181.18491375085694
7,-181.85187337163626,-110.6141560345157,-101.6579730131204,-115.74890547594305,-180.72187454536976
8,-181.89192586722265,-106.215451282102,-101.63629748136799,-115.74911971762094,-180.71798223998505
9,-181.89170304480422,-147.51445679263955,-101.63713401532794,-116.3148934103232,-181.18047041783834
10,-181.79003649193587,-177.7062684289869,-101.63638435436165,-116.08143918070944,-180.7094344364428
11,-181.77036195710403,-167.42814161610724,-101.63722525684535,-116.18974422234547,-180.73172649202044
12,-181.87036356116747,-107.41421667123461,-101.62619052346237,-115.85706440478626,-181.06479807504869
13,-181.82507994829467,-177.81696378237194,-101.63598514511312,-115.85452695946583,-180.7255009063934
14,-181.86891170618537,-174.58825612948502,-101.63777024135987,-116.08247305385149,-180.85894217377324
15,-181.9274588494665,-167.4130631746688,-101.63998103840339,-116.30935515891699,-181.0648798950741
16,-181.8033796227951,-177.38685098280123,-101.63683281210314,-115.74907273720889,-180.72800802280614
17,-181.84297005269778,-185.91565604634,-101.6389869892355,-115.63661070171558,-181.05976738668463
18,-181.9291717755867,-176.49335710236025,-101.65759388303137,-116.3127145889209,-180.71498898056132
19,-181.86287397336628,-106.41328529327612,-101.6231356134334,-115.85719293102686,-181.1882161689405
20,-181.80921532303196,-176.92580541090786,-101.62619853244847,-115.74219402049297,-180.73178586034211
21,-182.09963011761297,-178.2972051269432,-101.63633645659685,-116.4181110317701,-181.18052520025006
22,-181.8974193151057,-178.970345324562,-101.62551112015173,-115.6382519044336,-181.06497834991768
23,-181.78497138111334,-176.39740139499526,-101.63648293074283,-115.85342882359154,-180.7273305069759
24,-181.5705718428776,-177.28154772324115,-101.63648308790351,-115.74160696580945,-180.71238479480255
25,-181.8305552206416,-187.28578851426184,-101.63627293830179,-116.41813523956016,-181.0652106979034
26,-181.78222652490044,-186.67299327240178,-101.64006836960776,-116.30463307367887,-180.71537565141404
27,-181.9147558730354,-105.88768571669236,-101.63801882447116,-116.3045162036388,-180.71022148760454
28,-181.92492253166725,-185.0696857528966,-101.64104941813338,-115.96362878435168,-181.1845687344153
29,-181.63277944445403,-184.00885709142344,-101.63360627166368,-115.63804291851943,-180.72987591448347
30,-181.82131692103832,-179.44725886119474,-101.63602041988696,-115.85784331129928,-181.18239818959913
31,-181.89201487992992,-173.62676340138057,-101.63566265596761,-116.08119886968286,-181.06527922314388
32,-181.84034928838824,-184.04994821038457,-101.62187408376548,-116.19289481715424,-180.70908386047105
33,-181.8526944312836,-179.20790708880625,-101.64793406093246,-116.19689947946743,-181.07036874851008
34,-181.78411129835163,-182.5792752149109,-101.63605336876027,-116.4178029092066,-180.7199452822511
35,-181.81171176920438,-183.10552188247965,-101.63964748817249,-116.1932222725774,-181.0964380822093
36,-181.76265591751886,-183.0923008106831,-101.64833021722797,-115.85373764371563,-180.71319000698733
37,-181.92450122671303,-178.85406122293486,-101.63501598561867,-115.85480572728503,-181.18219111584543
38,-181.75613108102957,-176.4745843650972,-101.63789424579653,-115.74569539678532,-181.06779829595342
39,-181.90721647461046,-176.25322284239058,-101.63647746993291,-116.07482686446981,-180.80988278143215
40,-181.80299555879188,-111.11672883051448,-101.63678703721054,-116.30488698915516,-180.71834984736313
41,-181.93551199708855,-178.54342977114493,-101.63882048474687,-115.9692766530458,-180.71347050559194
42,-181.3022685291194,-100.57478209833491,-101.62749266888387,-113.56273649608593,-187.31037865622048
43,-181.60159564162086,-188.03380195703792,-101.62879715363248,-113.44249676667837,-188.3139552706488
44,-181.9370790402974,-188.86738860650644,-101.78886334291225,-115.74175552681649,-181.06546272015615
45,-181.60946066216047,-180.73181829017784,-101.6079867507803,-115.74178867747636,-180.80986066950592
46,-181.8701173852922,-111.22444984569401,-101.79745083041986,-116.3069447548433,-181.06632452144083
47,-181.73815703481537,-186.09833520064387,-101.59923293938301,-115.85352272644081,-180.7280423451474
48,-181.76467163492407,-185.66115375131582,-101.7863255769064,-115.96740978869487,-180.7145382773235
49,-181.7227717399389,-184.98711840317205,-101.80045201772701,-116.08157363598237,-180.72271311737393
50,-181.8504737919455,-182.60159950961062,-101.80322905936156,-116.07947826783484,-180.85969344561715
51,-181.60201916281235,-176.29066179165955,-101.6085062758848,-115.86250747308509,-181.0648164365389
52,-181.7672708544052,-176.4993515743471,-101.60760446731064,-116.07495109079407,-181.09632741081944
53,-181.84418420621915,-176.23925298514422,-101.78473860323926,-116.07563594723122,-180.73069564947966
54,-181.76156960168024,-111.27445708350217,-101.59991455489522,-115.97001806381346,-180.71958512095222
55,-181.8482625605176,-187.40185493517762,-101.61531649304926,-115.74987596676314,-181.1848608632986
56,-181.8048182335941,-178.30870059783015,-101.60705751514435,-116.19933958520306,-181.06645385133518
57,-181.83125050253648,-110.10566717072949,-101.79863727864686,-116.31039607371142,-180.72182716138457
58,-181.63128728672032,-176.36901722717815,-101.59880512479445,-116.07491270656699,-180.73122061777656
59,-181.59935780261748,-184.7809075086669,-101.7841608140512,-116.19005623271504,-180.73213737004232
60,-181.91774917654175,-182.79310802444346,-101.5997805145265,-116.31235775896286,-181.06517714553308
61,-181.77343098893243,-175.0140497254477,-101.79900278263291,-116.30986836608437,-180.72687630964862
62,-181.80707521267337,-189.26972937477856,-101.59938438306625,-115.63665762562741,-180.8091566017467
63,-181.77830807620452,-111.61415722430746,-101.61559924413513,-116.18979930021925,-181.07018175632177
64,-181.82537246600515,-182.90727101878375,-101.61523755826119,-116.19693029328374,-181.17991978423154
65,-181.7603438357305,-185.16414342893384,-101.80058880984349,-115.96871047147427,-181.1249594471521
66,-181.7435795450997,-175.95891866229294,-101.78702001261712,-116.07852945556556,-181.1835737262956
67,-181.8510968390645,-171.96140529060975,-101.7850364278586,-115.6386566265685,-180.72024811179796
68,-181.7640776086702,-105.16610199422266,-101.60731454651555,-116.30982582016476,-181.09614157137565
69,-181.78928942625512,-183.72001999781216,-101.79899239015953,-116.30478260070024,-181.06981909675008
70,-181.8269558321943,-189.96216004426967,-101.78648949907038,-116.19349894787,-180.72034330189024
71,-181.83984693842422,-179.4460406497275,-101.80040623414207,-116.31340965901751,-180.71162750847745
72,-181.89242264787768,-175.01138773273232,-101.78793134831079,-116.0827806470357,-180.71088178102966
73,-181.86687573360072,-184.19210598031535,-101.61595248919974,-115.63736660533709,-180.7291331724678
