,It 0,It 1,It 2,It 3,It 4
0,-116.58522,-28.36603,-114.78616,-116.51253,-113.0326
1,-116.06722,-122.88354,-123.371216,-116.84147,-108.539764
2,-122.53543,-115.55755,-117.753784,-118.54679,-122.25935
3,-120.40235,-114.89216,-117.62727,-110.97271,-32.226696
4,-117.088196,-122.09817,-120.3179,-117.476234,-118.688446
5,-118.18609,-122.765594,-120.606445,-111.75554,-107.56762
6,-122.84877,-117.68181,-118.1658,-116.93738,-20.991068
7,-120.09978,-116.704384,-111.183945,-115.979454,-21.94471
8,-121.90433,-120.060356,-16.685728,-112.72258,-109.4989
9,-136.07053,-117.99282,-110.289246,-115.21909,-21.743809
10,-129.63193,-115.91964,-101.71368,-121.23126,-113.323715
11,-122.20309,-120.00785,-106.355804,-117.931305,-24.942156
12,-119.93584,-118.892914,-129.38219,-114.31987,-108.51518
13,-122.4072,-119.96145,-111.851395,-117.73613,-105.8298
14,-118.65762,-113.10404,-124.845375,-116.05518,-121.67511
15,-124.85117,-113.06448,-28.067488,-118.25325,-108.671234
16,-115.635635,-113.04947,-104.7085,-130.1561,-102.20084
17,-117.35034,-113.06434,-120.78239,-118.56783,-107.92612
18,-118.80667,-115.02967,-106.28507,-119.16189,-110.0273
19,-120.95259,-119.05913,-116.74654,-117.16226,-128.72604
20,-116.66811,-119.22242,-19.688555,-112.02426,-21.155169
21,-114.8532,-116.213844,-19.023159,-124.002625,-22.03236
22,-109.67513,-115.33594,-16.922228,-114.2144,-113.38446
23,-32.59148,-114.587364,-23.912174,-113.03256,-102.97096
24,-132.15044,-116.52934,-108.0142,-117.74649,-113.839165
25,-39.891533,-110.25628,-108.856094,-115.094444,-20.967316
26,-104.969734,-121.45714,-108.55598,-118.60435,-118.995155
27,-115.78636,-114.24994,-105.376114,-116.17998,-18.542524
28,-21.8633,-119.658936,-111.05953,-116.63336,-14.1113825
29,-27.711908,-119.58658,-21.357046,-116.26046,-28.084726
30,-43.293686,-119.06178,-102.42441,-117.62094,-104.45563
31,-130.57635,-115.448906,-107.02314,-120.429184,-111.54963
32,-109.3989,-122.20268,-105.69048,-112.38455,-103.61119
33,-103.5639,-117.39359,-30.93742,-116.03171,-105.30558
34,-118.91791,-117.87352,-104.23137,-115.00668,-21.033136
35,-30.929348,-118.1719,-29.767508,-115.02325,-30.734888
36,-24.22836,-117.7109,-28.1559,-120.50972,-112.75535
37,-15.3026085,-117.849686,-29.676058,-119.16809,-111.32175
38,-104.22678,-117.48625,-98.53245,-116.25188,-115.900856
39,-117.84071,-118.13519,-110.53048,-119.23071,-112.05055
40,-99.71001,-114.65494,-17.247627,-115.27635,-117.45401
41,-23.744675,-114.99822,-20.112629,-117.74997,-111.52643
42,-103.050995,-111.6282,-98.76876,-117.754295,-113.23821
43,-110.9463,-114.00219,-13.077596,-113.773056,-101.20607
44,-29.139757,-115.73815,-17.832373,-114.4556,-19.009197
45,-25.598198,-116.96582,-21.773643,-117.91761,-109.251656
46,-25.858637,-111.53621,-121.642975,-113.632576,-35.12707
47,-27.366608,-119.40845,-19.72786,-118.07141,-28.617588
48,-32.70042,-118.95942,-27.148642,-117.27317,-16.921083
49,-29.003742,-122.077484,-30.458895,-121.417206,-24.544832
50,-22.42267,-116.876045,-113.40525,-118.24981,-24.026896
51,-118.68042,-114.96151,-22.378551,-116.08197,-16.900875
52,-20.034279,-121.39103,-19.290335,-118.992516,-12.714375
53,-25.176,-123.30142,-102.37202,-118.09446,-23.659061
54,-25.663033,-105.26917,-110.79569,-114.33235,-103.820045
55,-23.58275,-103.704285,-18.416346,-113.385895,-112.9726
56,-12.735549,-101.06055,-22.51457,-114.43814,-100.85608
57,-16.103554,-106.17517,-16.613686,-120.7462,-101.02383
58,-99.732124,-108.91907,-107.48727,-114.04117,-23.643745
59,-106.93328,-111.54437,-114.91237,-115.20669,-21.261456
60,-110.60493,-33.49344,-110.06757,-112.471146,-18.12926
61,-113.73749,-34.020798,-121.63882,-121.333084,-21.829636
62,-12.334464,-31.69568,-24.37724,-114.01581,-24.152718
63,-12.029888,-34.03055,-110.211716,-113.39316,-114.97696
64,-109.5473,-30.326485,-17.848186,-114.12972,-12.959718
65,-115.49146,-29.310663,-15.459974,-120.161316,-18.85207
66,-21.374722,-32.212463,-18.897915,-114.32023,-9.315241
67,-29.123074,-25.321205,-12.535707,-114.40039,-15.151516
68,-21.102833,-105.30425,-17.249828,-119.88173,-15.499741
69,-10.93579,-106.30443,-27.283546,-114.31655,-113.400276
70,-114.94654,-107.240616,-111.07598,-114.0323,-38.080383
