,It 0,It 1,It 2,It 3,It 4
0,-30.452105,-116.160934,-103.54867,-116.020706,-35.325737
1,-32.539154,-114.84769,-112.805695,-110.699646,-119.01566
2,-114.51303,-112.67968,-120.73046,-110.09599,-122.79407
3,-115.73891,-112.81556,-117.24852,-112.52604,-121.22364
4,-119.39818,-118.55283,-23.60039,-113.31171,-115.69074
5,-117.44876,-113.88327,-32.364777,-108.6863,-112.28153
6,-26.108746,-113.18797,-35.997284,-109.192955,-118.06425
7,-112.18568,-112.96216,-26.886932,-111.24785,-121.41749
8,-113.507095,-115.778145,-31.096342,-109.41896,-120.66086
9,-106.35141,-28.898754,-106.16005,-117.67575,-113.04961
10,-109.36774,-109.67332,-102.22515,-108.58293,-22.43391
11,-121.3788,-106.990326,-102.351364,-21.156792,-108.178154
12,-25.550966,-23.90922,-102.938324,-112.94185,-18.373465
13,-122.64578,-25.314348,-100.9614,-31.42547,-22.48205
14,-103.847855,-16.421144,-23.40491,-122.64667,-107.51309
15,-36.79733,-40.151188,-18.819822,-102.83533,-116.61553
16,-25.36233,-18.629446,-25.873724,-103.970215,-104.23666
17,-110.04695,-111.614334,-111.41472,-109.81399,-16.30026
18,-27.836761,-111.1923,-111.735825,-102.519485,-102.86713
19,-106.16623,-103.759445,-20.839607,-115.0505,-21.342628
20,-105.43462,-113.05207,-110.001884,-27.68732,-34.160072
21,-107.47398,-119.1024,-23.430387,-20.368933,-113.59426
22,-98.75146,-26.164011,-26.537704,-14.618543,-107.405266
23,-23.006706,-114.74201,-24.36708,-117.97029,-14.394092
24,-18.830847,-100.22182,-27.112947,-13.920551,-104.16563
25,-107.61567,-103.98845,-27.078695,-115.2424,-109.47451
26,-26.506214,-110.26168,-22.65653,-102.89466,-16.336096
27,-105.91445,-103.388405,-25.43945,-16.537766,-36.040627
28,-102.95061,-98.88863,-20.004679,-112.32723,-103.77455
29,-23.51036,-23.575054,-16.669893,-22.78209,-104.16882
30,-102.39676,-111.88966,-109.908104,-117.92271,-101.96714
31,-106.173225,-18.360697,-28.518827,-125.43536,-108.32254
32,-21.545792,-22.048996,-17.10915,-20.437399,-17.309261
33,-108.73584,-27.723936,-20.577515,-28.405106,-101.23232
34,-16.241385,-111.7806,-21.699942,-109.38177,-105.310684
35,-21.493088,-21.014748,-115.83943,-17.157564,-103.447685
36,-96.97616,-26.88001,-108.06,-103.83419,-99.36171
37,-121.43957,-21.970995,-23.112862,-21.800385,-18.348366
38,-101.783844,-110.17305,-22.48521,-104.90285,-103.53041
39,-97.086296,-109.09389,-104.533295,-18.332968,-17.971823
40,-15.715532,-100.05809,-28.48849,-11.198672,-120.34801
41,-17.37165,-106.831116,-104.09949,-101.949,-101.75824
42,-108.31189,-24.560982,-21.545116,-25.043488,-20.517687
43,-110.35489,-22.987747,-23.406069,-102.20465,-100.61661
44,-25.604307,-109.74959,-18.71739,-17.922932,-114.07152
45,-15.222139,-101.85354,-23.29297,-103.07564,-111.41673
46,-21.477528,-113.35518,-20.967567,-112.300224,-101.0601
47,-103.805824,-30.94204,-110.53249,-104.23804,-108.994736
48,-106.10802,-26.757677,-102.33558,-101.725296,-113.33899
49,-22.610098,-22.300152,-18.129354,-18.98363,-118.35331
50,-19.67069,-34.534492,-25.53473,-103.199326,-116.667465
51,-107.40828,-35.994564,-105.282166,-102.33757,-105.79434
52,-29.004416,-108.216866,-115.959236,-20.493816,-102.52968
