,It 0,It 1,It 2,It 3,It 4
0,-108.59714,-120.929634,-102.30689,-25.657291,-22.752796
1,-28.308277,-113.026566,-100.67716,-21.790249,-33.023914
2,-106.90037,-105.44385,-118.086334,-26.298857,-33.928738
3,-97.50106,-115.57775,-98.95331,-36.494633,-40.187233
4,-34.380836,-36.98566,-125.213394,-22.83236,-101.2039
5,-22.821053,-102.79404,-109.52906,-21.236887,-126.74228
6,-101.04802,-119.59915,-15.97033,-111.43263,-29.684826
7,-20.019026,-99.843636,-17.966333,-22.668245,-22.742004
8,-109.329666,-104.80961,-115.62874,-113.284256,-109.217964
9,-106.16215,-101.992775,-107.93466,-23.760082,-107.77741
10,-117.258286,-121.55555,-15.473977,-114.26414,-113.5797
11,-109.22821,-104.02379,-18.905909,-116.23143,-112.6087
12,-119.053955,-28.842394,-114.99924,-112.53706,-114.85253
13,-109.55425,-30.579142,-114.17639,-106.69909,-124.16879
14,-113.12248,-106.417656,-117.64441,-113.78661,-107.921425
15,-124.30924,-23.749832,-115.603096,-121.04155,-114.03766
16,-115.53415,-110.38249,-113.46005,-116.07996,-114.83862
17,-110.3419,-20.913582,-110.965904,-114.577866,-116.815125
18,-141.10248,-101.93595,-115.98931,-117.42308,-113.425934
19,-115.84867,-111.11851,-118.84598,-116.621216,-106.87746
20,-118.101654,-115.71544,-116.662155,-121.29553,-112.19459
21,-118.55153,-112.3382,-110.746544,-113.830826,-109.76106
22,-111.562035,-15.217284,-115.26913,-112.94583,-110.13041
23,-114.83503,-113.82653,-115.60215,-113.23239,-112.566666
24,-125.24714,-123.45141,-113.64915,-116.250465,-115.857544
25,-118.821304,-113.325874,-109.5959,-118.11102,-118.9033
26,-115.14802,-114.415886,-114.742294,-117.44211,-116.85677
27,-121.08464,-118.53124,-114.7547,-113.96691,-119.95235
28,-112.7241,-118.73837,-108.568474,-121.13236,-124.00989
29,-106.13746,-112.66394,-28.867481,-116.45477,-120.32872
30,-117.558685,-112.86596,-18.377415,-115.744194,-123.5079
31,-113.414474,-113.89745,-14.0625305,-117.52421,-112.8607
32,-127.71704,-109.7781,-104.66894,-115.948524,-120.780045
33,-6.123307,-111.101395,-104.491295,-111.528885,-117.41379
34,-111.08828,-115.054016,-100.97032,-121.62764,-120.521164
35,-18.32372,-113.26054,-20.101755,-118.94314,-113.45586
36,-20.37165,-115.71823,-107.03265,-15.647818,-114.64673
37,-113.20501,-115.35346,-127.203766,-107.69924,-109.332
38,-20.574585,-109.59658,-9.820107,-24.699451,-108.43981
39,-102.9721,-110.56018,-111.624275,-28.00731,-108.19861
40,-111.87809,-29.90529,-24.488596,-120.019295,-108.067406
41,-110.840294,-117.83429,-19.329899,-11.39932,-122.96396
42,-16.856634,-103.683,-18.931335,-111.984764,-24.43052
43,-113.035065,-19.824505,-17.304495,-106.13541,-105.06391
44,-24.389395,-117.19208,-105.49196,-27.248306,-19.138224
45,-17.253912,-117.51478,-100.88205,-21.796818,-107.72317
46,-14.14635,-108.38624,-106.13652,-104.81009,-108.67684
47,-14.651989,-114.412384,-107.42852,-103.3174,-102.61786
48,-113.39286,-115.85521,-105.02678,-22.5195,-107.44631
49,-21.713615,-112.24915,-105.6237,-108.967705,-15.614209
50,-110.57909,-113.89211,-104.352715,-30.08238,-23.75417
51,-16.748531,-18.122814,-21.844791,-113.12017,-25.893852
52,-20.340698,-113.702156,-101.783165,-106.98057,-14.555401
53,-15.875138,-20.57378,-21.233492,-28.640137,-114.88258
54,-14.799361,-100.384895,-21.447578,-28.45443,-15.195016
55,-110.52682,-111.561905,-102.66727,-106.13763,-102.8037
56,-112.91095,-17.801085,-115.58798,-29.05474,-103.91082
57,-106.685905,-104.07289,-116.065414,-108.34189,-116.10213
58,-20.887583,-107.50133,-102.54401,-111.99234,-28.61982
59,-106.52378,-23.271147,-103.38816,-30.144722,-12.368211
60,-22.839249,-22.938723,-24.595655,-29.13293,-26.917738
61,-27.605804,-103.75324,-100.98897,-105.5867,-25.478012
62,-107.7399,-23.29701,-104.22562,-106.23165,-19.978447
63,-104.456795,-106.99048,-22.433136,-21.26217,-18.02607
64,-106.19739,-18.044085,-104.95044,-110.06271,-103.58368
65,-18.895212,-26.414228,-102.8577,-27.01174,-29.95558
66,-25.598763,-108.19292,-101.77745,-29.151325,-22.700636
67,-105.91618,-112.51525,-102.63433,-122.33506,-109.47004
68,-109.24419,-104.77159,-100.87007,-22.91147,-25.087084
69,-24.796711,-107.61539,-35.197426,-114.55555,-107.236626
70,-23.586128,-109.30815,-97.79799,-116.50852,-23.799055
71,-107.08483,-20.691525,-104.711624,-106.92573,-22.088322
72,-106.54425,-20.553642,-103.10954,-13.316709,-24.911446
73,-103.65188,-20.919207,-101.82405,-126.86925,-109.152626
74,-19.45573,-103.30765,-99.48491,-106.56518,-28.077278
75,-20.52846,-12.679871,-101.67465,-18.663324,-21.990955
76,-108.75448,-105.22683,-25.295166,-109.77552,-16.968233
77,-21.021067,-101.773346,-103.353676,-105.54215,-104.50997
78,-102.77221,-108.9843,-104.298325,-108.4776,-24.454561
79,-19.523954,-21.427122,-13.841534,-116.31386,-105.98218
80,-20.036335,-104.9218,-99.92082,-31.31729,-23.42647
81,-20.08993,-105.9114,-105.676315,-109.51972,-119.891174
82,-115.16855,-101.59853,-114.79808,-110.58517,-22.843723
83,-100.73034,-17.774435,-101.16294,-19.888948,-109.84236
84,-16.807268,-28.485329,-18.099905,-20.579699,-15.478684
85,-105.29393,-115.23241,-102.259254,-27.998806,-21.693754
86,-17.365736,-101.8469,-21.27921,-21.53999,-104.26559
87,-21.315023,-31.833199,-109.967865,-23.718918,-19.10376
88,-22.28518,-99.977585,-95.018265,-105.198425,-114.81763
89,-108.21727,-103.08967,-107.13677,-125.586205,-18.270216
90,-100.61398,-100.75051,-18.356558,-107.370865,-20.916142
91,-17.072365,-114.1738,-102.583855,-118.66066,-23.76952
92,-114.499405,-110.95289,-99.468796,-18.792938,-122.07344
93,-104.05871,-20.207436,-99.48569,-111.2834,-20.271555
94,-106.395226,-25.091324,-104.5028,-13.3223505,-21.732176
95,-20.33938,-103.41504,-101.99371,-109.6541,-26.897001
96,-22.206682,-101.809425,-101.384315,-33.755997,-105.689125
97,-18.355877,-19.984962,-14.87731,-106.93055,-23.548647
98,-121.148544,-19.479813,-22.376677,-31.585688,-21.660616
99,-25.784748,-107.73357,-102.05962,-106.52104,-16.15372
100,-113.59777,-105.646065,-104.62264,-16.191265,-19.201351
101,-102.26776,-111.628105,-96.94035,-28.197031,-104.2936
102,-104.22267,-107.40578,-12.806355,-30.7823,-19.768501
103,-104.411446,-101.7441,-107.52795,-27.6082,-19.97938
104,-23.010836,-102.35617,-105.84943,-108.222664,-18.607704
105,-16.715588,-21.347416,-23.849892,-28.72852,-12.175163
106,-104.14223,-113.23273,-21.418152,-119.4687,-118.01233
107,-19.814907,-102.80455,-98.33899,-22.181623,-17.06693
108,-105.22009,-104.954216,-122.68772,-112.49965,-123.99482
109,-31.936838,-107.76465,-100.85618,-105.10954,-19.048183
110,-21.448734,-106.006424,-100.137726,-107.033936,-104.901024
111,-102.08808,-21.343342,-101.874016,-28.599644,-102.542595
112,-14.21101,-109.814835,-23.732674,-103.01812,-21.15633
113,-24.008604,-112.06068,-102.598434,-20.656445,-104.94809
114,-20.201868,-104.46304,-103.70849,-107.967896,-116.737946
115,-103.07512,-106.70628,-102.57518,-103.92911,-24.895994
116,-21.76009,-105.965416,-17.676197,-110.75371,-113.91996
117,-11.069767,-104.27721,-104.81202,-107.585686,-103.09659
118,-18.418398,-103.399376,-16.836813,-98.469345,-110.161674
119,-100.24611,-101.29722,-18.850475,-21.863512,-105.53288
120,-120.282936,-101.86075,-20.145647,-112.27029,-17.823332
121,-16.627192,-103.94865,-106.1634,-108.163605,-27.363415
122,-100.1478,-102.20056,-103.75272,-118.92537,-17.353033
123,-24.188719,-16.222822,-117.68808,-17.72855,-108.90927
124,-26.113997,-117.20456,-99.42051,-22.006742,-18.286415
125,-27.585573,-105.8679,-13.641094,-22.663319,-25.701931
126,-108.32979,-17.26015,-13.152222,-99.41965,-28.830206
127,-98.04683,-23.98524,-17.421045,-111.453766,-22.135174
128,-19.145021,-24.305246,-16.477634,-21.366524,-15.64239
129,-23.599577,-109.44863,-114.08185,-14.488588,-8.643196
130,-12.794577,-102.907295,-16.123392,-120.45842,-18.354807
131,-20.357698,-99.42641,-17.517513,-107.73797,-113.95868
132,-111.6795,-102.990654,-100.269226,-112.06918,-19.273785
133,-29.542894,-92.91051,-102.61926,-107.01657,-18.106094
134,-28.576683,-103.40311,-98.446846,-108.17321,-102.362236
135,-102.40913,-109.279015,-102.48526,-27.761278,-21.68121
136,-103.13076,-17.406649,-17.742493,-101.18253,-16.474754
137,-105.65116,-98.57101,-108.635506,-100.043205,-19.809937
138,-15.314182,-100.679535,-19.096,-119.24654,-25.926828
139,-20.196846,-103.316666,-101.348274,-18.690006,-18.944454
140,-103.43221,-101.34157,-23.100855,-18.213099,-20.551147
141,-23.312105,-108.68654,-98.20928,-96.71672,-21.826126
142,-24.803345,-14.818291,-104.91745,-108.62685,-19.515348
143,-23.401669,-22.978958,-14.557766,-18.031343,-113.74124
144,-25.938284,-29.949928,-21.768475,-21.556223,-30.42015
145,-22.453783,-23.815233,-17.105679,-22.818966,-21.435787
146,-100.28807,-18.807613,-105.734406,-19.110992,-19.124193
147,-102.4424,-100.88827,-99.20886,-103.63963,-109.30586
148,-15.996239,-104.14474,-104.377205,-110.63839,-22.0621
149,-103.61923,-22.848104,-15.9581,-100.980865,-13.218341
150,-117.05448,-18.941526,-108.78244,-27.47497,-15.594655
151,-21.215538,-103.17759,-20.522816,-102.02234,-18.076357
152,-23.586342,-105.09464,-22.640856,-102.186516,-16.568012
153,-94.81223,-100.88733,-106.58648,-23.535791,-15.577255
154,-102.08202,-102.44586,-101.474365,-21.831951,-12.880848
155,-99.05559,-107.84897,-18.389235,-111.85242,-104.49375
156,-97.98585,-102.73991,-102.59969,-99.08385,-24.860487
157,-97.0959,-102.4113,-26.140749,-113.65081,-105.87159
158,-21.081,-15.80084,-99.18892,-99.18639,-12.642573
159,-101.18977,-114.87042,-22.12782,-21.549267,-10.191474
160,-96.636505,-104.40194,-25.314842,-19.987429,-25.0034
161,-22.085611,-108.03632,-101.694756,-101.01594,-22.468254
162,-23.846891,-102.23447,-109.20212,-101.4667,-20.554358
163,-98.79965,-104.149605,-110.97511,-22.88986,-18.120176
164,-21.581879,-104.36555,-105.78735,-24.98557,-8.940163
165,-22.338072,-99.95405,-100.04298,-20.844425,-12.098376
166,-101.36273,-105.778656,-99.63446,-17.641068,-21.852491
167,-101.738235,-107.7993,-11.119878,-96.89498,-106.78139
168,-24.047745,-16.680159,-22.27965,-30.372368,-102.24536
169,-101.88452,-10.730721,-17.031504,-107.60162,-16.684086
170,-98.43654,-103.24957,-18.481045,-25.016804,-18.126938
171,-100.20409,-105.05106,-101.39375,-111.8189,-16.809368
172,-106.69611,-102.4923,-21.307531,-17.027733,-26.543247
173,-22.158087,-103.542694,-104.239845,-99.49941,-9.312958
174,-19.13844,-103.820465,-101.66365,-110.52707,-8.597635
175,-14.119411,-13.962906,-103.55674,-29.90196,-13.39299
176,-98.97314,-101.87142,-106.79504,-103.07791,-17.48295
177,-17.65711,-19.754395,-10.205583,-30.087048,-11.865302
178,-98.24939,-98.71628,-120.44801,-105.963394,-8.82248
179,-94.92545,-22.36932,-18.593302,-22.699541,-99.61829
180,-17.44842,-100.414444,-16.330856,-24.004683,-8.431892
181,-110.07549,-99.788376,-10.499827,-99.61699,-24.10634
182,-100.83532,-26.374365,-101.90126,-96.773094,-25.66574
183,-126.04022,-27.200525,-14.448878,-20.390736,-20.676748
184,-101.28625,-102.244064,-17.787373,-105.34379,-17.574417
185,-100.16305,-100.61025,-106.62007,-101.99912,-108.426384
186,-22.711653,-27.884363,-108.918594,-96.987885,-14.302015
187,-100.937706,-100.29793,-104.01397,-18.831133,-111.59952
188,-17.511307,-27.439177,-22.47162,-19.770874,-12.594669
189,-20.688671,-104.22163,-104.98756,-29.782028,-18.64924
190,-103.005905,-98.69153,-105.41463,-107.97099,-21.792412
191,-103.48973,-20.961357,-19.104555,-20.596973,-18.405567
192,-101.549866,-103.46825,-16.260397,-26.241407,-21.437277
193,-9.6768465,-19.453693,-26.767984,-24.154728,-7.306877
194,-100.43615,-103.76321,-20.08166,-103.55708,-105.8873
195,-20.82905,-101.35847,-14.648222,-29.408308,-18.530127
196,-19.727024,-103.67134,-23.674828,-26.456957,-21.083452
197,-102.23301,-107.33378,-16.05896,-107.60158,-18.978645
