,It 0,It 1,It 2,It 3,It 4
0,-68.31629914780285,-178.32748991920425,-10.8480785225643,-96.80173454274671,-75.49431332515289
1,-68.57224140802242,-178.41051834767714,-11.015612428980958,-96.82864299653005,-75.51477497732847
2,-68.31944294192208,-122.62380258041124,-102.54078801729216,-96.85789804796751,-75.58266640466265
3,-68.56346712220895,-178.2916573014955,-10.384882355957995,-96.7481420432205,-75.51492616759792
4,-68.30283913903465,-178.41300745004773,-27.981539674987264,-96.75031320583261,-75.4718466107276
5,-68.72978121423475,-178.31459641375167,-10.530157009039941,-96.80047777457379,-75.50488915871226
6,-68.67546890500235,-178.32095697042936,-10.770887397302724,-96.72339134517901,-75.46636522810728
7,-68.1775456983275,-178.71142259190356,-28.063680080647718,-96.79169696932256,-75.18203036944293
8,-68.64182199947625,-178.70781215206154,-26.3701332380851,-96.82516952304604,-75.49431882751075
9,-68.58264064935237,-178.68156388845497,-30.615129158088802,-96.78571932759074,-75.49749513310161
10,-68.60772362284524,-178.4135450611316,-18.16815626635595,-96.83679466064523,-75.20133381122619
11,-68.59071521128216,-178.66955028696418,-10.61367612194125,-96.7650671647753,-75.18109809757036
12,-68.40446172078843,-178.32302596650774,-28.17087356246715,-96.7514003563337,-75.49522926672847
13,-68.19536791146238,-178.68019140827454,-105.74301561722338,-96.83258270515067,-75.47410535674797
14,-68.61324513430705,-178.681719489653,-10.399144584239515,-96.80472062041393,-75.18932336574719
15,-68.7175945694351,-178.69349911036025,-28.14026103583283,-96.83341232466667,-75.18770179613608
16,-68.29933282173103,-178.6800684299441,-23.614243258364958,-96.74320841395296,-75.46912589626825
17,-68.19614962960563,-178.69527146928075,-28.288033125914797,-96.80325095824432,-75.49641327754269
18,-68.58596328883635,-178.70580336393354,-38.4204331276438,-96.83745773031066,-75.19449102569207
19,-68.09660013943545,-178.69146847339218,-37.02384072203282,-96.77380436216605,-75.19458681108834
20,-68.57558635896385,-178.6946550523703,-11.006049994074715,-96.77153593060622,-75.48730957423552
21,-68.64759095659431,-178.31334496073825,-16.993755930159566,-96.80086140356089,-75.18435101361358
22,-68.30418867707569,-178.60451689086895,-25.630221952772832,-96.77477912109997,-75.5152238389578
23,-68.68463588764966,-178.31897865118094,-28.544014975080554,-96.76964253077159,-75.18032092631378
24,-68.58471702900283,-178.3240765621743,-26.38303912161298,-96.8026318696818,-75.18153150522502
25,-68.63101292899142,-178.71178288287857,-10.715653389679778,-96.81628033592366,-75.49862637614176
26,-68.68654781473784,-178.68143963368115,-30.686625650778016,-96.74826829743448,-75.20071333114326
27,-68.247697321556,-178.69802224294963,-10.691985108266177,-96.80274079326664,-75.46990848192156
28,-68.62878346951291,-178.6844836835203,-26.050935205858664,-96.83802751538127,-75.19749526392451
29,-68.19879713055639,-178.6871281061473,-10.939127228127655,-96.8344744207769,-75.18124907865977
