,It 0,It 1,It 2,It 3,It 4
0,-93.24762015676254,-92.43600403263684,-93.40291993591802,-115.70253843618308,-93.03274463118069
1,-93.31387318347961,-92.27924476619239,-93.36503120516811,-115.41211358478168,-92.92860452219983
2,-93.45691071720647,-92.35811590022027,-93.23618577805216,-114.91981519437147,-92.98406484986826
3,-93.37054897021866,-92.26596768038961,-93.36069835225268,-117.25692984410655,-92.74861218712785
4,-93.36829509060992,-92.33258047803507,-93.33400959882225,-114.8845043248441,-92.79355947069071
5,-93.30851747820483,-92.26246390589318,-93.28780529220973,-114.83155196928358,-92.72779548516955
6,-93.26983548541972,-92.46524394517617,-93.30428048884411,-114.26069149922091,-93.02736034478744
7,-93.26287635065587,-92.31166535493111,-93.34603806695684,-113.67575297605742,-92.9236932904156
8,-93.37128625503283,-92.3876730295013,-93.37098710367201,-115.01667575260004,-92.79906195020746
9,-93.25762571708727,-92.24355903888929,-93.3559805042861,-114.95311384760402,-92.84923198982591
10,-93.29376679278701,-92.30862026482689,-93.31236338550963,-117.51610923143353,-92.98143941813754
11,-93.3012833259333,-92.16248582014504,-93.41502288971158,-116.1213909195761,-92.89680763912108
12,-93.28099470196766,-92.3572169016602,-93.28965277157457,-116.98380336759548,-92.8444947228401
13,-93.22803875087124,-92.35879149090708,-93.2814274092012,-114.3449540207181,-92.88698080902512
14,-93.34817660539255,-92.21033339637744,-93.43257563216184,-114.47724716281084,-92.76257556762407
15,-93.45893668646715,-92.29055107409957,-93.27866237402827,-114.11275261095477,-93.02677736209112
16,-93.30673541225156,-92.34546870229781,-93.17158401733272,-113.86873540406613,-92.74798888061518
17,-93.39458776864316,-92.26292663972778,-93.38400001777829,-117.54491676869057,-93.10945326130407
18,-93.2968680980178,-92.38230640875513,-93.37300612171737,-118.94521681474397,-92.94536879620745
19,-93.28007225638648,-92.32332097265645,-93.29933187259944,-126.89527872649269,-92.90871876194576
20,-93.45518224095235,-92.38892173111951,-93.15768060398347,-114.53755445054796,-93.05474505053026
21,-93.3426028947311,-92.42932507939838,-93.41575441608221,-114.78327973053605,-92.7388923946574
22,-93.03864381056414,-98.22986656514416,-93.39249088379431,-23.111851346525885,-93.0116580898373
23,-92.77986483853218,-98.01828427131812,-93.64888610301975,-114.54100570872923,-92.7829685874617
24,-92.75256818824563,-97.9775221823084,-93.3006029503254,-113.27764461945401,-92.98748580622195
25,-93.10766865041961,-111.9845962877539,-93.66504017653534,-25.72965613850644,-92.8014166542857
26,-93.32086508371098,-92.4976843535717,-93.18796972093965,-113.95631147589535,-92.90262336323674
27,-93.32530884129112,-92.4294046886725,-93.27394803157736,-115.95253955532176,-93.05608347913999
28,-93.18386864771173,-92.30656331207479,-93.32395180606726,-114.6360153379186,-92.80159931974454
29,-93.37531723607145,-92.43234104636079,-93.16917463622083,-116.48109018088007,-92.84842376409526
30,-93.27408159237581,-92.35594088172338,-93.29044814681394,-114.67277501484193,-92.98172669177534
31,-93.38115712267471,-92.39919058205467,-93.27266979654627,-115.08591258655674,-92.85945610135312
32,-93.31947910327946,-92.42793066619647,-93.33942024607933,-115.69972879875203,-92.91211910083557
33,-93.32387892169652,-92.28980714008274,-93.29431781254546,-115.20264117702966,-92.8112717092329
34,-93.48385124646298,-92.34135795892787,-93.29205580767128,-115.4592512047086,-92.90457854501045
35,-93.46174846733665,-92.21026967925826,-93.32529248934075,-113.93063353321826,-92.79911341739256
36,-93.463571490599,-92.4306108924653,-93.17569663292217,-115.81487769364689,-93.10428186571983
37,-93.3827067307868,-92.38935887234891,-93.33655660535123,-122.78422791035473,-93.16529955340363
38,-93.27336723644076,-92.47182764817603,-93.28175640235092,-115.71608976155645,-93.08612201493531
39,-93.21646872589334,-92.28512721143508,-93.27179990509664,-115.22021032782644,-93.06501014694902
40,-93.42883462986808,-92.27630054743969,-93.25356812763847,-114.66392018739755,-93.02889645440341
41,-93.23399767375803,-92.38169341640756,-93.26630908992956,-115.76727849572407,-93.02056638437179
42,-93.34417991849477,-92.35570177033125,-93.15762791493749,-115.56250185535848,-93.01189189763375
43,-93.3023578339448,-92.3162595658158,-93.30235903345103,-115.55893653040627,-92.9995837712629
44,-93.28372666002547,-92.19766082302567,-93.16914944354554,-141.08572403409613,-92.98182073444632
45,-93.30220977043612,-92.30967418762296,-93.14592812573642,-113.62731284242744,-92.87040438856049
46,-93.44260678983659,-92.36454496260794,-93.30296798859544,-115.34687348208888,-92.76281307148294
47,-93.24149392704763,-92.29593869953167,-93.28951370847096,-115.46241391956309,-93.0273701476769
48,-93.18082561210674,-92.33919403761269,-93.37557653815482,-115.14948965144934,-93.05519117075418
49,-93.27802473209015,-92.26647942501617,-93.41121722583837,-114.78174335936271,-92.84803254296382
50,-93.29217867225323,-92.19735609173232,-93.32118633693204,-114.69538531367016,-92.83557539299053
51,-93.27578549496398,-92.38594247563199,-93.13643995501086,-113.60147774306623,-93.07845767609376
52,-93.41094247126105,-92.40995915463252,-93.27307242582673,-116.01261727302273,-92.98306269539265
53,-93.31981067577424,-92.3399695609208,-93.36474257889957,-116.02309071129685,-92.93936156413223
54,-93.3631193651647,-92.32209492970443,-93.3765067750794,-115.45475101499134,-93.05272899495344
55,-93.35525886232266,-92.42710629745565,-93.236015397403,-113.68301538861047,-92.95373149194293
56,-93.33561372075621,-92.46281717926566,-93.22085171748228,-114.3008779038537,-92.72645943344423
57,-93.24478951081494,-92.44266498582112,-93.24381284727149,-114.34811660695821,-92.76594829489481
58,-93.31853598012019,-92.22969201382739,-93.27748987676075,-116.87788379209923,-92.99183803246186
59,-93.30169288460266,-92.23912112689658,-93.36894117154131,-113.50192439436074,-92.81284470853257
60,-93.26514033535604,-92.38276622750968,-93.23593601672037,-115.09413112774492,-92.73866629127711
61,-93.34635443841324,-92.50458654381758,-93.29374484176407,-115.80118192408699,-93.07976852300064
62,-92.84173195637048,-100.33921984188868,-93.28887978368485,-113.68171688486014,-92.94979978583905
63,-92.8122446335374,-98.31100172915798,-93.60679142274365,-118.82713265080207,-92.8294703402946
64,-92.87904033624893,-100.23912410697291,-93.37354880735666,-25.225496203023987,-92.93280468062382
65,-92.9351411951819,-112.24109223752511,-93.5650115415929,-112.14958538463775,-92.7517988754878
66,-92.92403657811337,-100.28396736631116,-93.45185013878438,-110.13412471356646,-92.80747233910941
67,-93.33993273408431,-92.36830158226802,-93.22684228815119,-116.77995880216858,-93.0154833925563
68,-93.47404218873126,-92.32059847906154,-93.40770619867338,-114.04120065947933,-92.87265043313184
69,-93.31197965708367,-92.46829070939341,-93.39524528314337,-114.24296298773385,-92.84225938435989
70,-93.27959407875183,-92.22180958887283,-93.29414192819603,-114.41449233497306,-92.99416368060659
71,-93.23237056072716,-92.33717892424195,-93.21132668597957,-114.7956238889452,-92.98836863032884
72,-93.44785402104048,-92.43335719378494,-93.29541446478936,-114.645500410355,-92.74914843042929
73,-93.31054459683713,-92.21593306850153,-93.37009870950257,-116.18200785960754,-92.9614111011494
74,-93.35879643238553,-92.36735780160254,-93.26055361284448,-113.7841816634573,-92.9385388537241
75,-93.31391823645083,-92.38618758641518,-93.26764697292614,-116.617437168397,-92.74006358132407
76,-93.27971258075823,-92.26473396800009,-93.3528977286615,-116.08996899533645,-93.08198422888779
77,-93.22477052106258,-92.42017516120225,-93.37418894858418,-115.12113872504668,-92.90396811253127
78,-93.28039916563144,-92.49233140460794,-93.17876029993342,-114.45877090894493,-92.74828048511746
