,It 0,It 1,It 2,It 3,It 4
0,-30.02609,-123.34238,-121.614,-38.966866,-41.760487
1,-121.74708,-110.05524,-114.50606,-107.87413,-39.042248
2,-111.39282,-113.45126,-119.76607,-113.56697,-115.69562
3,-115.30488,-109.60615,-123.565445,-110.80158,-114.00826
4,-117.11614,-117.66226,-117.992165,-118.35909,-118.922104
5,-110.22828,-115.79404,-119.47835,-115.7534,-116.21278
6,-110.431015,-121.575035,-112.25867,-115.31876,-112.19579
7,-126.38492,-122.43117,-118.71063,-115.93437,-115.365166
8,-116.87321,-121.844086,-119.00604,-117.12923,-115.18805
9,-117.96071,-118.984695,-120.69828,-114.32422,-115.54919
10,-121.391174,-135.66957,-116.793884,-121.10949,-119.81491
11,-119.1015,-26.794155,-115.3916,-114.84196,-117.377304
12,-118.42331,-24.807648,-115.2059,-114.20744,-115.70429
13,-119.37874,-26.214567,-129.5408,-120.48607,-116.56069
14,-120.78202,-34.556087,-108.15181,-114.11341,-114.16792
15,-32.918053,-33.215393,-28.180145,-114.5953,-114.94268
16,-123.83063,-34.140167,-101.67285,-111.14543,-134.66158
17,-24.203447,-38.031265,-27.51167,-111.30832,-114.13261
18,-27.733713,-21.77733,-118.49034,-97.6717,-31.14767
19,-25.169655,-15.502731,-110.95217,-103.36541,-100.786285
20,-23.731672,-109.638565,-110.14644,-100.64591,-105.904724
21,-109.90248,-35.03265,-105.57551,-25.105999,-37.851887
22,-114.27109,-34.82885,-106.88429,-40.389515,-24.714676
23,-108.655815,-108.711914,-108.56715,-38.11528,-20.488995
24,-16.999245,-35.39095,-24.452463,-111.118065,-100.81028
25,-109.99039,-31.810787,-108.167435,-111.35195,-31.722343
26,-105.55627,-43.26365,-120.05084,-105.11476,-110.49967
27,-104.354225,-37.81833,-108.116776,-24.01259,-21.173141
28,-123.28296,-46.984825,-98.3594,-111.33721,-104.05095
29,-27.354021,-32.211227,-101.31992,-16.033262,-118.394196
30,-29.892763,-31.093037,-101.19421,-111.77672,-108.978516
31,-21.181215,-28.681337,-14.970319,-25.68287,-22.358221
32,-22.107986,-27.5378,-104.607056,-117.67008,-104.02865
33,-116.30951,-112.98195,-17.131,-113.13767,-105.93707
34,-28.248075,-99.44788,-112.18998,-105.66963,-19.720085
35,-28.772058,-99.37628,-22.319399,-117.45799,-17.228373
36,-20.236485,-22.376549,-25.987562,-107.46814,-106.951836
37,-112.49992,-101.319534,-105.910164,-24.120083,-22.270494
38,-24.437346,-115.57324,-106.15085,-27.088636,-24.42457
39,-28.726732,-112.85397,-20.782856,-106.937256,-25.41492
40,-110.05179,-107.90161,-21.195427,-19.34234,-27.441046
41,-117.16458,-18.167133,-24.456083,-109.718414,-121.39212
42,-118.910416,-18.93271,-103.489655,-17.264389,-32.23299
43,-107.448586,-98.54619,-18.810888,-18.88227,-27.107672
44,-107.58785,-108.13542,-22.375856,-113.537346,-32.785458
45,-109.76789,-101.05006,-18.96346,-25.611006,-26.542389
46,-29.875313,-112.082054,-12.721712,-21.364319,-108.87362
47,-21.26556,-113.95714,-20.507349,-97.280624,-26.978144
48,-23.252783,-102.8858,-106.89549,-116.1678,-119.10041
49,-21.647554,-100.09342,-29.56743,-101.55637,-31.747196
50,-113.08116,-28.986595,-29.354576,-104.32278,-28.306667
51,-108.120636,-99.685234,-109.80987,-36.953205,-26.876247
52,-22.197287,-121.25832,-108.510635,-114.21369,-36.795746
53,-105.781075,-114.10448,-120.289185,-32.424187,-32.637444
54,-116.31148,-108.54294,-127.79573,-103.096,-21.305904
55,-25.160965,-112.770805,-30.1778,-100.45599,-113.026794
56,-24.495377,-111.08649,-103.56442,-97.68375,-37.231544
57,-109.70929,-17.630238,-105.565735,-22.641306,-26.042202
58,-20.788506,-116.83338,-113.6078,-100.250435,-22.95259
59,-28.982738,-113.95245,-104.36339,-22.475632,-29.184326
60,-27.46886,-104.15741,-28.81142,-18.511496,-108.69837
61,-22.922186,-102.48855,-102.76195,-105.86432,-107.78809
62,-39.260162,-17.870869,-27.734144,-11.081632,-103.645546
63,-25.418903,-102.439606,-106.395905,-116.19646,-106.45324
64,-111.99035,-108.83249,-107.602905,-114.62954,-109.86299
65,-30.98467,-106.81557,-106.23768,-108.31626,-105.55179
66,-25.352945,-21.328447,-111.8527,-102.74211,-29.959015
67,-29.829645,-112.3587,-103.812614,-103.1739,-109.45404
68,-26.144386,-113.47607,-106.36107,-21.720123,-108.338524
69,-28.817352,-114.83463,-102.88374,-109.40502,-111.61185
70,-33.656803,-112.65566,-131.45065,-103.7865,-109.12061
71,-24.010496,-35.02221,-116.20953,-107.93268,-105.90204
72,-22.687077,-21.677452,-106.7856,-19.407915,-28.34337
73,-28.535622,-110.94711,-104.445145,-22.451384,-15.760445
74,-108.87234,-24.765234,-111.88205,-29.706612,-107.82453
75,-22.39321,-29.745728,-23.975193,-24.343597,-119.624084
76,-102.55425,-25.5991,-101.28707,-23.525387,-106.67678
77,-39.881954,-22.900635,-101.22102,-24.900126,-101.56831
78,-32.01952,-26.9375,-106.680084,-109.418,-28.842287
79,-113.4984,-107.16947,-108.36323,-24.321884,-107.874344
80,-30.400259,-25.388796,-113.1285,-103.87463,-115.62678
81,-103.603096,-33.472935,-113.43648,-26.402214,-19.43411
82,-27.534565,-110.705826,-111.688705,-17.821625,-14.393752
83,-25.416538,-30.88829,-104.19492,-102.981155,-115.14958
84,-34.19457,-29.250654,-100.31837,-103.41563,-103.735695
85,-108.69689,-108.35217,-112.562515,-24.13914,-104.39861
86,-26.730936,-101.49616,-100.505554,-20.235867,-108.73131
