,It 0,It 1,It 2,It 3,It 4
0,-39.40810650813581,-51.10576141771305,-39.7166037889503,-40.0675677240153,-35.41592358763765
1,-39.20176199159538,-53.18619766930232,-35.34139083444228,-34.06291306175448,-74.55737664062806
2,-47.36143113241727,-38.45211474333668,-65.67583839124462,-34.39000148854976,76.39651671039863
3,-52.702815228038524,-53.44377671429182,-67.25717444503313,-26.874945352759973,-84.84896110195899
4,-47.658466393935605,-42.90391162032806,-35.95874555553826,-100.93078067360089,107.23832569043833
5,-19.83342318983787,-43.67902931373658,-40.63975246493338,-100.27857614997946,48.08246709315509
6,-36.23827843140961,-37.53790365880465,-66.68020865857949,-99.99325599550704,-31.415307147250473
7,-32.424881454629784,-34.25910873247382,-41.947253856895166,-34.02780541788939,-9.483282206261151
8,-33.480902171967664,-36.94316840365492,-66.54990192380308,-97.60310099363463,257.68433949370143
9,-67.14783205582187,-52.94189907993475,-50.587767984932995,-99.31682500819241,257.2525487645369
10,-51.934052021882785,-34.53531037452663,-45.34030356329864,-62.695851255928986,98.092836741306
11,-58.707695369081414,-33.946257938436595,-29.520985136620425,-100.3282982988117,-67.67714069665976
12,-71.8539480420102,-43.33589687404538,-65.70012550126222,-31.393109868294264,258.84043158589645
13,-40.46285212077046,-24.077928375933716,-66.59036056608176,-101.10118158915887,22.604932589645998
14,-35.794104914448766,-63.31748908162378,-35.69840811371214,-99.17016178833771,28.332386114262334
15,-34.605657067970476,-40.82465046347847,-66.68408148086215,-98.9121217519703,-53.03906943666823
16,-32.59894386946033,-46.413252631055066,-65.71207714906457,-99.09056046181654,260.6769757148175
17,-32.094410260745605,-60.694695704979324,-41.711011957427246,-99.29066599395591,-73.43623537523555
18,-31.081261809238487,-97.5390561212151,-42.025175088600776,-33.85914061637502,94.88268956685695
19,-38.603508209002726,-31.940261417410227,-66.65749446348498,-33.82405551535581,262.6245751281901
20,-46.23342764602199,-49.75174133810806,-65.66959251236122,-101.99938201965182,40.767827349964364
21,-31.65742983256489,-64.63858211491733,-46.46926572515613,-96.89516212290184,263.6831168838825
22,-47.17401609950478,-42.75984701824897,-50.08328115720393,-48.92459462230956,-132.99262010961266
23,-34.22684746235994,-30.20137568430603,-41.46337978590862,-32.639764360697,-131.20222160553124
24,-38.481805445036436,-25.793466458033148,-49.28922237615444,-34.50189807135574,-132.7642115459169
25,-29.367415985614144,-46.06466560534157,-67.77535392742412,-30.659032099662355,-133.92845901177947
26,-34.22295413756561,-35.796382121994014,-43.624632783204554,-27.99640728466465,261.53045291945966
27,-38.92052407195597,-60.649771255983346,-39.746923184430585,-96.2980624548262,55.510330029885296
28,-19.867721932268708,-40.597235205754835,-66.4370060499416,-26.81347748167472,7.888318902593866
29,-53.674441459752614,-47.88302893576837,-40.80715196626472,-96.53034350416593,30.967546245582753
30,-39.61021098605339,-35.281296321102616,-47.27561807162689,-29.266791842505025,257.3919742228352
31,-50.01613479880688,-51.90509667699038,-64.76349213032394,-49.51288661405601,-24.769575105596815
32,-65.78816207755118,-38.75640827724108,-30.855632263156068,-26.472781762774247,4.88506163591299
33,-35.842824078466364,-47.36046877925323,-40.383494134005026,-30.591450724243707,67.24609340046712
34,-52.1922753150836,-51.45391221491544,-39.303482336062615,-97.23874533403493,47.58096485349526
35,-87.6851125311193,-34.46754880939093,-28.437806929342404,-31.887134637118933,-36.976686958106576
36,-44.54729266446224,-51.5427605003474,-55.97932916490252,-94.74714389649716,261.7868694605228
37,-39.69710203569885,-43.665051687320705,-42.41516836567379,-99.34484080009597,-36.02125220547044
38,-34.61527321192234,-37.04735326186048,-68.26721173073855,-28.381808933122855,19.305608645069285
39,-42.89178787981559,-51.286662526189524,-38.652596702667886,-30.04917545501616,72.44784685973397
40,-50.25336502339231,-60.87534641642225,-38.43289060213125,-33.98796937270029,262.771820030728
41,-57.661603915903704,-33.059199993939146,-57.03636219289952,-33.6812127475341,-66.40966351512849
42,-21.737637019850396,-33.015663722414885,-63.339608951459226,-98.20121061907247,29.195372736813795
43,-46.805488316161174,-64.4198063570155,-42.875073541346964,-95.83749292023508,-52.02038093827566
44,-48.10485497568654,-48.54627025224561,-39.30476705788598,-32.12347974050455,-64.66843184931267
45,-43.0359666861998,-45.54129814382626,-43.055229965977276,-95.33433847690715,137.02301563496985
46,-36.96512875404495,-37.181685646237085,-38.5176896735148,-32.76438526349982,62.14733862053558
47,-58.88170970986253,-27.467217985100934,-37.620602383338195,-95.64059708996481,-61.042886402020706
48,-58.931036087106634,-27.11503458685259,-43.48454150242719,-32.121638154037925,256.529113076362
49,-30.491687571444267,-40.41792719694016,-42.572900581352044,-30.744432380875626,-9.146340572354873
50,-80.09324405370494,-55.20828628429498,-32.40887294091972,-42.3112542970459,263.9321499394682
