,It 0,It 1,It 2,It 3,It 4
0,-124.35579434884184,-91.85961995364652,-92.34417145230233,-97.26353752887256,-92.97054712149702
1,-123.06864458303744,-118.24429415649311,-92.43648488053789,-93.70723445431143,-92.99419671885359
2,-121.0362234576373,-91.95741955857072,-92.2837295886379,-99.28187276582537,-92.89817689561394
3,-128.08639674047132,-118.3731220954345,-92.40621151607407,-99.07726693477156,-92.89752494080722
4,-124.45235343062389,-118.00520053709089,-92.4236755528554,-98.41170765685958,-92.8553442971278
5,-123.52238284037954,-118.24533401252633,-92.40178126522076,-93.39963833902893,-93.00870176718695
6,-122.48453079805617,-91.9871946594755,-92.5399916285337,-99.73511761070094,-92.94621384771122
7,-127.70340086144287,-118.14344685441128,-92.31111880861641,-91.9552031656201,-93.0105345747356
8,-128.41959909046201,-117.99246532970015,-92.50127299966337,-99.87825391693079,-93.01210844489079
9,-124.0099567795049,-118.5959955514422,-92.31190214597977,-96.07315841271898,-92.96411437044246
10,-128.73656302750592,-91.80439514957303,-92.31206865671602,-97.37110391578102,-92.77019351237453
11,-120.72406052835635,-118.08130639158472,-92.42362368224732,-95.33574923447907,-92.96311595558034
12,-124.80870654986798,-118.06229686029431,-92.35941421577506,-94.83989587576501,-92.94663936188894
13,-124.07949032677679,-118.38072936095818,-92.4125669398213,-96.56519908246786,-93.00014711246702
14,-127.74310489932401,-91.83988852273399,-92.40934421247229,-93.55093304598681,-92.68977891851404
15,-123.29076720249373,-118.28399245957351,-92.27887237684072,-95.36292125982496,-93.00532750637782
16,-121.81628037468656,-92.089982397596,-92.39743868270439,-91.98683279639995,-92.93642697654059
17,-127.39949641052851,-91.97504128630506,-92.37763273373106,-94.32931394223077,-92.98639898660298
18,-119.23884156281501,-14.458492679594274,-92.43195642988368,-98.35183776460704,-92.76341029860141
19,-125.1436165653109,-91.97265440607218,-92.25471001263723,-96.44862294712895,-93.02067830169418
20,-127.94707956823598,-117.97288751483356,-92.48788627432737,-94.74540995115794,-92.81398251823444
21,-124.43296938400991,-14.368307879111054,-92.42083146634992,-97.43148126768655,-92.96639282277025
22,-127.43803849260215,-91.96506953380413,-92.33237684184809,-99.18994686850075,-92.87892451130226
23,-127.1286461683757,-91.80494333721352,-92.50710584421472,-99.72373710795357,-92.91411057506144
24,-119.47796079654898,-92.03578751061923,-92.32200251809415,-99.37358504121906,-92.8581091491712
25,-115.71527696981366,-91.87280914925707,-92.32527601331348,-99.21185591333236,-92.76789055527428
26,-124.46886151163969,-118.09018387761571,-92.60947887024703,-96.6199389019371,-93.03907341923704
27,-123.59812720753416,-118.04295578500748,-92.42228866403472,-95.68454143482498,-92.99789208274862
28,-128.0272859618029,-118.35996416980342,-92.47522311336346,-92.52766559283226,-92.85072669430124
29,-127.69691955379653,-92.16326792372732,-92.35018114768263,-92.84848044815493,-92.94276160835118
30,-123.3184903205003,-91.92644184454201,-92.48324133928321,-92.21046644487336,-92.89861014561014
31,-123.83606377438883,-91.99905458830763,-92.37243972801278,-99.19225029234053,-93.0198889780622
32,-123.6375681649434,-92.16409258467118,-92.5118087257937,-91.80730018182297,-92.8980202987863
33,-118.17157577763754,-118.3133448423495,-92.39754798224864,-94.64665776587782,-92.97129184558895
34,-123.15902325898983,-117.86380851769563,-92.44424589979104,-96.59063342240452,-92.88847410490395
35,-128.07998070597665,-91.99349278007183,-92.41620086285704,-97.56563298785679,-92.88341492678333
36,-125.00591374422613,-118.10870618042948,-92.40620395284378,-96.06214313291102,-92.89870150426697
37,-123.58492215728371,-91.92782304528065,-92.4767249784437,-94.75742603711019,-92.87173833693922
38,-124.85125918356147,-92.06642657036687,-92.34377099394659,-93.94382597804163,-93.01265883229253
39,-120.07313101419645,-118.13606214596996,-92.50507579432691,-99.68055354258283,-92.86447892652126
40,-123.79498650826693,-118.06186187843369,-92.45567875042697,-96.32546486657951,-92.99267573964984
41,-124.48513551551045,-91.83433669282624,-92.40546218609607,-99.57515615658252,-92.87191747003406
42,-117.73233909236228,-118.14184366721955,-92.48913540388287,-93.72934082489923,-92.94499236366619
43,-125.05090247297792,-118.21202335267806,-92.26000078818653,-92.46056336405955,-92.88165534145307
44,-118.17731999811359,-92.1126168658381,-92.48750428894395,-93.3072192084915,-92.88624841317007
45,-122.97368344210753,-118.17032170248858,-92.61441619391414,-96.3454162663117,-93.01794462438563
46,-124.09327098243226,-118.45323039827534,-92.40539224301698,-92.06442357785231,-92.88959403527745
47,-125.50198924197969,-91.96337015591725,-92.51990397021035,-93.26861198681252,-93.03020551269626
