,It 0,It 1,It 2,It 3,It 4
0,-108.49126,-110.38579,-114.04756,-23.658785,-116.424095
1,-101.937805,-112.02196,-101.83003,-118.00631,-24.238623
2,-33.682343,-19.412313,-110.80672,-28.778856,-107.582214
3,-41.145008,-23.299438,-113.959724,-32.495502,-115.18317
4,-31.582718,-109.54762,-21.23983,-117.231636,-120.04535
5,-30.686256,-103.92532,-27.651234,-118.255875,-114.41778
6,-114.955154,-104.860825,-20.364014,-29.643778,-116.823364
7,-117.814255,-105.23399,-20.784586,-28.5663,-117.19322
8,-114.50816,-104.824066,-103.510605,-25.005157,-109.8181
9,-116.693794,-101.951416,-112.05395,-31.700089,-115.94002
10,-115.14081,-104.75138,-23.154501,-25.804243,-116.591995
11,-114.18453,-112.47244,-18.591383,-28.65833,-116.197
12,-117.92105,-103.762344,-107.53037,-29.925346,-112.377335
13,-107.90524,-102.15873,-21.828476,-23.388168,-118.82075
14,-107.69926,-105.835335,-110.49057,-135.85738,-120.78822
15,-107.91298,-112.98296,-102.17429,-105.28264,-129.99269
16,-99.65201,-25.117548,-100.90521,-110.134895,-17.819242
17,-27.285467,-113.357635,-100.44349,-107.63231,-28.805527
18,-28.837036,-95.357216,-103.42122,-115.94522,-107.004364
19,-106.382,-30.299862,-19.495386,-106.455536,-19.478397
20,-99.80646,-112.467316,-16.170134,-105.66217,-13.032437
21,-102.369576,-17.807327,-105.72595,-18.852453,-134.67363
22,-108.866325,-112.87574,-99.76679,-17.756514,-110.43991
23,-101.69827,-23.774454,-19.554155,-106.71082,-21.41693
24,-34.51986,-24.598726,-100.729965,-23.299732,-20.02974
25,-37.216595,-16.754316,-113.57619,-17.793556,-15.11484
26,-124.627045,-107.61996,-16.634455,-18.675638,-18.310184
27,-101.51077,-21.773611,-108.62158,-102.0962,-103.97405
28,-101.21151,-112.22131,-12.411091,-25.224134,-18.900381
29,-103.85016,-29.29619,-113.93202,-104.92989,-120.01134
30,-101.03349,-20.013542,-104.15389,-109.55029,-116.710884
31,-103.340515,-106.92358,-104.45354,-19.737068,-107.95372
32,-99.793205,-26.363995,-104.953445,-105.09579,-120.079254
33,-35.802036,-103.57203,-106.04699,-18.017784,-112.833084
34,-107.82293,-23.709429,-104.35698,-104.2499,-110.63334
35,-104.708084,-113.02589,-110.44403,-24.78961,-102.47805
36,-101.655464,-28.833427,-26.729225,-25.250784,-26.89966
37,-104.71244,-17.029186,-16.47705,-20.112589,-23.476536
38,-100.6132,-105.67159,-104.25859,-19.043377,-103.09122
39,-100.16158,-108.41132,-28.785349,-14.593516,-16.557354
40,-105.01009,-105.026276,-103.36716,-18.744637,-18.709593
41,-26.390524,-100.552216,-16.875587,-18.766745,-109.561005
42,-27.512133,-23.598833,-27.14907,-19.903357,-15.839416
43,-100.56096,-107.0589,-117.16026,-112.05821,-18.228191
44,-23.557758,-111.24823,-118.90492,-101.28851,-102.69533
45,-101.07351,-100.735344,-102.74698,-100.67672,-16.845247
46,-29.991734,-111.96011,-104.61396,-12.875768,-26.059418
47,-38.52815,-103.872444,-101.4669,-14.0158615,-107.70232
48,-21.69119,-110.12251,-114.14989,-30.52402,-15.075883
49,-102.671875,-27.07029,-22.831387,-18.638824,-13.862319
50,-113.976036,-25.324354,-118.49239,-102.053,-24.015503
51,-24.12317,-20.152975,-28.777287,-19.297256,-23.854206
52,-108.027435,-22.196012,-111.139,-22.456373,-98.44392
53,-23.404003,-104.09894,-33.67608,-102.37722,-101.60822
54,-24.95132,-22.296955,-108.5719,-17.886894,-19.943073
55,-106.87292,-23.184473,-116.602905,-22.015244,-19.392506
56,-115.694496,-106.89519,-96.736015,-14.724546,-103.02148
57,-118.38247,-26.214092,-108.897,-21.328993,-106.944016
58,-100.97119,-119.980865,-99.101845,-23.916727,-102.04225
59,-24.35236,-20.556086,-99.4187,-102.79747,-103.343506
60,-105.689026,-103.89705,-104.021286,-23.254593,-17.440437
61,-106.70469,-102.909775,-104.045456,-110.63195,-24.212444
62,-101.99279,-20.349813,-99.40999,-22.338661,-114.806404
63,-106.71991,-102.77907,-99.32671,-25.322813,-99.98813
64,-110.3119,-102.72789,-106.38777,-102.44328,-21.183386
65,-105.27944,-27.058397,-36.288464,-100.64395,-100.48926
66,-105.00377,-16.094515,-34.4373,-104.25225,-23.258263
67,-109.67427,-100.96567,-17.633408,-20.207163,-19.61427
68,-104.387726,-114.53194,-108.35952,-26.08032,-14.360838
69,-109.33132,-99.40128,-102.2253,-21.571375,-104.953705
70,-35.207928,-15.887438,-112.53756,-108.662384,-18.817036
71,-104.62209,-101.27219,-106.49706,-107.052376,-15.575374
72,-99.95043,-99.11801,-99.8271,-101.324875,-21.59336
73,-105.849045,-24.521015,-119.03718,-23.20105,-102.97137
74,-122.79201,-114.22285,-113.8342,-102.71843,-17.026386
75,-30.515177,-113.469955,-26.418856,-104.74299,-115.439255
76,-100.72927,-19.793907,-98.09031,-19.827997,-24.603767
77,-33.605465,-102.31949,-23.925562,-25.572496,-16.49567
78,-106.58467,-103.631714,-29.769487,-103.98092,-98.125175
79,-38.79174,-32.54429,-23.734035,-100.41255,-17.245039
80,-102.68278,-16.940458,-19.899328,-19.748049,-100.02178
81,-102.437645,-25.317078,-101.34322,-18.650291,-97.81049
82,-26.746721,-102.92459,-102.36076,-18.768929,-99.4972
83,-107.2897,-15.685654,-98.8638,-102.548584,-106.44594
84,-36.710785,-102.62973,-102.62707,-8.902215,-21.260853
85,-108.75817,-104.94528,-22.619766,-21.861633,-14.849151
86,-43.5762,-104.12652,-103.07572,-20.670815,-20.31322
87,-32.978325,-104.92202,-95.758255,-102.20455,-24.381607
88,-103.226845,-97.82854,-113.32399,-23.4243,-101.80676
89,-99.61192,-111.23436,-104.8464,-22.88878,-17.41739
90,-102.69155,-115.478424,-99.79226,-98.12842,-114.431046
91,-32.998356,-19.507572,-99.849785,-20.530672,-104.113365
92,-37.888325,-103.36131,-111.294945,-15.336832,-13.807051
93,-102.07398,-18.177952,-103.8998,-23.2097,-16.074316
94,-103.16675,-103.01539,-103.91451,-18.541689,-115.014015
95,-41.533684,-118.32972,-118.02866,-20.689503,-15.221484
96,-101.0734,-102.9799,-103.61093,-102.932335,-27.10503
97,-112.68527,-100.54443,-105.22624,-25.85038,-103.13951
98,-103.19893,-15.623203,-23.67842,-96.9828,-15.612597
99,-100.12373,-18.647871,-101.06608,-20.436024,-106.815544
100,-101.39526,-24.049599,-103.315605,-24.1944,-101.86456
101,-31.266386,-27.59307,-20.920437,-16.228785,-12.296266
102,-102.85603,-106.40504,-101.476616,-103.479935,-11.361871
103,-109.669304,-109.223755,-109.3723,-98.22415,-102.72369
104,-104.4848,-19.534418,-109.66161,-102.57975,-112.40875
105,-23.945679,-22.752588,-33.623272,-14.572452,-101.9389
106,-99.484,-104.39389,-102.967636,-96.38151,-14.930523
107,-100.50064,-16.46948,-101.56671,-103.79106,-12.294384
108,-25.457577,-108.622925,-102.23714,-97.01721,-108.04598
109,-27.921083,-102.06336,-25.319416,-101.682205,-103.51566
110,-102.04658,-110.616486,-112.15903,-99.69739,-18.407022
111,-101.49219,-104.39873,-106.55644,-108.20089,-19.99755
112,-104.130745,-16.73174,-104.447975,-13.552317,-11.427697
113,-99.33724,-16.54162,-12.640513,-103.53287,-108.440735
114,-36.98578,-106.93769,-103.7478,-12.026073,-12.125491
115,-101.26979,-103.10526,-98.35157,-20.44169,-17.829832
116,-100.104126,-111.65933,-100.15972,-101.27818,-14.726455
117,-101.965324,-104.25681,-113.247345,-12.566123,-101.29634
118,-103.764015,-19.403673,-23.279697,-13.826011,-27.552004
119,-102.792046,-103.53598,-103.10134,-105.25881,-14.423386
120,-32.368782,-102.63458,-102.08948,-15.106985,-11.774965
121,-30.778906,-19.226954,-102.16385,-18.673803,-23.181164
122,-98.65162,-109.858765,-100.4561,-99.8201,-14.183624
123,-119.90958,-108.9474,-111.62515,-97.38404,-14.839356
124,-102.60885,-14.530587,-113.8428,-107.66599,-114.46802
125,-102.32315,-14.578279,-11.738753,-96.0566,-107.50178
126,-99.09524,-102.61679,-101.63065,-102.44754,-15.021713
127,-98.934586,-109.55985,-103.36956,-113.9478,-98.54391
128,-25.684616,-106.03959,-98.719536,-100.12979,-18.553598
129,-19.80561,-14.389014,-23.235764,-20.557901,-95.75935
130,-99.136086,-103.64497,-21.724957,-98.34931,-108.99964
131,-112.37294,-104.91471,-106.89762,-104.36561,-103.06583
132,-20.849457,-103.13951,-102.08573,-110.89306,-12.774744
133,-25.785439,-99.869995,-97.93016,-21.16794,-18.453178
134,-111.05981,-21.454811,-102.40231,-99.39753,-15.21097
135,-96.532104,-25.974964,-100.673965,-17.926401,-11.986633
136,-113.18211,-103.14923,-97.830956,-105.855,-104.631355
137,-99.75709,-18.888453,-104.400024,-18.326252,-8.2182
138,-110.46961,-105.887985,-19.128391,-9.497582,-117.30209
139,-25.314041,-102.8518,-108.68878,-18.095709,-10.872339
140,-113.164215,-27.038233,-107.133484,-12.9652405,-117.01541
141,-99.51301,-98.02906,-103.04435,-12.476376,-8.0516405
142,-22.052383,-106.32578,-101.152534,-98.36319,-10.695828
143,-97.511505,-103.775215,-99.53292,-13.029428,-22.797144
144,-25.46696,-101.2163,-7.3663306,-20.087154,-8.857761
145,-101.39063,-14.154443,-99.762146,-110.62431,-8.737057
146,-103.34266,-100.482605,-96.37272,-17.116121,-16.381372
147,-33.667942,-23.751352,-100.87045,-18.698309,-114.04654
148,-98.17115,-15.831927,-100.98932,-19.499634,-7.7248163
149,-99.48576,-19.073933,-114.58161,-11.670329,-94.16835
150,-112.58349,-15.540773,-101.75738,-14.941324,-12.909732
151,-101.44357,-24.26505,-104.51669,-17.418854,-115.4513
152,-99.70347,-111.06111,-99.206314,-16.689121,-13.758232
153,-99.54166,-14.445455,-104.02067,-12.782742,-9.179197
154,-99.25649,-107.41591,-102.94229,-12.863837,-105.46842
155,-101.5138,-18.68829,-25.18968,-112.25833,-7.685967
156,-100.128746,-117.67652,-98.463356,-14.224961,-12.646507
157,-13.794094,-110.03809,-100.921036,-16.869287,-109.15581
158,-99.47985,-23.525942,-103.70604,-14.681378,-95.284294
159,-99.98746,-19.924747,-103.34649,-98.30018,-14.249112
160,-111.522285,-12.020565,-104.33813,-106.80905,-119.5229
161,-111.40638,-14.191307,-99.92863,-98.17595,-101.80562
162,-118.409225,-23.505274,-101.32157,-104.961365,-111.3855
163,-99.72193,-108.44376,-113.831924,-11.644523,-18.602379
164,-101.281,-15.7895775,-98.18696,-12.231032,-15.632819
165,-100.048706,-4.6502438,-98.1232,-104.73126,-9.52562
166,-18.311626,-104.58187,-106.988556,-106.68546,-17.437819
167,-20.557625,-20.709276,-105.36397,-13.871019,-100.08795
168,-118.46013,-25.088549,-103.41091,-13.507093,-27.421297
169,-115.21695,-22.680351,-97.29527,-19.180874,-8.638925
170,-120.55102,-104.77854,-104.13488,-14.455136,-10.4334345
171,-110.878914,-106.06729,-103.024284,-100.109795,-105.02211
172,-96.99087,-18.478561,-105.61537,-104.83863,-127.78433
173,-31.716032,-26.386793,-98.36876,-104.81234,-128.64778
174,-97.32361,-11.383895,-102.87674,-103.89739,-100.567604
175,-101.8795,-101.50922,-111.266655,-102.80387,-19.89057
176,-115.66149,-25.869963,-104.52925,-98.77905,-112.673744
177,-124.82627,-106.37373,-105.847595,-99.957146,-9.6319
178,-15.14658,-17.981432,-100.68902,-107.27691,-106.045006
179,-95.12347,-110.08763,-97.48657,-98.244965,-9.51892
180,-95.53346,-28.385984,-103.75027,-93.597626,-113.23286
181,-26.847998,-23.157839,-104.27509,-106.00122,-10.148217
182,-101.03418,-21.373451,-101.16624,-14.460982,-109.38672
183,-97.84318,-19.677279,-105.30137,-103.75455,-12.748214
184,-95.21946,-15.396454,-101.78022,-13.534879,-95.48128
185,-99.903206,-24.816906,-25.812183,-107.3621,-117.10077
186,-98.45272,-101.55737,-106.046394,-112.82775,-13.154644
187,-105.27721,-109.913475,-105.075226,-101.91666,-13.245349
188,-98.643135,-15.551347,-106.74925,-100.37218,-108.60991
189,-115.23762,-106.64827,-101.786476,-105.81167,-112.06346
190,-95.444664,-22.305153,-104.92899,-102.54068,-106.31367
191,-95.15966,-21.564348,-104.426094,-97.89936,-16.510582
192,-104.79255,-20.059597,-34.249218,-96.56576,-5.2626724
193,-108.58954,-17.805351,-106.76527,-13.702802,-99.653366
194,-100.24781,-14.97988,-104.44191,-8.283587,-11.566816
195,-98.367714,-105.87098,-17.35129,-97.09435,-17.096043
196,-100.13979,-23.658558,-108.328,-99.97102,-12.134302
197,-99.728714,-109.468475,-111.509796,-99.08633,-105.64048
198,-101.77403,-106.73443,-101.24523,-106.02694,-102.00032
199,-102.629715,-21.60699,-100.916985,-100.28522,-13.859337
200,-101.69881,-106.12368,-98.47468,-11.63142,-5.4590926
201,-110.18035,-14.653838,-98.694664,-108.40076,-134.85469
202,-98.78537,-102.36519,-133.42917,-100.224495,-7.700963
203,-114.26542,-22.863829,-15.263804,-99.40765,-6.63577
204,-101.7335,-103.6304,-100.05562,-110.75187,-17.725302
205,-101.69363,-105.94106,-106.85476,-101.13387,-12.656729
206,-98.60104,-107.54372,-107.66393,-100.66225,-8.971071
207,-106.32252,-19.804426,-103.45591,-98.75668,-11.060621
