,It 0,It 1,It 2,It 3,It 4
0,-107.32333,-117.09339,-31.587254,-24.137533,-105.19811
1,-35.2255,-110.75983,-26.564444,-135.80095,-101.14671
2,-102.796646,-136.29535,-114.8819,-124.62945,-29.482689
3,-27.656796,-105.89732,-103.81921,-99.96023,-99.709816
4,-100.75672,-98.30238,-117.41542,-102.56109,-118.68967
5,-117.950714,-28.810898,-32.83988,-114.312836,-123.33679
6,-18.01573,-118.217964,-18.177694,-120.103386,-102.26649
7,-99.99578,-111.55798,-24.320862,-25.115438,-103.38183
8,-104.423775,-40.413624,-16.734814,-21.734552,-104.13211
9,-26.55853,-102.43009,-19.042501,-16.96094,-100.30403
10,-100.12627,-102.10934,-112.098694,-117.02514,-100.298325
11,-33.720695,-112.29529,-24.790403,-18.48433,-105.15347
12,-29.994028,-45.072357,-118.72875,-21.813902,-119.64741
13,-101.12757,-100.49142,-116.20933,-23.430689,-106.20248
14,-123.66004,-120.06214,-17.151083,-18.621737,-108.57757
15,-103.868034,-106.16406,-23.991882,-108.18842,-114.4896
16,-123.16085,-120.69997,-19.778086,-17.149378,-109.66905
17,-103.227745,-104.60848,-21.125969,-19.643013,-31.172523
18,-29.29115,-22.920557,-24.312008,-20.869059,-103.70564
19,-29.09228,-99.809074,-114.9342,-17.363937,-108.75623
20,-122.74473,-117.3277,-26.17755,-108.12289,-109.911095
21,-106.797424,-31.679234,-116.90266,-19.070507,-118.13238
22,-104.6249,-99.44987,-127.69558,-17.468569,-106.64673
23,-101.76691,-131.18137,-115.60472,-24.11774,-108.92241
24,-32.050945,-33.311024,-117.73693,-31.102905,-117.86134
25,-22.987204,-107.00863,-120.36754,-108.93052,-108.87741
26,-25.429672,-118.48094,-118.26284,-116.77723,-117.57813
27,-106.32869,-34.72922,-111.854675,-17.629406,-119.573
28,-26.080793,-31.589256,-114.40968,-16.711273,-117.24582
29,-25.326824,-104.73941,-125.1488,-23.4583,-108.403015
30,-104.6365,-107.16799,-114.41252,-23.915285,-113.93629
31,-22.788887,-102.70187,-116.802864,-117.15276,-104.87551
32,-25.068943,-115.24495,-116.46958,-106.863266,-110.90187
33,-110.40949,-115.66249,-112.55071,-113.83762,-115.792656
34,-19.364151,-113.21359,-118.83823,-116.6804,-108.77335
35,-27.244038,-109.90165,-111.45443,-116.995804,-112.46112
36,-29.800447,-111.25647,-112.74757,-112.549866,-113.41924
37,-37.292126,-112.16998,-115.54072,-119.263794,-115.37562
38,-22.230919,-120.793465,-111.39458,-114.998795,-107.89813
39,-114.79599,-108.73501,-119.75149,-120.0926,-111.39839
40,-107.20606,-112.039665,-117.141075,-118.62377,-120.493454
41,-29.081324,-26.433138,-114.00513,-120.592316,-116.80207
42,-28.422947,-111.00708,-116.43277,-115.02923,-119.35753
43,-30.823706,-110.23646,-116.51454,-120.46772,-116.36451
44,-22.89478,-109.05653,-117.81372,-117.95804,-118.63068
45,-120.466934,-109.37432,-116.15492,-116.16023,-123.67821
46,-22.857454,-118.021095,-115.62465,-116.76424,-115.75356
47,-20.083925,-109.79148,-117.11299,-115.90804,-119.09062
48,-119.979195,-111.95817,-118.126854,-114.13039,-117.676674
49,-26.439367,-118.76269,-117.39893,-118.48877,-115.2169
50,-27.162056,-109.227295,-109.391754,-116.660164,-117.89968
51,-25.56022,-108.134445,-117.15788,-119.697754,-114.1374
52,-23.617958,-122.62697,-120.93072,-115.92993,-116.75125
53,-29.391607,-115.01441,-116.520996,-117.005974,-113.107895
54,-30.604542,-112.18578,-115.00017,-122.40863,-119.425186
55,-22.724232,-111.280525,-114.41376,-118.11365,-123.65031
56,-28.004553,-115.707375,-117.85131,-116.15456,-112.63689
57,-28.489075,-108.90221,-113.845764,-113.15848,-114.285385
58,-25.464575,-113.15727,-121.46388,-115.42742,-128.51309
59,-42.01757,-115.609085,-118.170944,-118.73917,-114.08967
60,-119.29451,-107.61624,-119.5559,-118.39273,-116.871475
61,-27.76364,-114.49903,-116.543816,-117.78086,-115.28989
62,-121.38364,-117.96961,-112.66424,-121.53204,-117.16025
63,-107.75759,-118.39749,-120.16831,-112.65581,-115.56806
64,-118.84607,-114.785774,-116.477646,-118.66595,-112.83436
65,-23.183512,-118.44083,-119.46749,-114.956726,-126.862915
66,-113.96846,-116.44833,-121.3105,-117.16427,-118.074814
67,-117.53007,-117.87869,-114.68011,-113.451645,-113.19484
68,-115.79904,-115.76712,-115.90068,-118.06536,-111.98097
69,-114.643074,-115.295235,-116.34088,-118.11119,-115.181725
70,-121.61259,-112.10663,-117.44667,-113.599365,-110.71725
71,-114.23024,-116.177155,-114.99135,-121.13515,-126.85941
72,-115.64297,-119.50707,-114.9324,-114.825066,-117.19641
73,-116.8275,-113.499,-123.57796,-116.55597,-119.76729
74,-120.02557,-115.084885,-113.76967,-111.65099,-119.47299
75,-115.780174,-115.647705,-116.05141,-116.74253,-117.25021
76,-115.33081,-114.947136,-117.296715,-113.21004,-106.638
77,-112.40673,-113.29977,-114.52367,-115.01102,-119.78421
78,-113.059395,-119.27267,-113.37807,-113.75991,-117.489
79,-115.332954,-117.20084,-117.05762,-115.97638,-107.548454
80,-112.84311,-118.10252,-121.97197,-116.369896,-116.89128
81,-122.36704,-118.87776,-118.198944,-121.83553,-112.158325
82,-120.951004,-116.28604,-116.30704,-113.91073,-112.01688
83,-117.80464,-122.920494,-114.631516,-117.13258,-113.56435
84,-118.86636,-116.54581,-120.03913,-114.388245,-115.044586
85,-111.0881,-112.68946,-113.38331,-115.20808,-117.04878
86,-110.34583,-115.27337,-114.52509,-112.72743,-106.90017
87,-111.24004,-118.0065,-114.83009,-114.8607,-116.6469
88,-119.898224,-113.52863,-115.7185,-112.44217,-108.200455
89,-120.434555,-113.89143,-113.463,-114.9076,-113.18674
90,-115.15989,-122.098145,-119.74925,-115.029884,-108.96385
91,-115.9739,-118.29292,-116.679214,-114.42433,-107.91473
92,-113.537674,-112.34222,-121.1772,-114.579155,-113.46943
93,-118.269516,-113.38408,-111.888565,-114.35205,-114.99517
94,-113.43164,-115.559166,-118.31048,-114.80923,-117.903534
95,-121.99847,-120.98825,-124.84437,-115.49796,-120.1371
96,-129.62035,-115.57861,-114.99347,-115.9641,-115.31976
97,-119.62015,-113.92686,-122.51279,-112.909935,-105.90796
98,-114.97704,-121.23917,-112.977005,-114.44199,-116.17465
99,-116.094894,-115.76414,-116.11775,-122.48775,-111.217575
100,-117.58917,-113.75148,-117.31161,-120.60416,-113.012985
101,-120.280914,-113.44933,-112.276855,-117.598404,-106.10829
