,It 0,It 1,It 2,It 3,It 4
0,-42.25091,-29.638824,-27.02168,-115.410866,-122.53985
1,-117.10028,-37.957653,-24.473352,-117.54038,-123.10372
2,-117.549286,-115.85792,-34.291172,-114.37159,-116.21226
3,-117.72704,-111.4632,-33.46988,-117.19023,-115.09147
4,-119.971375,-112.3326,-39.123577,-109.53029,-115.372444
5,-117.16563,-112.776405,-40.836975,-107.25395,-119.49051
6,-121.32799,-113.52919,-38.466446,-112.78087,-116.26014
7,-120.82306,-114.12909,-35.317253,-114.3819,-120.503586
8,-121.719986,-109.478355,-30.520218,-115.27602,-112.878784
9,-117.23555,-115.451256,-30.114843,-116.04519,-114.68376
10,-121.81119,-112.51324,-39.02636,-113.11071,-118.24608
11,-122.24808,-114.61423,-30.08147,-116.08853,-117.9781
12,-113.21319,-113.3166,-30.37154,-113.416985,-114.59112
13,-117.29648,-112.49689,-31.834915,-110.282814,-119.60198
14,-115.86563,-116.27625,-29.983961,-108.58573,-117.17497
15,-115.13091,-115.75333,-29.283064,-116.01084,-118.62539
16,-110.286156,-116.57562,-31.427576,-107.821556,-114.12428
17,-115.69824,-113.197624,-33.19182,-112.21639,-112.53929
18,-115.31248,-114.06679,-28.192553,-115.74294,-117.76582
19,-120.02046,-114.19092,-114.658394,-109.71169,-112.487625
20,-115.96819,-115.656235,-122.10648,-119.085464,-119.92415
21,-120.77513,-114.91278,-115.94385,-113.455795,-117.36656
22,-122.9688,-113.22492,-115.609116,-116.427704,-115.941795
23,-129.07803,-114.29287,-118.90507,-112.37101,-118.27499
24,-112.875206,-108.711136,-114.45627,-117.53671,-118.71138
25,-122.451164,-115.58279,-118.8067,-113.27485,-115.79169
26,-111.762146,-115.61709,-115.15864,-115.40109,-114.593056
27,-120.11269,-116.12022,-116.673065,-106.47622,-114.03329
28,-115.39339,-114.020996,-115.33353,-111.802025,-113.60621
29,-120.63599,-116.07231,-118.19534,-113.88099,-120.286736
30,-120.01152,-114.846054,-114.9054,-107.70506,-120.265205
31,-113.494415,-115.31954,-114.10966,-115.79336,-112.469284
32,-115.118416,-113.88569,-116.71082,-114.559296,-118.7344
33,-117.04713,-116.081215,-117.85884,-119.78033,-113.957375
34,-116.54784,-115.87294,-121.05612,-120.747795,-117.17608
35,-110.006744,-116.694565,-118.06776,-108.353516,-115.19158
36,-120.060646,-114.02472,-120.575905,-113.58288,-116.86731
37,-115.138954,-113.665565,-121.79071,-107.80195,-115.66702
38,-111.957664,-114.49991,-118.70175,-113.800095,-117.04508
39,-111.96747,-114.74105,-115.19694,-117.5922,-114.17703
40,-120.044785,-113.33448,-116.134834,-107.132996,-116.64134
41,-112.71608,-120.45979,-113.08671,-116.46723,-115.53827
42,-119.26645,-113.98776,-115.628914,-112.732185,-111.90313
