,It 0,It 1,It 2,It 3,It 4
0,-181.1126486872892,-119.2866370786621,-116.07530199645399,-110.66257600854523,-115.74194824438791
1,-181.08838266774808,-119.62289501272453,-115.9661331227068,-110.56945774070297,-115.86060213975672
2,-181.13579244411346,-118.14084619187068,-113.44126786527598,-101.32955152267652,-113.56145747827553
3,-181.12751697846173,-118.4796763229277,-115.97009122541051,-110.6377851496463,-116.41817289665714
4,-181.10393594931296,-119.52723418719633,-116.19940808421126,-110.58249692510441,-115.63510971465584
5,-181.116668648904,-119.31713151163609,-115.63625341579754,-110.66165970001184,-115.86009071878841
6,-181.08594507766992,-118.39098130670376,-115.85713682931912,-110.78627582954802,-115.8601239113578
7,-181.10723093125142,-118.31819757135585,-115.9635308560158,-110.62854617142987,-116.30469593609001
8,-181.0938065922457,-119.5165308254833,-116.30707363847893,-110.75843943331763,-116.08639575628565
9,-181.09336951720633,-119.63657002651443,-116.19005011873756,-110.59551025953081,-116.18905514034257
10,-181.09973830555361,-119.51913927375028,-115.74185232592376,-110.62015681000489,-116.07974779196707
11,-181.12038950261456,-119.62498808927523,-115.85455017136164,-110.59255875228904,-116.31459154042665
12,-181.1355976831427,-118.75207395381108,-115.74145294740735,-110.60675730178505,-116.31448112786686
13,-181.126233545251,-118.49765139251016,-115.86204333645044,-110.64507941562124,-115.74984798238242
14,-181.0876759380361,-118.27081915518269,-115.74779906317221,-110.76223178474729,-116.18965167231983
15,-181.11798292045586,-119.1763350148704,-115.8607271936387,-110.63300907503006,-115.74221387939467
16,-181.1037678337915,-119.3553039760658,-115.74779730778437,-110.56465143813193,-115.74413971555668
17,-181.09959813320182,-119.12740411524229,-115.97060316543593,-110.64369004498732,-116.3133673198515
18,-181.08776594112732,-118.38167867816674,-115.9627032798268,-110.6278354949262,-115.86005618154445
19,-181.08928759757225,-118.73205383101603,-116.30492415831674,-110.57717371300545,-116.31415086419571
20,-181.1138133466813,-118.75033443098081,-115.63293494737833,-110.64143964143345,-116.07539744071974
21,-181.1021853060255,-119.01809259073872,-115.96616919376143,-110.61567923181504,-115.96690625796903
22,-181.08976280569203,-119.23406565142983,-116.4181296523232,-110.64340761129372,-115.63772482265533
23,-181.0830332854556,-119.12399812741393,-116.30518944112833,-110.78835457623688,-115.85872370178254
24,-181.1020394738712,-118.31341791835304,-115.74853350625003,-110.75061127692399,-115.6342401324815
25,-181.0802871953955,-119.1302857608553,-116.41873349945124,-110.65129215840187,-115.63602588763897
26,-181.08794984248883,-119.57039079671416,-116.30456576761728,-110.64012722856862,-116.1973997827725
27,-181.13886168665357,-118.25787675310238,-115.96605640632909,-110.65109347483143,-115.63748715868034
28,-181.08241034947443,-118.72702300823109,-115.9721554513729,-110.56942736315541,-116.19686848070597
29,-181.10214856729016,-119.19800446477595,-116.08294869728698,-110.57522609739937,-115.74467778787266
30,-181.12922040128876,-119.29335437901506,-115.74144837554483,-110.63458408522607,-115.85462268553428
31,-181.0808409867291,-119.35052331979574,-115.7477675299092,-110.59594177178231,-116.08328103408219
