,It 0,It 1,It 2,It 3,It 4
0,-28.203255,-19.134413,-98.778915,-111.58803,-117.78859
1,-122.41791,-111.26194,-42.73793,-108.664825,-116.03386
2,-118.929955,-118.59297,-120.52224,-122.556946,-107.67366
3,-120.36739,-113.95224,-122.01756,-115.93914,-116.53844
4,-115.7414,-113.29143,-114.079124,-115.353775,-114.221855
5,-115.045616,-120.58827,-121.04987,-125.70279,-116.935875
6,-113.09938,-29.41018,-123.82375,-117.6068,-126.81287
7,-109.2692,-31.754768,-108.734245,-108.05179,-114.96536
8,-108.53612,-25.164131,-110.43579,-20.584076,-119.1487
9,-112.52881,-115.0887,-107.87768,-16.240242,-112.64166
10,-111.95603,-106.154526,-29.602468,-21.275398,-18.894197
11,-106.614265,-17.39739,-29.63914,-20.309391,-118.884384
12,-29.492155,-13.764893,-106.74945,-107.1524,-103.649605
13,-111.436264,-17.99062,-32.528614,-119.338,-30.839474
14,-21.839333,-18.651188,-105.557625,-109.90806,-102.14708
15,-111.45604,-109.19846,-28.733273,-103.53061,-106.42312
16,-31.35075,-22.335768,-13.823027,-28.115698,-106.32841
17,-117.10247,-25.419645,-20.492167,-118.637886,-23.467226
18,-111.20755,-18.640461,-18.484442,-119.9346,-22.926865
19,-110.8439,-101.49076,-101.831726,-108.38484,-28.604414
20,-104.35921,-103.57959,-108.324234,-32.394367,-110.89438
21,-103.91115,-23.215548,-103.881294,-104.2182,-101.676636
22,-24.643187,-100.67645,-104.38228,-19.661997,-29.89287
23,-25.587696,-110.61094,-113.263985,-109.23235,-105.12819
24,-30.568632,-24.668913,-107.66016,-20.18799,-113.89373
25,-34.12457,-99.641655,-20.972466,-16.920073,-108.0455
26,-111.87753,-105.289986,-102.90072,-19.15872,-17.768728
27,-108.67707,-21.859901,-21.722477,-108.92567,-102.98335
28,-39.92567,-18.825485,-104.62463,-115.78717,-15.239104
29,-25.31484,-104.189926,-24.821228,-101.030525,-109.92468
30,-105.64923,-25.803179,-17.799175,-107.440475,-103.60219
31,-34.717564,-14.625357,-121.53954,-102.63634,-27.752714
32,-99.86966,-104.36592,-105.70851,-23.423567,-113.73687
33,-104.24686,-22.840563,-22.73512,-14.318553,-104.03166
34,-127.11413,-19.199581,-21.46396,-114.253075,-104.12391
35,-31.41106,-110.91077,-107.59606,-17.419247,-21.497158
36,-31.938059,-103.65221,-109.91788,-18.222183,-21.303244
37,-102.27511,-117.788246,-105.21808,-104.83255,-19.71864
38,-113.806595,-25.57379,-105.54898,-101.87524,-112.54102
39,-27.307554,-105.30182,-107.5147,-107.09405,-100.429184
40,-100.296616,-103.62376,-24.934683,-19.630402,-105.5191
41,-102.59972,-18.654575,-22.7411,-104.4915,-105.19543
42,-34.316124,-19.269125,-19.906786,-106.57491,-14.653337
43,-36.63181,-98.133675,-22.775967,-21.791544,-101.778206
44,-101.709175,-114.8535,-107.89891,-123.226616,-109.34813
45,-113.71763,-23.943518,-113.86452,-18.230068,-110.2357
46,-16.99311,-102.93676,-103.343834,-105.761765,-29.29708
47,-111.778046,-20.414553,-123.45172,-96.54367,-97.25267
48,-95.68502,-114.793076,-15.258597,-104.15003,-125.49639
49,-104.73163,-19.551367,-28.183395,-8.904995,-19.847662
50,-26.586863,-25.845201,-106.029175,-115.68149,-99.65364
51,-104.17555,-102.80757,-108.22187,-34.139194,-101.320885
52,-102.28993,-105.24428,-18.300463,-21.357306,-106.173996
53,-101.06136,-114.373116,-107.04965,-106.24509,-116.310646
54,-127.51349,-20.08567,-118.06134,-14.295255,-15.123719
55,-121.37215,-15.8981085,-28.050606,-16.041388,-104.13391
56,-28.71832,-108.16553,-18.091389,-100.61884,-100.9415
57,-101.64453,-14.8739195,-111.36657,-105.92961,-16.727303
58,-99.77057,-101.805305,-19.686502,-36.217102,-100.05756
59,-102.79627,-15.735021,-133.35248,-101.754974,-103.63812
60,-99.557144,-8.2009535,-107.21163,-22.335505,-9.48184
61,-102.841675,-102.08444,-24.630655,-114.57187,-20.413977
62,-111.735855,-18.0801,-26.876135,-108.33306,-24.57563
63,-101.50367,-100.1015,-117.007675,-17.9389,-107.821365
64,-127.91575,-97.6945,-112.40546,-109.316986,-118.32639
65,-104.19166,-101.98222,-16.384476,-107.89426,-19.393826
66,-102.5789,-108.321106,-16.479004,-126.3447,-119.263275
67,-113.87755,-110.26601,-38.96516,-98.00767,-120.333015
68,-15.018094,-25.081772,-102.68084,-24.510082,-22.602272
69,-102.61578,-20.07344,-100.91511,-112.10379,-23.127043
70,-107.31863,-16.091408,-137.24539,-27.772154,-110.46874
71,-26.905302,-111.21842,-24.759987,-113.77185,-102.93447
72,-101.95015,-108.66179,-104.46101,-106.12224,-117.838
73,-117.493744,-114.1987,-35.024277,-102.03024,-22.176914
74,-107.64738,-110.13208,-23.514765,-28.315517,-100.978386
75,-98.61858,-19.214163,-28.57771,-103.12069,-120.17873
