,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-124.74973,-109.61326,-108.31742,-114.83014,-108.385086,-113.51465,-115.29668,-101.920135,-112.32638,-24.959684,-22.143087,-114.02778,-125.24129,-29.25222,-113.938866,-109.17985,-120.7132,-117.00925,-110.658844,-27.84008,-25.165083,-34.35673,-110.49666,-28.306988,-103.54494
1,-123.249214,-25.263962,-108.776886,-120.41255,-100.80249,-113.25735,-26.141705,-109.330414,-29.746769,-31.982069,-30.495953,-122.515915,-32.425568,-33.363964,-123.622734,-29.265507,-105.3473,-121.35939,-122.43939,-27.785465,-113.32636,-38.606773,-115.19533,-29.063814,-105.17072
2,-112.60941,-28.758512,-114.05754,-116.34871,-102.675545,-110.14555,-32.04275,-33.341534,-110.3528,-112.99019,-27.653143,-116.26113,-117.72978,-107.1092,-33.58821,-106.42429,-106.98931,-117.35032,-119.62272,-118.15326,-134.3612,-36.095802,-25.684584,-30.884954,-104.507744
3,-40.598934,-26.698532,-121.48714,-118.070564,-38.845024,-119.2839,-28.097738,-34.659546,-110.60661,-116.19249,-120.146576,-115.36845,-119.28355,-113.83773,-32.00592,-118.36755,-104.44048,-114.01948,-114.68118,-115.14349,-114.64244,-123.143036,-34.53116,-36.857155,-105.79535
4,-113.77332,-30.05883,-113.67383,-23.839146,-122.30045,-113.75113,-32.065792,-37.786156,-117.29614,-128.14305,-116.82545,-120.08691,-122.68283,-122.03971,-111.79597,-117.379196,-107.906784,-115.57471,-113.15168,-114.089195,-109.65386,-127.017746,-32.542812,-119.45905,-128.19635
5,-112.24515,-114.06516,-115.60547,-34.92641,-117.805405,-117.24313,-23.587233,-33.721245,-112.36447,-103.44825,-33.928,-110.577034,-116.903564,-108.79634,-123.976585,-26.350351,-105.66948,-115.267,-121.86223,-113.61467,-122.10635,-121.9394,-30.75779,-112.00144,-103.680626
6,-114.548706,-121.6028,-112.952354,-23.955992,-38.12676,-122.794174,-25.40485,-112.111534,-120.16963,-104.257706,-29.668766,-134.60315,-116.613686,-35.948917,-28.436323,-23.47096,-105.06361,-113.96627,-123.982285,-111.61842,-112.99637,-120.417114,-107.039116,-115.67438,-104.80998
7,-108.24568,-115.140144,-118.11487,-22.740993,-125.3836,-117.350845,-22.081158,-128.21524,-114.07011,-105.62497,-33.554718,-114.770004,-114.20628,-37.01685,-35.530865,-24.82272,-106.453865,-108.71183,-120.7034,-117.58058,-108.25624,-115.97787,-27.52698,-118.33818,-118.88489
8,-112.22494,-122.17538,-116.89808,-119.85799,-119.90854,-119.528336,-111.68779,-117.99692,-111.36962,-108.161125,-35.105316,-113.12018,-125.1533,-32.15593,-32.196392,-21.434011,-103.61226,-114.796844,-120.33113,-124.57272,-116.04117,-122.69011,-119.38764,-114.887794,-123.97119
9,-43.030373,-116.18128,-113.2238,-106.67775,-32.85284,-122.49542,-116.619545,-125.287506,-108.136154,-101.67023,-29.103516,-113.5487,-121.42057,-104.83465,-35.18638,-28.644945,-103.92277,-113.23018,-115.857544,-117.91313,-117.35275,-120.96298,-33.97439,-114.36787,-104.02783
10,-120.554276,-109.68333,-115.39252,-110.69743,-37.621494,-122.47856,-105.17954,-119.86383,-113.25124,-106.832405,-37.28915,-113.007095,-120.70413,-28.208845,-32.778458,-120.0254,-106.0739,-115.30133,-116.651665,-120.76217,-118.88456,-116.864944,-32.20191,-117.739044,-105.46572
11,-124.09617,-117.896255,-31.426113,-110.43138,-38.890163,-109.74184,-116.45209,-107.86678,-121.20918,-104.118454,-37.481857,-108.80988,-116.5229,-27.74364,-30.924004,-27.718527,-102.72231,-112.45944,-118.43391,-114.91042,-117.81231,-117.23924,-111.37321,-116.96124,-115.590454
12,-116.690506,-25.08323,-118.66797,-113.94923,-125.97746,-123.066574,-21.500422,-33.581768,-108.69412,-102.71207,-115.999725,-106.749016,-108.782196,-109.48174,-27.08092,-113.36631,-102.82674,-113.85589,-122.30628,-116.62889,-115.420876,-116.97788,-134.85735,-114.32002,-108.044525
13,-128.76476,-104.71225,-32.681282,-109.89697,-123.962036,-105.78123,-22.886951,-122.01149,-114.79181,-101.76664,-33.427532,-107.47561,-110.23966,-105.40119,-35.220917,-112.89008,-105.396225,-108.40248,-117.14896,-117.2562,-119.556175,-120.672005,-27.846413,-121.02083,-113.19133
14,-33.931442,-23.531633,-31.202929,-119.465355,-33.867477,-29.505669,-33.644817,-36.123985,-29.533552,-103.44153,-33.764763,-118.79947,-110.52027,-43.755856,-30.498661,-30.937489,-101.802895,-107.28779,-114.312805,-111.29275,-115.36615,-122.45715,-28.633585,-111.21168,-106.437454
15,-112.10072,-16.090282,-23.757221,-20.30701,-35.49596,-25.785362,-29.451424,-115.461555,-112.66996,-102.69732,-28.800833,-109.220024,-37.293835,-115.85839,-26.23944,-122.87446,-102.68417,-114.021904,-114.92453,-113.87422,-117.3389,-119.09927,-26.70087,-114.68828,-107.482735
16,-29.958725,-106.353134,-24.635622,-105.394844,-41.956978,-106.775696,-42.010765,-25.882618,-109.30123,-124.3155,-27.576412,-110.11688,-31.516537,-106.21097,-26.40549,-23.933613,-105.47032,-118.215744,-120.93176,-115.57375,-115.544624,-125.6861,-31.950607,-118.39583,-111.26824
17,-107.60378,-105.735634,-27.711937,-111.880905,-123.6013,-101.84108,-35.470066,-20.763096,-104.46183,-107.086266,-27.22592,-107.82968,-110.17498,-112.96573,-23.096386,-23.515133,-26.766685,-114.919785,-119.38821,-119.80641,-117.639145,-113.25309,-114.51794,-115.976814,-105.8962
18,-25.392513,-113.801315,-124.44405,-31.51104,-38.420258,-105.233185,-35.2016,-118.301445,-30.52864,-110.268394,-34.09191,-109.619934,-105.29061,-33.27939,-17.60838,-104.51919,-116.90459,-117.68955,-117.752945,-110.13322,-119.15718,-132.83057,-116.24262,-25.780493,-104.3313
19,-22.797283,-24.752394,-111.93753,-118.60765,-117.00101,-108.26811,-22.679424,-21.41319,-115.80529,-101.61618,-113.92123,-115.03155,-101.75988,-101.739136,-25.457644,-25.463097,-119.473854,-118.34567,-119.33882,-117.822,-116.05508,-118.75009,-110.84182,-32.21235,-106.439705
20,-106.0726,-27.768978,-118.557625,-108.573746,-35.12948,-110.15506,-33.15374,-107.09946,-31.05853,-103.88932,-29.053349,-113.19925,-115.367065,-17.79637,-15.99732,-30.90263,-113.13211,-125.25777,-117.74788,-115.585304,-113.35097,-124.00965,-33.015705,-37.434074,-111.67593
21,-28.869293,-112.88579,-117.891945,-119.91331,-123.16846,-104.14625,-36.39846,-22.888412,-26.806328,-101.97463,-30.369373,-109.95563,-109.737946,-102.2406,-106.9529,-107.93835,-116.04179,-119.68441,-116.07291,-120.26362,-120.21341,-116.44453,-21.059778,-28.708204,-105.7609
22,-33.703415,-28.08817,-115.33795,-37.423637,-33.846184,-106.726555,-31.30708,-27.314138,-24.05759,-101.546936,-33.20226,-117.121315,-19.48219,-105.49434,-22.24644,-113.23905,-27.132084,-120.5439,-121.286026,-118.09204,-119.19928,-120.687004,-116.731,-127.94435,-117.92154
23,-19.058327,-103.97301,-27.050648,-34.338993,-117.12569,-29.112242,-30.557459,-106.6389,-23.185217,-103.88444,-30.815578,-115.856705,-20.378078,-105.62199,-110.099495,-115.02706,-28.773941,-105.208046,-120.48587,-111.58695,-129.2704,-113.77286,-19.262968,-37.69468,-105.03404
24,-108.04505,-103.84221,-106.8611,-33.766277,-37.879124,-26.60001,-24.698137,-119.602615,-108.78952,-99.37028,-29.22227,-116.7151,-113.213974,-120.879776,-20.326935,-114.61985,-110.8929,-113.428406,-115.70526,-113.70213,-118.57493,-119.97766,-24.697338,-29.519281,-102.51409
25,-19.826561,-24.212116,-107.769264,-102.464165,-34.98477,-102.402985,-105.48867,-114.26119,-112.92278,-32.568375,-29.064808,-110.40298,-111.31916,-111.62121,-24.64726,-112.61248,-112.735275,-24.228762,-114.86673,-117.4619,-123.709984,-131.57123,-104.59191,-35.035114,-23.326756
26,-111.4592,-105.94918,-21.51935,-112.971054,-34.732548,-26.65639,-15.886929,-101.63671,-36.834915,-102.858955,-30.570759,-23.663616,-110.458496,-102.8214,-15.205476,-104.00482,-108.15452,-110.2964,-117.66417,-115.581024,-100.29543,-123.20534,-110.1928,-32.77012,-108.208374
27,-22.148865,-119.34562,-17.315962,-17.596575,-120.06945,-18.225147,-33.26454,-16.913212,-26.990908,-126.618996,-35.35768,-125.48806,-18.52656,-105.42315,-111.764015,-32.471203,-28.423372,-120.14737,-121.56001,-112.47941,-101.40213,-120.91872,-108.839874,-34.27271,-102.7648
28,-24.475687,-109.76518,-12.726296,-113.78384,-36.6199,-14.909586,-29.90569,-101.911896,-25.408604,-30.480011,-26.399492,-22.057726,-15.667372,-125.93581,-111.36806,-127.51901,-29.523823,-99.39254,-122.86917,-120.282104,-46.84477,-115.197845,-21.530708,-32.132275,-107.13107
