,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,321.3313789,321.5481244,321.3323545,73.3211988,315.6861408,322.4085219,76.10848827,148.6854151,324.8336269,323.2026349,319.0546148,324.9746441,174.3001288,315.9317406,21.5962095,324.7100239,323.3138579,319.5540058,323.3329017,317.967072,317.8402685,317.8343253,320.7233773,323.6218754,325.2418464
1,323.4342096,320.5542403,319.467568,319.9736656,312.471503,323.6056236,31.01643903,318.0130696,324.5650674,323.2874634,321.147724,324.8227103,320.2997077,316.3817719,-22.22713152,325.9503735,322.9144859,317.6749158,323.8672716,319.6101465,318.6274076,317.3538404,321.0452199,323.1280522,324.4047288
2,324.0743804,321.9113545,319.7696397,319.6846589,-65.03261979,322.1237908,111.5576666,-71.44217439,325.1519684,323.4511049,321.1874527,323.8734706,322.4065989,313.7264411,-19.41732486,325.0034847,322.9064291,318.6976252,324.5055311,-104.7141238,-86.24532009,315.0748474,320.9465202,321.8781912,325.2334526
3,322.956228,322.3967714,322.0017802,317.9424032,2.478446259,323.2023558,24.67532297,23.33083796,325.1498775,322.7526557,321.6687817,323.5914359,322.3702531,316.0849533,38.51135736,325.5969168,319.4695057,318.5071409,324.4673618,318.5804365,318.1726984,312.9947159,318.9579235,323.8795183,324.1684263
4,325.2714985,320.3769363,321.7901641,318.6118608,-27.50087735,323.1558925,82.00703518,318.6846905,324.183143,321.6257028,320.9663434,324.6306223,322.2001458,314.8591787,-39.87806753,325.8305412,321.8925572,319.8218824,324.2537321,318.2246944,318.1838894,317.5910348,320.4229876,323.4283285,323.5254123
5,324.6573468,320.7226185,320.0485335,92.66083631,314.519827,323.8161514,70.10117795,320.0893348,325.0362757,321.6292643,319.9865416,324.9440337,321.7693725,316.3138166,317.0348089,325.2519432,321.747353,317.1995308,323.9717367,315.078693,318.3527099,317.608183,320.3580996,323.2639157,324.4738974
6,322.8048952,320.0865036,321.4644036,22.69412758,29.65834123,176.9286092,74.18929872,321.1897482,325.6909893,322.2712973,155.2886704,324.4682415,317.4130738,315.6366403,318.1409316,325.3062975,212.9797783,318.9889661,324.3149249,318.4819774,317.7010532,-35.55116461,319.9797436,322.7192221,325.0542678
7,323.6569825,319.5130267,321.7194579,319.2659611,312.0474038,323.3934748,16.85863642,202.1169223,325.3118555,323.9107429,319.8890777,323.9982666,322.1078282,316.8516949,70.48029808,325.5519218,132.2705726,318.2967892,323.2280753,317.5203593,318.546322,317.3906749,319.8882485,323.0458717,324.8692021
8,324.8320181,151.6068524,322.1436666,319.6381796,22.56167903,323.8800024,26.55893897,317.7474315,325.268563,323.6553137,320.532134,324.5653293,322.531907,316.8945502,-18.59077297,326.2224869,127.9022829,318.7779323,324.1564003,318.8341786,317.7963835,317.3589326,320.957448,323.6633907,325.0379104
9,324.0024645,320.3350679,321.6005796,319.6160199,315.8135504,323.1210646,167.2096956,319.5792108,324.7158232,322.7302072,320.8858879,325.3032586,320.7179727,316.7460236,-24.15992437,324.4963975,322.5629722,316.4181751,324.4108464,318.1520486,317.8799701,316.4314842,321.0601514,322.5198495,324.2507048
10,322.6065439,321.6340559,321.6724732,129.0435687,313.6061661,323.1938268,61.76013257,318.5894736,325.5276052,323.0759398,56.11276619,325.5471819,322.2343289,316.3610937,-27.87252156,322.9973854,206.128862,318.4502449,323.7571597,318.3904985,318.4339979,318.0871596,320.8366197,322.9177334,324.6646397
11,90.42014637,321.0597028,321.5006082,318.5582829,309.2193503,110.9960264,-0.986474984,321.8246944,325.3779748,323.3563496,321.1761595,324.7760721,321.8221893,316.4795026,317.1798329,325.0638112,322.8002968,318.6568783,323.5977167,78.23347144,318.2700793,317.8100667,321.2137712,322.488281,324.7422589
12,325.431646,320.3023618,322.526749,319.3967831,16.82550031,323.2634518,77.50942018,-8.860678854,325.1528375,2.978606078,321.2642695,325.0507265,319.4141002,315.3792893,317.690707,325.2449581,321.849742,319.8282661,323.7204604,45.09537327,318.914992,317.0537453,320.6583282,322.8550346,325.355705
13,324.3759574,320.6510728,321.465001,319.061919,38.10260958,322.7916981,19.46321327,321.7806275,324.9204387,322.5817727,320.8292134,323.9904568,322.0878819,316.1220565,-10.63701029,324.8004334,2.223094805,318.9842801,324.2612051,147.4576383,318.381322,316.4408847,320.8551011,323.1805092,324.8576576
14,324.4936754,321.1841883,321.5565675,319.18566,316.1241788,322.659618,313.8457106,319.7837533,323.8835195,323.5015111,320.233069,322.2155071,322.5393579,316.9026045,318.5762381,325.3330297,320.5948571,318.4232,324.6213114,317.9828776,317.5575068,316.8168092,320.3460541,323.3525619,323.919663
15,323.3630161,321.0349028,322.3523255,320.4618857,312.8259998,322.7735904,-23.6997639,73.50455179,324.6620904,322.7541493,320.2165067,325.192258,322.1863592,315.8828249,149.6230345,324.5239444,322.2639559,318.9949702,324.7732907,44.65693736,318.1825779,316.8590266,320.1064788,323.0160987,325.3550979
16,120.8359408,320.052274,62.79623253,320.1886975,314.9299171,320.9044975,321.6700873,9.700079769,325.1650027,321.6898938,26.42542367,324.7301369,322.3370844,316.4389712,-44.10282397,325.4391403,322.0950188,318.6741661,323.3205353,317.5496385,318.3333541,114.5429269,319.11189,322.8361911,324.390861
17,323.1770731,320.7227174,321.5591653,319.2970068,314.6367463,323.6067377,-33.90464585,315.7254867,325.0303816,322.7831702,320.9585112,324.1882928,322.3608039,315.8819865,316.8747175,324.4181054,190.1372474,318.3078822,323.6571166,145.272163,318.6868442,317.3018423,320.757059,322.9186545,324.7397984
18,322.9351717,139.2432993,321.8687868,320.7240663,315.4747373,322.3664105,113.8434183,49.07334529,325.2765409,321.5914579,321.0102662,324.7217316,322.1626431,315.7336428,316.725212,325.2630523,323.0360507,318.4125419,324.3996572,318.5474036,318.0285602,316.2382941,319.201244,322.8632566,325.0708035
19,324.1935655,170.6318841,321.9785107,319.3802351,60.90581683,321.1252244,-21.11610127,81.18091142,325.0674964,322.0277852,320.2109516,325.2247894,321.8408689,315.2559183,315.5631074,323.8746951,68.39816017,318.2989898,324.7476655,318.7902975,318.9199499,316.2949492,318.721951,322.7096422,324.6658882
20,323.6052204,320.508343,321.9582623,319.9122136,312.5723732,323.2697214,22.80240021,320.6681302,324.9681812,321.1386175,319.9209088,323.7984286,321.8803641,207.5503809,184.3755313,324.2287775,323.3432839,317.9024302,324.1805369,315.3372689,318.7614494,317.05395,320.8728974,323.2375991,324.5289699
21,322.8702733,320.685294,321.774859,320.1857086,314.741534,323.6601271,320.8540422,322.043353,325.7844623,323.499361,321.363007,324.2357579,321.7815914,316.0735134,317.9980697,324.2333449,75.89493899,318.5628234,323.7215416,319.6883285,317.9845048,316.2747261,320.6704461,322.8003065,324.0616426
22,324.3418346,321.8863396,322.1949477,320.3369621,85.47918032,321.8473353,317.4759321,101.9666284,325.5033601,323.4902375,321.2774757,325.2230013,322.1564051,316.5810415,315.8048111,325.117859,323.1085046,318.081403,323.9970324,166.6886621,318.6726474,316.6974533,320.803515,323.3450483,325.1015498
23,323.939775,321.2297024,320.8243064,98.59443243,19.71982795,322.4157745,84.2289504,322.691665,324.9478576,323.6316511,322.0942957,325.2411893,321.9473176,316.2754896,312.8467919,325.5905349,-14.18775595,318.3698873,324.4466714,319.5957128,317.6598215,316.6230664,321.0805362,323.434412,324.5646094
