,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-116.20079,-104.682976,-110.52994,-109.601845,-18.412994,-115.29495,-115.42936,-112.59163,-27.956995,-20.220318,-12.487781,-19.801311,-110.903076,-107.78455,-116.41354,-24.446909,-23.653608,-113.253876,-114.543434,-105.976,-113.20438,-113.61008,-111.212814,-111.701,-18.560228
1,-116.1309,-115.06802,-111.57241,-122.27653,-113.8038,-107.29604,-112.141655,-114.00634,-117.75957,-115.79047,-113.31794,-112.908844,-114.8804,-114.89989,-116.88551,-118.242836,-117.73518,-116.51667,-118.93824,-106.78616,-120.5585,-124.14999,-115.67959,-114.82637,-113.27862
2,-116.41437,-111.5984,-12.699394,-117.70393,-115.45072,-111.745316,-114.57369,-109.4292,-114.58623,-117.66233,-108.40257,-108.557556,-111.65363,-115.06533,-107.36701,-109.51053,-105.43874,-116.75496,-113.06505,-112.93896,-109.64061,-112.66069,-117.48983,-116.889465,-113.14161
3,-115.94338,-112.86529,-11.8055,-104.73851,-114.311356,-20.754484,-115.265335,-19.505415,-106.028435,-114.277756,-112.530174,-112.94422,-113.89769,-104.82468,-112.97573,-13.804341,-20.994295,-111.82506,-26.10678,-116.08161,-20.230478,-105.62163,-118.1976,-112.20959,-110.21969
4,-110.678566,-116.82071,-106.018936,-21.002693,-113.06383,-9.871568,-25.38953,-110.194176,-106.1603,-21.330175,-102.60305,-117.88789,-113.36762,-116.77349,-20.652554,-108.61833,-22.623367,-17.93644,-15.730982,-108.52934,-104.48722,-104.763535,-18.609953,-114.224556,-117.90988
5,-109.346596,-115.70937,-12.269239,-23.67303,-19.364153,-10.322974,-17.767546,-112.43592,-105.61671,-19.699085,-18.712875,-114.481445,-112.91788,-104.98831,-115.18843,-118.00625,-111.37552,-107.74884,-16.654745,-105.16535,-102.66828,-11.128159,-111.19808,-108.55487,-28.441442
6,-116.35383,-110.02672,-20.505764,-99.96071,-112.277306,-112.76889,-19.27566,-109.141014,-107.6511,-20.714167,-101.4131,-17.699385,-105.694786,-18.20708,-8.719215,-114.54087,-115.463875,-111.22557,-23.029058,-27.517864,-12.915015,-14.994334,-105.70565,-23.458641,-13.332255
7,-11.889626,-14.696306,-98.00949,-16.4887,-21.499369,-22.637346,-29.198616,-11.652482,-106.44686,-24.041264,-99.27569,-11.94336,-22.211254,-20.952621,-20.18148,-106.96923,-96.08421,-111.029366,-102.24728,-28.45096,-103.07136,-15.077214,-18.600866,-16.835741,-102.01203
8,-103.29599,-15.351212,-13.900243,-11.714359,-103.66162,-20.073671,-19.446617,-10.935165,-13.904474,-12.371323,-101.57536,-104.63937,-105.686584,-20.000961,-122.40617,-112.31197,-102.62227,-15.356772,-113.12771,-22.90707,-7.421704,-20.13338,-116.9739,-17.707577,-24.622023
9,-106.26242,-8.599006,-105.24917,-109.7411,-17.746471,-104.66514,-103.720566,-99.47635,-15.501745,-106.02031,-102.47506,-12.817652,-116.53655,-14.656808,-107.656586,-102.65244,-13.280358,-103.64818,-15.291216,-112.280975,-15.836526,-12.277585,-19.846966,-14.015533,-109.37244
10,-103.85022,-109.88164,-113.146805,-16.604496,-117.95797,-117.64061,-21.081104,-111.60311,-29.598606,-19.5692,-11.884136,-113.446205,-110.508385,-8.323771,-8.855514,-15.047558,-99.89862,-92.52187,-103.40493,-110.51909,-109.53441,-114.93507,-14.698451,-27.150843,-104.3801
11,-106.081,-18.431332,-10.561122,-97.27184,-18.74774,-18.464773,-22.05832,-19.499142,-16.911196,-15.717114,-92.81062,-14.831567,-98.70524,-105.617905,-17.389393,-11.198153,-111.651245,-20.461267,-109.027214,-12.151052,-115.15318,-97.60833,-110.86338,-30.89358,-11.825606
12,-106.96262,-108.922714,-15.2922325,-24.322397,-16.34781,-112.60054,-19.241478,-98.643166,-100.08205,-104.29816,-114.37398,-98.99791,-107.34805,-16.106506,-18.738014,-98.805336,-99.02196,-100.79495,-102.38471,-10.667138,-16.161669,-19.363636,-9.841787,-115.33777,-97.63834
13,-20.159933,-121.470184,-111.767426,-112.20169,-114.78226,-17.715912,-98.34844,-127.31226,-15.0780325,-15.767897,-101.30751,-17.284811,-99.50283,-6.549479,-11.670075,-18.25129,-10.691855,-118.041824,-110.0665,-98.516785,-113.23116,-13.888452,-99.69243,-17.08654,-109.55671
14,-19.66659,-124.04138,-18.85097,-118.35712,-103.72512,-15.521901,-100.22909,-115.16751,-103.494865,-104.92472,-14.949325,-96.355064,-20.89678,-12.331372,-16.978085,-6.974703,-104.52592,-11.6610365,-111.3691,-100.129906,-8.581375,-11.423843,-13.802025,-11.985057,-10.345353
15,-15.389653,-102.662476,-93.00274,-18.699484,-117.16344,-97.129395,-13.317383,-112.83091,-22.81306,-18.023176,-13.871637,-102.181046,-99.980896,-98.17473,-101.44823,-101.36002,-18.546007,-21.66366,-115.5688,-113.30543,-111.16907,-12.777187,-15.235795,-115.55373,-98.55952
16,-109.807884,-11.738112,-107.4249,-113.18002,-120.09538,-107.038994,-103.93892,-15.881481,-13.199462,-102.92486,-100.8126,-113.49631,-100.19539,-118.24227,-100.62027,-112.08023,-109.384,-12.760874,-103.08837,-95.45084,-114.78827,-15.538367,-112.05807,-104.16875,-99.53445
17,-14.880907,-14.739116,-17.744783,-101.84302,-13.787573,-14.950705,-14.052607,-10.411633,-114.47693,-8.733923,-100.20293,-98.83569,-98.26755,-15.418116,-99.93758,-99.94248,-15.977378,-96.74063,-109.28462,-15.939864,-102.89106,-16.883667,-115.018845,-15.9392,-111.13753
18,-106.79631,-15.961162,-15.173729,-117.24646,-110.36768,-100.4388,-17.737339,-105.88868,-11.971471,-100.57346,-101.47272,-17.588745,-13.459074,-15.404851,-104.076836,-14.2115965,-110.35963,-98.6813,-99.74113,-117.69801,-94.335785,-12.437461,-100.5298,-18.90218,-111.19738
19,-110.12951,-18.519743,-114.22572,-21.22476,-99.4378,0.9137856,-98.836464,-7.466965,-103.41228,-21.730858,-99.14963,-15.534374,-11.109442,-98.90224,-104.17533,-10.343041,-104.41679,-17.006884,-111.54894,-97.72737,-117.60069,-110.99118,-112.8444,-106.89614,-101.07788
20,-102.729675,-106.45968,-16.773636,-99.851715,-21.730524,-10.38243,-17.95014,-10.611934,-99.13754,-14.830961,-119.43882,-108.12589,-96.49132,-10.564923,-13.499245,-99.49866,-13.455638,-109.36493,-15.165111,-122.75495,-101.82495,-110.38516,-8.763091,-101.92422,-101.65948
21,-92.6724,-20.878841,-11.072965,-23.171803,-102.62534,-100.84209,-14.293538,-16.863249,-118.905,-15.822206,-19.242134,-10.0404215,-110.41029,-109.63832,-100.86069,-110.10329,-125.891914,-106.82163,-104.418495,-17.091206,-8.800215,-101.237854,-100.27833,-110.58046,-101.14157
22,-17.250708,-26.763504,-94.92206,-19.671217,-102.88306,-111.272156,-99.030846,-10.039212,-19.572393,-97.12621,-15.812032,-13.310233,-106.02277,-7.7642727,-102.2501,-110.3647,-106.68107,-111.28435,-112.17879,-16.65678,-16.399,-15.736967,-8.757346,-11.906225,-99.01415
23,-97.79266,-111.86418,-11.237362,-17.608553,-107.915985,-16.25698,-101.87091,-99.8481,-101.56318,-105.14092,-101.35511,-20.644361,-100.56315,-9.365016,-8.128746,-98.76967,-99.18129,-110.054504,-116.43859,-12.312903,-107.73059,-21.759008,-15.351131,-12.531548,-16.679296
24,-101.98929,-16.181076,-102.509766,-108.33842,-12.257487,-19.608976,-11.116834,-96.88847,-9.859116,-10.500092,-101.71945,-10.182791,-13.402695,-11.784418,-100.070564,-112.95203,-98.014366,-100.17834,-114.293205,-112.046936,-11.237206,-10.13127,-14.353134,-10.018558,-115.24195
25,-15.209432,-12.488541,-19.427671,-100.278435,-104.115654,-115.15379,-94.86191,-99.33392,-19.252926,-107.024445,-101.01665,-99.20102,-100.13897,-9.061798,-11.76852,-97.41108,-22.729992,-106.1895,-104.31857,-14.88162,-11.478845,-11.053689,-9.322502,-109.306656,-100.325325
26,-28.674847,-12.169096,-14.98524,-22.008844,-18.921413,-95.80617,-18.96028,-108.55958,-101.80707,-10.970189,-14.48795,-101.491516,-17.989721,-94.51748,-8.928454,-14.897568,-95.05713,-109.09501,-14.833666,-97.6115,-9.42804,-15.587073,-26.375956,-15.825829,-22.847021
27,-19.28845,-20.692692,-18.59117,-10.724241,-111.605965,-99.204155,-17.37295,-104.83365,-101.06567,-98.30397,-10.679208,-93.968544,-97.186386,-99.0044,-99.56854,-20.777212,-98.04459,-95.995026,-108.99521,-110.856026,-7.0327396,-95.82326,-92.44379,-106.87866,-96.6854
28,-105.823296,-14.706168,-112.566734,-15.676576,-100.61181,-11.786282,-16.377172,-12.836843,-10.754433,-8.813599,-97.80141,-110.477455,-110.81953,-10.518546,-12.404274,-119.31274,-99.857185,-3.8538299,-99.606895,-15.154681,-101.82211,-13.184558,-20.275593,-107.6732,-91.00324
29,-114.78867,-13.134816,-117.37465,-24.596148,-11.703298,-97.54805,-107.03705,-117.83576,-97.60607,-101.92661,-101.8205,-97.43313,-110.77155,-8.19977,-10.528349,-6.960381,-23.99527,-97.606094,-10.295632,-100.5725,-97.34637,-12.6234,-21.464155,-105.22303,-99.90396
30,-99.53679,-11.050076,-11.315481,-21.615875,-9.82012,-99.340836,-10.747405,-98.46909,-111.74303,-10.4181595,-97.80935,-8.641169,-109.15812,-97.99656,-101.05154,-12.036665,-6.8031793,-17.835669,-103.693825,-15.903966,-6.4632225,-15.674217,-100.4995,-112.58115,-115.70235
31,-123.17499,-20.164839,-10.860432,-10.34219,-19.146133,-102.24647,-17.279686,-4.981362,-110.24275,-96.95605,-19.868864,-90.98762,-111.41101,-108.5195,-15.792862,-16.182648,-9.754087,-10.737196,-101.903656,-105.06522,-4.3961897,-13.067583,-13.071088,-12.529912,-102.674835
32,-14.062374,-12.618937,-114.657936,-117.39026,-106.07165,-103.708916,-102.987564,-111.04327,-17.966497,-98.09915,-101.17895,-14.384867,-19.348366,-107.30175,-15.894491,-112.72276,-101.09991,-20.0767,-96.11056,-100.37057,-117.50193,-8.774142,-25.228245,-14.588146,-98.444016
