,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,294.9972599,299.8535407,-50.41121393,-92.98393151,20.38466346,302.6363855,290.9324291,116.412046,200.6402223,287.8466648,305.1845453,-78.9249073,76.24306542,167.4635806,309.1793178,8.247741306,310.731589,301.2758091,305.3155108,312.6474839,-56.75623087,293.0598025,55.55137444,290.0159847,310.4763014
1,296.8718707,298.0932806,137.3064613,-93.09516044,-29.21243113,299.0339428,290.8156626,49.69081262,313.6393525,288.1295732,127.3411931,185.8872408,-31.95911154,118.1875001,-18.68307606,304.5831483,37.91516214,301.0167598,48.96001207,311.6610573,-6.287770344,298.2023754,-32.88336967,289.6093923,311.4857285
2,293.629821,191.191945,-55.50697006,16.08428537,-35.30969666,301.7613154,289.2750624,68.30385228,110.6416254,282.8724851,53.8860326,-65.38300177,-11.63114892,306.1192409,308.6831062,303.3555478,312.2826582,-1.453365969,132.3809615,311.2084456,134.8388878,292.5538673,304.5459221,-83.11587356,310.3160198
3,295.9492436,-42.99808292,-50.75059036,297.53383,22.61551712,301.1370132,-97.3991485,295.2579532,142.8480146,286.3537622,39.8745989,-29.17192011,-31.01206561,-76.33190976,307.0873964,-7.822230175,44.49728483,5.032674486,42.76771989,311.0988714,166.850915,293.510784,304.1797776,-79.19604485,309.9441203
4,296.7509823,300.93201,19.04964333,122.8797587,165.8273644,301.7597881,-104.2733659,115.0294184,5.352075792,287.5430955,303.266659,-80.82921982,146.3633235,-8.138888016,308.907835,304.7125453,202.3918779,-23.02812748,-88.94758939,311.1210663,4.202609641,299.0458697,190.6524642,290.8981721,310.2026686
5,296.9906894,299.8427773,25.27241738,298.4843665,-39.22831512,302.4208041,-97.14315438,294.1249597,314.7204361,289.9264513,28.38883027,-76.53493437,-15.48176163,305.7980056,301.9178517,83.13759372,312.2207307,301.7423579,121.0540864,312.138709,10.00954371,298.2531186,115.5722437,291.3270866,310.4249053
6,296.7538162,299.6278664,-44.14701499,-40.62754516,97.89362132,301.880655,-103.5868896,1.620029689,59.91922482,290.5812008,29.59576838,-65.77601386,138.1737266,111.83688,135.7438758,304.0174232,312.255612,65.73731122,305.9052429,310.886909,-60.43399837,297.1009654,305.9847504,291.9904425,311.8346937
7,297.549583,298.3452025,-4.245550994,-102.1021592,-50.8965653,303.4166256,288.6831951,-0.148419838,314.7488282,288.9788112,306.7576502,-39.80480349,299.5970973,3.784098277,70.19391557,-5.570382392,310.7321042,134.7426304,304.3536709,311.9888456,72.25616092,300.8330226,147.1129811,-81.55361739,310.7207168
8,297.5277637,301.8194715,-7.057429603,10.23972202,99.46375524,300.4336939,-101.4959967,109.2778655,314.8555881,286.3914128,192.0089783,-11.46647157,299.6463628,62.00472881,308.50083,42.05689689,311.9428266,54.44990109,70.04194113,310.7682264,-36.02135692,298.0705976,-35.02833563,289.7281935,309.1040546
9,295.7639602,299.6129055,-27.65115378,-67.50061434,50.81780819,302.626745,-82.00639193,292.6941334,314.265854,286.5864001,9.080667529,-69.72501646,69.2057895,170.02083,308.6128289,47.2765401,167.9968461,56.56162677,197.6538653,312.3723194,23.00058645,300.7818331,-16.40536069,291.289789,309.6410822
10,297.3332264,300.283936,5.112049098,-40.79372507,8.862629592,96.25778686,-101.9382761,3.2163213,-4.357520951,289.5987044,104.4567937,38.32430276,300.0925729,305.7431509,309.7662933,172.1693909,311.1533977,128.2340508,6.130404185,311.2162437,67.24493778,296.3616211,-46.02536728,292.160162,310.3666131
11,26.02401736,154.018923,-51.4982193,-62.11063841,50.26621171,301.3899949,290.1235276,70.64003394,314.7663023,285.5791484,13.2679684,164.7715148,97.2891664,305.205911,308.0007553,301.5608252,6.159420828,71.35089738,52.58945538,310.7951141,56.55342314,164.3339451,33.06124699,291.7078957,309.8692113
12,295.5496743,301.7784921,-56.1636118,34.19558881,-18.74706659,301.2863478,-98.9089761,2.465773818,119.2859203,282.4422528,12.89122479,173.3712464,297.4779696,2.289613598,309.630541,9.133749155,311.8855228,-27.23153398,11.64626779,311.1821481,-10.48927682,299.2827435,196.3621392,292.0852926,310.626288
13,295.3005713,300.7070875,-25.95488538,83.51485587,-29.43800849,301.4614571,-101.0041848,-14.75300416,314.2121867,289.8543172,23.48200619,-88.509252,299.5552971,37.11413238,303.64352,304.2109669,311.239112,-39.80849121,167.0335295,311.3801396,35.0621756,297.4010962,304.9656629,289.0685675,311.0769605
