,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-36.435966,-100.5087,-103.6535,-104.61683,-109.71559,-112.34755,-31.85085,-25.848999,-102.40671,-31.739182,-35.69113,-103.521126,-108.33542,-106.695335,-112.681526,-98.96529,-112.87362,-112.91478,-113.636536,-103.956635,-114.61836,-101.154724,-129.67885,-117.05955,-118.64584
1,-42.729908,-104.272285,-104.39299,-102.69724,-118.48788,-32.068214,-115.07072,-25.877148,-102.66285,-31.776611,-28.62211,-103.59658,-117.0668,-112.22707,-109.67006,-144.59349,-125.831,-112.133484,-117.40772,-34.08011,-119.71835,-114.754585,-104.05699,-107.25708,-16.071358
2,-106.271645,-31.065722,-26.497656,-103.693985,-120.044525,-105.83771,-112.53089,-26.357388,-110.038414,-119.63611,-36.07989,-102.090935,-119.45246,-118.79734,-117.2378,-119.201065,-21.069912,-107.82755,-112.59762,-28.91673,-128.44055,-125.871605,-103.98632,-109.15072,-117.92523
3,-122.47971,-116.31155,-20.392067,-103.21032,-122.3942,-120.00313,-130.24358,-38.15399,-114.782936,-135.08902,-34.745712,-31.78222,-122.152306,-115.03937,-106.81732,-113.57963,-120.52756,-111.19395,-118.77364,-24.830976,-116.638145,-21.352438,-26.390118,-133.35126,-112.50672
4,-115.230515,-121.329735,-115.23074,-102.015205,-125.081696,-102.338,-121.422226,-27.003,-108.19382,-112.71635,-30.351114,-29.897726,-119.29745,-114.40758,-124.487854,-115.93769,-114.14187,-115.84045,-31.28569,-115.97467,-115.544304,-115.415115,-113.80906,-116.49859,-115.94511
5,-118.93916,-118.725334,-115.52373,-101.04769,-118.432434,-102.213524,-118.413574,-115.10942,-121.298706,-112.445,-109.95996,-30.43892,-115.554214,-113.419624,-106.40943,-120.00583,-114.10716,-115.826294,-28.503336,-117.92949,-116.282715,-118.65532,-115.1736,-115.598785,-111.571
6,-115.597275,-115.58454,-113.04869,-23.445745,-27.373047,-39.49635,-119.481735,-120.58888,-137.76157,-114.537025,-121.052246,-112.34151,-126.49745,-121.63878,-114.02989,-122.96903,-27.081825,-117.03087,-31.672535,-122.94722,-116.1963,-118.1351,-116.35264,-114.96635,-119.9274
7,-111.23368,-114.17383,-117.09969,-33.675957,-118.11341,-126.53763,-107.9178,-116.54539,-121.551605,-116.3149,-123.72238,-112.0172,-122.75853,-17.97817,-118.47803,-112.003624,-25.07094,-122.263016,-122.64863,-115.48483,-107.658394,-116.259735,-110.71909,-116.641045,-116.34885
8,-115.31544,-116.12238,-118.77881,-23.636171,-35.076138,-105.8753,-112.26501,-122.43597,-119.88091,-114.534355,-120.60271,-120.1734,-115.99101,-34.18394,-115.36524,-110.40296,-103.85652,-118.305435,-108.669464,-117.533905,-115.537025,-115.41537,-26.645084,-32.51289,-32.037567
9,-116.42025,-114.31938,-116.53841,-113.66702,-27.938324,-99.30083,-117.57271,-120.68558,-24.340515,-120.582886,-115.96092,-118.36845,-129.38991,-26.33965,-117.5994,-115.60578,-29.76756,-24.85649,-114.848206,-118.32113,-22.407324,-119.926476,-25.623909,-26.092573,-29.274979
10,-116.26636,-112.65432,-112.13143,-117.617256,-103.29304,-123.32067,-114.02528,-112.81154,-117.105125,-112.71942,-114.82265,-115.07795,-114.81584,-28.984089,-108.49686,-110.206116,-110.65224,-28.490828,-27.170328,-118.92264,-18.775095,-116.07076,-33.472267,-31.819334,-29.14939
11,-119.865845,-119.37777,-114.02754,-116.19261,-106.11408,-104.46425,-114.604095,-117.55206,-109.36245,-112.55744,-117.32873,-116.06262,-118.969505,-16.533949,-107.39828,-114.90944,-22.816462,-25.449493,-31.00227,-116.3569,-112.321884,-119.791664,-102.05431,-23.145618,-31.27461
12,-117.347244,-115.11734,-118.787865,-117.79926,-120.34404,-106.75726,-120.55376,-117.77893,-26.68976,-115.22396,-112.39652,-119.02825,-118.5117,-18.202642,-107.78163,-113.94777,-18.114666,-25.257149,-120.88301,-113.01284,-26.475916,-114.83447,-127.96867,-26.234352,-28.060247
13,-113.50852,-117.85259,-32.45787,-132.48251,-131.75388,-101.62441,-124.27956,-113.13034,-25.209255,-23.592064,-116.29413,-115.23526,-119.88805,-15.355174,-109.07054,-112.19073,-109.138,-29.128645,-17.869392,-110.59386,-17.596655,-107.30084,-26.805143,-27.284954,-105.2463
14,-111.44624,-111.48161,-31.574554,-116.68707,-23.29138,-97.32797,-106.85963,-113.72379,-35.86454,-28.498547,-111.546906,-125.25949,-117.45932,-104.99097,-122.72221,-114.895874,-18.444101,-113.11421,-105.00752,-114.971954,-107.43363,-106.97448,-19.885475,-122.37084,-110.61952
15,-35.954834,-117.32893,-25.99465,-34.617218,-109.869835,-106.88389,-104.36368,-114.33968,-29.224398,-30.856396,-111.54345,-116.4238,-31.954765,-102.518936,-30.157509,-117.92364,-17.439562,-25.121618,-109.69872,-107.526634,-23.967209,-104.67738,-20.793987,-102.17062,-113.108795
