,It 0,It 1,It 2,It 3,It 4
0,-36.7586,-117.51568,-108.57786,-109.05635,-137.91652
1,-115.37276,-104.88328,-125.513504,-28.472641,-102.713135
2,-109.2633,-104.173874,-123.34927,-114.87913,-105.045555
3,-118.90593,-105.17994,-120.45607,-122.524765,-105.04954
4,-117.73023,-107.38002,-112.73833,-110.35007,-32.529972
5,-95.4729,-134.3439,-30.250748,-126.66113,-103.12302
6,-98.74285,-103.33976,-112.37015,-112.265724,-106.93652
7,-13.418328,-103.99288,-111.43876,-29.221975,-31.33099
8,-34.080975,-102.22118,-107.73734,-24.332626,-120.605316
9,-108.42032,-134.9836,-114.23748,-18.398493,-104.81288
10,-109.75659,-107.35558,-113.44662,-106.86921,-35.72417
11,-100.39219,-107.60177,-119.75873,-115.09247,-33.998314
12,-30.519314,-107.121765,-124.23046,-105.184105,-105.16166
13,-107.020004,-103.46979,-120.8145,-16.693678,-28.278147
14,-106.55591,-106.690155,-107.9504,-19.931292,-29.064764
15,-105.04398,-126.23888,-112.28981,-108.841,-102.674866
16,-105.75846,-113.66695,-114.64656,-107.82196,-36.437828
17,-99.801544,-105.745544,-119.221954,-12.432867,-107.498276
18,-108.86886,-108.17407,-119.915886,-18.344732,-102.97643
19,-107.00581,-106.0357,-120.29033,-114.92952,-28.958853
20,-104.895256,-108.116974,-117.832634,-23.474901,-35.75636
21,-27.803885,-121.27226,-105.06347,-23.971004,-111.57684
22,-106.18565,-105.473625,-111.64356,-18.993877,-28.475103
23,-111.19988,-106.69366,-107.34136,-112.807144,-30.27314
24,-107.38973,-102.38397,-109.3298,-119.33295,-30.570972
25,-112.69298,-121.3996,-100.45949,-33.83965,-30.733318
26,-26.57911,-105.373924,-104.87096,-113.926605,-35.42834
27,-108.19183,-137.8999,-16.17341,-24.677551,-31.903337
28,-31.19376,-117.627045,-105.27173,-21.722958,-30.665457
29,-26.907688,-34.296177,-105.39617,-32.469162,-30.679016
30,-24.02982,-107.3748,-103.621635,-119.38394,-109.05467
31,-23.544258,-112.52011,-109.783516,-22.608088,-27.032454
32,-123.482315,-100.20232,-111.70814,-111.400696,-116.40449
33,-111.32045,-25.96785,-116.81688,-19.269194,-118.05083
34,-111.19407,-26.130476,-108.65558,-109.99746,-106.73009
35,-103.70488,-19.845972,-102.95422,-32.99227,-118.87621
36,-35.867844,-108.84173,-26.697868,-19.388582,-27.850273
37,-116.74917,-110.47425,-23.529158,-106.15441,-115.86307
38,-110.1257,-117.336075,-100.74659,-113.68524,-34.876842
39,-29.547264,-30.260422,-23.305195,-25.564238,-31.743921
40,-29.98742,-14.879123,-101.67634,-110.36291,-25.213043
41,-113.30471,-112.338806,-108.365654,-21.643707,-118.79591
42,-13.894974,-121.1048,-110.21222,-22.53212,-28.74574
43,-13.742424,-98.857414,-102.774734,-20.748745,-30.158575
44,-117.11717,-107.588165,-27.66884,-19.937878,-25.910872
45,-27.642845,-105.1299,-29.47808,-101.095436,-29.91071
46,-29.609507,-118.198364,-26.196245,-107.94267,-26.90017
47,-22.490051,-107.66608,-100.10364,-24.551043,-113.37625
48,-11.754592,-125.95517,-23.815443,-123.96054,-28.550182
49,-19.093317,-103.09423,-112.892845,-109.66823,-105.30296
50,-29.715528,-107.65374,-106.897514,-108.60093,-29.239685
51,-106.6342,-104.76325,-116.793755,-111.83303,-113.52861
52,-38.205185,-100.34593,-37.04285,-111.58322,-106.27227
53,-106.687805,-105.2527,-103.14354,-116.127014,-18.73201
54,-115.84243,-120.81269,-103.47109,-99.29088,-108.969765
55,-25.067362,-29.203903,-102.088745,-27.3294,-109.65165
56,-22.047134,-105.83145,-23.488413,-13.535297,-25.368896
57,-35.00503,-103.80991,-110.47165,-22.747797,-24.217709
58,-24.999868,-13.147549,-107.02572,-117.456085,-108.96943
59,-4.4730134,-102.08311,-106.0765,-100.9646,-32.18122
60,-20.392641,-103.49593,-100.26872,-26.076458,-36.416405
61,-21.918423,-100.372765,-113.93079,-25.194763,-107.09339
62,-19.794266,-33.555065,-24.42109,-34.930775,-24.530815
63,-107.017525,-105.85022,-25.043056,-106.87348,-108.63801
64,-27.53486,-106.115005,-108.630554,-108.55236,-108.246925
65,-107.3383,-114.42177,-111.00901,-112.22653,-112.345345
66,-111.024765,-101.79137,-102.040054,-25.579313,-114.47097
67,-114.12931,-126.354645,-104.546585,-29.855982,-107.537766
68,-25.437084,-101.276764,-101.1368,-21.493132,-35.922894
69,-28.085787,-99.250305,-123.489944,-31.505127,-110.83635
70,-111.9945,-24.409424,-22.04999,-23.933474,-107.59014
71,-30.610565,-25.183813,-24.042978,-102.74669,-140.14786
72,-117.916245,-103.57551,-101.146126,-24.31804,-30.56359
73,-29.862768,-99.21317,-24.637506,-12.396371,-106.84387
74,-19.11709,-113.99252,-104.76057,-15.933239,-26.025116
75,-104.10398,-98.72393,-25.693155,-21.932182,-19.192102
76,-108.13795,-28.333143,-106.06876,-25.49599,-36.465668
77,-31.136652,-104.015945,-104.2631,-126.78565,-33.876568
78,-29.94239,-102.54873,-105.81514,-104.26925,-110.669785
79,-32.032658,-22.884007,-113.50189,-17.67709,-32.032993
80,-33.029568,-21.884275,-113.68332,-13.306383,-103.865616
81,-34.492092,-15.427707,-102.800285,-16.998299,-35.482914
82,-19.11377,-20.0454,-106.41494,-103.370895,-140.61537
83,-26.064178,-27.348934,-107.404854,-107.35142,-28.4144
84,-25.51783,-31.941881,-109.538376,-18.913069,-40.799976
85,-23.19889,-98.827095,-108.90937,-18.604994,-120.17635
86,-18.651129,-102.01157,-103.72618,-99.98621,-123.964905
87,-99.10689,-23.466448,-20.016687,-15.252893,-40.56205
88,-100.5436,-20.747122,-113.39573,-100.74427,-47.94071
89,-23.890274,-17.631252,-107.2938,-26.331577,-115.76847
90,-34.70622,-25.941868,-115.72383,-20.800592,-107.71334
91,-120.444336,-32.060577,-106.466484,-104.743935,-108.99666
92,-26.862576,-100.953255,-27.649002,-36.34795,-30.803308
93,-20.222399,-22.662735,-102.49223,-26.757845,-26.881445
94,-28.707684,-21.082714,-107.23263,-23.144136,-27.840237
95,-28.18952,-27.531918,-109.561554,-112.98335,-110.92978
96,-35.10069,-95.13611,-114.41537,-23.144709,-35.078766
97,-30.922005,-101.381935,-28.154451,-35.22384,-34.395267
98,-100.24431,-103.331825,-30.80542,-25.154161,-112.74283
99,-120.149124,-101.89603,-36.600414,-30.58295,-113.28606
100,-28.07008,-102.47974,-27.918272,-22.378887,-108.37888
101,-19.003452,-14.549482,-34.72766,-117.59043,-102.730255
102,-28.445993,-98.369255,-28.148672,-101.299904,-104.70589
103,-23.125998,-22.60762,-27.434101,-25.147943,-104.91432
104,-116.597885,-25.249973,-39.043285,-115.76701,-117.0201
105,-24.392334,-22.073126,-31.28263,-100.1555,-112.12828
106,-20.825994,-20.821276,-107.828,-17.388672,-103.90873
107,-21.885632,-32.686054,-107.43038,-18.717785,-109.55444
108,-30.42652,-102.001854,-110.93544,-118.66773,-115.8402
109,-109.27845,-19.786783,-134.7861,-104.38005,-108.403206
110,-9.319975,-97.861015,-106.62348,-24.072304,-112.35997
111,-20.79976,-20.532166,-107.39352,-38.77392,-116.385216
112,-115.86801,-35.616188,-28.917389,-28.669085,-101.736145
113,-30.565535,-36.145992,-110.99374,-110.11475,-30.256693
