,It 0,It 1,It 2,It 3,It 4
0,-128.68948,-32.57325,-29.975714,-104.43434,-109.09157
1,-112.56925,-27.745844,-36.919563,-127.27662,-106.4051
2,-115.9082,-112.89964,-109.81706,-31.013464,-24.198719
3,-117.10409,-114.580605,-114.35902,-33.626564,-30.341097
4,-113.836006,-115.59494,-115.116165,-31.145283,-32.084393
5,-117.07898,-122.71679,-119.03764,-29.813387,-31.476974
6,-122.276505,-119.4315,-116.95873,-30.419369,-117.46316
7,-133.03917,-117.7699,-129.69687,-29.80296,-113.57248
8,-128.23235,-33.040287,-120.0955,-33.48549,-112.417145
9,-123.96568,-37.793774,-119.68703,-34.924427,-118.534966
10,-118.35265,-27.991945,-113.78041,-33.35386,-124.26399
11,-110.60825,-38.42864,-50.316166,-29.312952,-104.16216
12,-128.61598,-30.480993,-37.578094,-124.69885,-111.11097
13,-112.35828,-24.828348,-104.1298,-38.38919,-35.18759
14,-22.869219,-30.614704,-25.627743,-40.62812,-24.476385
15,-97.791,-33.008152,-110.339554,-31.477772,-36.135323
16,-111.81998,-25.474401,-103.68787,-110.754845,-31.119295
17,-31.364622,-103.97977,-104.220604,-18.581352,-100.42211
18,-34.02507,-17.1941,-108.00867,-108.89637,-103.559204
19,-23.713924,-28.49862,-117.86387,-112.05723,-101.50092
20,-29.571205,-20.686026,-31.883564,-21.651707,-101.27256
21,-104.70264,-122.877075,-106.25838,-26.28208,-102.563896
22,-108.06428,-25.805313,-23.405235,-27.23454,-17.767048
23,-105.71012,-116.89728,-102.747116,-107.52858,-109.05903
24,-109.49169,-24.905476,-22.338417,-109.09014,-101.662056
25,-38.617184,-24.883186,-104.381004,-104.5243,-20.802988
26,-25.40946,-16.650408,-20.208706,-104.02507,-107.71571
27,-24.362652,-21.411898,-121.96734,-105.13081,-112.06774
28,-105.36717,-29.17843,-100.439316,-117.40406,-102.3107
29,-122.27148,-26.111729,-106.62856,-19.420029,-113.165985
30,-31.940197,-121.76289,-103.000725,-113.216545,-104.66104
31,-24.813509,-21.696606,-125.896126,-19.99777,-109.09567
