,It 0,It 1,It 2,It 3,It 4
0,-110.25994,-115.07891,-28.05598,-110.51334,-115.89836
1,-116.12862,-108.66785,-119.17677,-115.77769,-117.55934
2,-114.47961,-118.3072,-31.532566,-114.607254,-110.98272
3,-116.72602,-114.86544,-27.15685,-116.04505,-108.8197
4,-122.43229,-115.29667,-25.61792,-16.726585,-118.23299
5,-115.28271,-24.709774,-9.404978,-32.257427,-104.88137
6,-15.29219,-20.02995,-102.7063,-98.75037,-19.968525
7,-105.162186,-19.092327,-24.759098,-120.24513,-120.91328
8,-16.087543,-12.152218,-99.74018,-111.98526,-15.909692
9,-105.028625,-101.51354,-112.66645,-15.913096,-20.767746
10,-103.87532,-112.402885,-14.123842,-102.84903,-101.87713
11,-104.890915,-16.552425,-101.81013,-103.3415,-99.0743
12,-113.15682,-120.079704,-100.33164,-115.99637,-19.502354
13,-12.606724,-110.7878,-16.498846,-102.21311,-15.87498
14,-116.49205,-121.92758,-102.281876,-15.881493,-102.69228
15,-111.4008,-12.160418,-17.979494,-13.468429,-10.630018
16,-16.75748,-100.02478,-16.36988,-11.638337,-19.448584
17,-16.027115,-11.569347,-110.447685,-112.10286,-16.99411
18,-16.508648,-14.408207,-101.85327,-9.573687,-96.5128
19,-108.54409,-12.496893,-14.640678,-13.711322,-16.33342
20,-12.905342,-9.30948,-113.321075,-97.23023,-20.25672
21,-12.706389,-15.291395,-14.342389,-92.04085,-9.371708
22,-114.31535,-99.170715,-111.56798,-7.9133167,-18.793346
23,-29.537739,-109.90199,-9.997575,-19.591003,-98.83151
24,-103.41028,-101.63021,-111.64537,-8.792386,-17.865866
25,-11.776499,-108.86246,-97.164566,-109.75094,-13.915167
26,-20.847343,-118.33905,-10.362381,-119.88023,-22.59035
27,-17.102198,-9.601629,-9.564532,-16.159037,-122.15135
28,-116.34572,-97.39355,-11.985745,-9.908122,-14.518866
29,-99.00255,-103.6381,-16.469841,-14.148892,-9.863864
30,-17.731525,-98.14724,-7.7892017,-94.493675,-97.805725
31,-15.380996,-99.9579,-18.391005,-100.21752,-110.89342
32,-15.087823,-99.386566,-10.43578,-9.49611,-113.139626
33,-103.07547,-13.554606,-101.30429,-14.082627,-118.61812
34,-10.743189,-100.90385,-9.077818,-12.202135,-98.69997
35,-105.47675,-95.84797,-8.67534,-19.065584,-20.111988
36,-100.131004,-22.3244,-15.982352,-7.075322,-21.398132
37,-96.851555,-20.570597,-13.510659,-8.123418,-16.71055
38,-115.82189,-100.66498,-18.690472,-10.843867,-7.278458
39,-102.674446,-112.37078,-16.271935,-11.784859,-11.144538
40,-107.30643,-14.440674,-98.635056,-17.318121,-10.802845
41,-107.47884,-100.28932,-11.107014,-95.71744,-20.786722
42,-99.13751,-97.93096,-115.162186,-12.82461,-16.825233
43,-117.66841,-96.89351,-113.42947,-14.446052,-99.237045
44,-20.183268,-110.80327,-100.07727,-14.544152,-124.80588
45,-113.130554,-99.59093,-107.04509,-12.996375,-17.34749
46,-11.479115,-16.474714,-110.80016,-15.586165,-17.799017
47,-102.45777,-101.77888,-7.558484,-102.65217,-19.773209
48,-110.744705,-10.723046,-15.6815195,-17.575277,-119.2672
49,-10.535347,-110.541336,-113.157906,-7.2786555,-99.634964
50,-118.46243,-96.08253,-94.391174,-9.629014,-100.75956
51,-12.483579,-98.53893,-12.058714,-103.65057,-12.964688
52,-9.051335,-17.71214,-112.42888,-112.15242,-13.460015
53,-115.181206,-105.12666,-117.456116,-18.810612,-98.18417
54,-100.8921,-97.2137,-9.699147,-14.048162,-105.53855
55,-112.65073,-102.68523,-117.75909,-12.233356,-100.13042
56,-117.24734,-99.0747,-8.735293,-111.76193,-101.35891
57,-10.77346,-17.723324,-97.62491,-8.952048,-111.60269
58,-19.664217,-5.491069,-9.025155,-8.729624,-20.479574
59,-14.883483,-98.29192,-20.80451,-7.435344,-115.06193
60,-99.974304,-99.349884,-96.06905,-16.382122,-11.961027
61,-19.600819,-112.99245,-27.677782,-14.340003,-15.012104
62,-12.822009,-99.623535,-106.18221,-98.414345,-17.858305
63,-22.032337,-9.598675,-7.0754642,-7.098553,-101.425064
64,-98.06892,-96.79757,-7.8510947,-6.9230995,-19.440525
65,-100.819626,-12.888827,-10.582425,-97.00686,-99.321815
66,-13.496113,-92.70717,-96.208046,-101.02594,-11.814486
67,-100.2675,-15.551268,-7.870603,-9.625878,-111.95533
68,-16.363068,-109.203926,-92.47249,-7.0039334,-113.30088
69,-99.321785,-100.217445,-114.431244,-15.161045,-113.67196
70,-17.540022,-11.040818,-21.71774,-10.355333,-13.038436
71,-101.992325,-91.81122,-6.695742,-16.780457,-121.99306
72,-11.149261,-97.42788,-114.06353,-11.32735,-17.69041
73,-101.461586,-19.169224,-96.50328,-9.264385,-98.2924
74,-101.35669,-12.438031,-116.01571,-99.65515,-16.541
75,-15.637714,-97.51761,-12.740986,-97.74423,-12.886138
76,-101.34639,-93.732086,-110.17677,-92.8947,-104.58741
77,-97.31725,-93.924545,-97.232635,-109.18255,-101.1931
78,-113.33716,-117.327896,-122.06332,-12.188062,-13.633247
79,-105.1305,-99.62756,-20.435453,-100.17252,-14.440586
80,-16.062878,-100.521965,-101.54643,-99.59613,-20.374882
81,-116.917595,-96.25108,-109.723694,-101.19065,-28.654907
