,It 0,It 1,It 2,It 3,It 4
0,-106.26066,-102.295715,-100.07023,-28.893347,-118.06491
1,-107.265854,-29.422365,-113.75316,-111.76772,-21.46641
2,-113.22359,-108.41516,-109.64498,-119.66052,-114.426704
3,-129.78093,-113.374664,-19.9357,-114.7016,-113.51467
4,-105.124466,-119.24493,-23.636557,-108.72635,-110.426506
5,-113.92474,-108.19255,-21.251348,-16.093897,-19.011808
6,-22.478193,-103.93135,-113.27779,-20.624983,-17.484713
7,-33.3823,-110.91538,-16.961159,-106.56959,-17.714128
8,-110.06174,-37.636208,-13.616039,-109.67928,-117.75194
9,-119.85302,-111.83906,-15.164777,-111.07158,-21.143316
10,-21.87136,-16.472687,-111.07696,-111.95437,-118.40619
11,-109.19582,-112.531494,-101.19564,-114.89231,-16.342957
12,-18.715761,-104.72424,-107.01738,-16.116491,-98.60065
13,-102.07642,-22.81984,-23.789257,-15.736212,-104.03947
14,-106.419395,-28.957148,-103.44686,-20.233837,-15.18203
15,-107.028046,-110.28197,-16.085917,-104.39009,-14.238203
16,-114.11971,-109.06134,-102.249176,-107.543396,-99.84149
17,-111.43042,-19.958593,-109.09498,-111.83437,-19.79544
18,-106.85441,-108.38867,-104.75855,-111.46365,-105.29472
19,-105.96698,-124.70699,-104.44328,-108.793564,-19.727772
20,-18.701468,-98.39893,-101.625786,-103.992386,-110.11273
21,-112.365814,-109.753235,-17.976809,-19.870857,-109.45725
22,-112.34136,-100.19563,-9.419258,-109.34183,-21.067423
23,-109.95283,-21.210438,-100.741646,-113.00587,-14.047552
24,-105.035736,-100.862274,-99.22022,-111.103035,-15.280135
25,-18.224152,-23.854383,-99.06437,-14.261756,-109.79581
26,-108.54043,-114.51575,-110.689156,-20.193483,-96.765785
27,-97.45147,-115.64145,-106.16294,-105.39738,-19.568356
28,-16.205523,-24.818993,-102.76537,-20.380466,-14.584007
29,-11.508516,-112.34892,-106.16204,-22.06562,-100.54465
30,-99.825935,-98.62221,-14.334688,-104.18178,-116.745895
31,-22.445217,-100.62944,-12.688845,-22.276596,-111.53859
32,-18.002214,-103.1022,-102.766205,-23.65822,-100.794846
33,-14.630364,-22.922756,-18.667543,-14.393138,-102.79717
34,-100.84733,-24.262388,-109.9284,-16.154041,-24.054468
35,-110.5993,-109.67605,-97.54186,-118.604935,-11.270364
36,-11.351217,-101.465866,-11.087365,-14.89591,-25.333742
37,-102.297806,-112.4585,-96.3283,-18.794342,-107.94171
38,-110.69106,-102.80252,-101.38017,-112.6431,-12.294399
39,-102.33837,-98.391426,-111.8231,-110.72137,-21.736202
40,-17.846312,-109.735275,-129.65265,-17.68833,-13.999409
41,-13.125262,-107.37284,-101.88653,-18.025873,-14.694743
42,-97.8126,-99.87812,-111.267555,-116.53369,-109.31645
43,-17.602903,-108.60583,-19.97599,-111.68796,-108.053474
44,-17.345377,-19.76976,-20.841612,-16.086666,-17.983706
45,-17.438717,-109.920105,-23.712967,-19.089146,-109.48705
46,-15.5664835,-97.88832,-103.766014,-21.589128,-22.872116
47,-108.71144,-105.91756,-15.804488,-106.20277,-13.310931
48,-103.195335,-104.8217,-14.218452,-21.33683,-109.45035
49,-103.2335,-103.14083,-15.466016,-18.898602,-111.894424
50,-19.893866,-110.438866,-103.80129,-17.216871,-18.34258
51,-113.79215,-101.63876,-12.135382,-100.66467,-99.24736
52,-14.987483,-19.329689,-101.83525,-14.708468,-17.585867
53,-110.57305,-98.385445,-107.84168,-103.91518,-14.255843
54,-22.3449,-23.349695,-108.47506,-105.60863,-11.955495
55,-13.157158,-17.804474,-106.29008,-99.60011,-16.879278
56,-106.75458,-100.3831,-18.467688,-112.43887,-18.815735
57,-100.5226,-100.35879,-113.04208,-16.635868,-104.96208
58,-114.507576,-27.340832,-17.791058,-110.24309,-15.0040865
59,-110.95343,-111.898964,-19.782272,-20.412603,-111.5297
60,-113.66294,-101.448586,-111.242615,-99.51624,-21.33297
61,-99.26708,-118.77774,-99.64449,-103.08207,-13.177993
62,-16.961838,-103.3633,-18.436153,-111.03692,-99.28566
63,-102.32001,-17.579895,-96.38449,-22.41895,-105.757256
64,-114.40642,-100.3929,-110.12868,-97.97734,-22.12766
65,-111.59655,-19.397394,-105.76207,-99.223915,-111.06751
66,-19.779303,-120.52874,-15.739279,-110.398224,-13.01114
67,-102.08633,-110.04693,-17.146132,-116.32669,-11.459443
68,-17.747547,-96.510826,-16.013962,-98.83801,-111.32854
69,-100.522896,-100.419914,-110.380806,-111.32736,-106.04887
70,-123.0468,-109.924545,-112.98545,-100.95466,-98.39573
71,-10.616693,-115.78061,-108.685616,-18.40833,-110.10741
72,-110.20769,-97.75163,-121.65825,-13.886948,-15.14205
73,-115.80559,-96.471924,-19.566395,-100.05515,-18.01528
74,-99.05248,-19.52323,-103.3946,-18.954292,-21.242516
75,-113.02113,-120.59619,-99.23772,-98.099434,-99.44258
76,-97.72969,-100.77392,-10.960464,-120.997116,-17.133503
77,-18.305128,-116.80086,-96.0428,-16.862986,-99.55841
78,-98.91182,-98.204445,-15.57331,-16.374863,-108.73774
79,-111.01908,-116.7969,-21.202297,-111.78781,-19.527508
80,-103.06958,-111.33322,-99.51972,-101.13933,-98.79721
81,-16.250546,-99.48118,-103.401,-110.00304,-114.75062
82,-111.65353,-114.39419,-14.956015,-19.357132,-96.71299
83,-109.52193,-100.14764,-100.23293,-18.673779,-21.008537
84,-113.76784,-111.71203,-100.827126,-98.39218,-97.20414
85,-97.98999,-100.80107,-101.86085,-108.99577,-19.293457
86,-97.98029,-122.75309,-100.57043,-98.42484,-117.36211
87,-117.97203,-16.392994,-97.576164,-98.99269,-119.383736
88,-109.69655,-99.63172,-102.39819,-102.719215,-117.64999
89,-118.89129,-111.225235,-100.181015,-17.976236,-17.67755
90,-13.815911,-97.62682,-15.947282,-19.849195,-112.940125
91,-116.8581,-107.559364,-17.676226,-107.69266,-100.6411
92,-101.03181,-98.63008,-19.889336,-99.14856,-8.970782
93,-16.087412,-110.5827,-14.619345,-108.533936,-98.17189
94,-16.258179,-98.665184,-13.740359,-22.967102,-16.367308
95,-103.70293,-97.88441,-14.14222,-99.820854,-142.49525
96,-18.782475,-105.77482,-12.382348,-21.699032,-12.528092
97,-18.211407,-100.18375,-119.96803,-101.27823,-98.99363
98,-99.68404,-22.067726,-116.68759,-16.778465,-122.96553
99,-17.689781,-103.95769,-99.52806,-26.69581,-19.332428
100,-17.550282,-114.23417,-96.97965,-113.99571,-12.742347
101,-17.399738,-119.0131,-99.069565,-22.025532,-102.03534
102,-23.316105,-122.29127,-99.3405,-99.35436,-22.826097
103,-20.128996,-114.54478,-17.327908,-109.95041,-99.97838
104,-16.594595,-101.39197,-96.20293,-22.57808,-110.5795
105,-101.39782,-117.17195,-102.66576,-20.818672,-18.177462
106,-21.946718,-101.23262,-19.139511,-99.60776,-98.75623
107,-20.064716,-112.82313,-110.78778,-18.075499,-120.41699
108,-100.35742,-101.5021,-108.24807,-99.09391,-14.304296
109,-98.70728,-112.037674,-25.80695,-17.134382,-15.123568
110,-17.788486,-112.52608,-15.247733,-97.98743,-18.247402
111,-14.78243,-97.47209,-105.61926,-16.293219,-126.981155
112,-18.486568,-17.679714,-16.962029,-98.26801,-103.881546
113,-21.018265,-100.210556,-13.922003,-21.533108,-120.01417
114,-100.78606,-98.3174,-98.665016,-21.780426,-94.13164
115,-17.571796,-22.480162,-23.353184,-27.340893,-121.0296
116,-19.09867,-111.99219,-20.86156,-16.117655,-93.24849
117,-98.08436,-114.0973,-101.97431,-20.718016,-26.175575
118,-133.96082,-27.142637,-24.090956,-99.7645,-100.22327
119,-18.344173,-98.73578,-98.962036,-17.394402,-99.72878
120,-99.43271,-98.58307,-21.760447,-23.143398,-17.306822
121,-99.316864,-96.512566,-110.97917,-100.388695,-96.85246
122,-13.447037,-111.931786,-16.461418,-99.706856,-10.987172
123,-100.781204,-98.95225,-116.484985,-116.2129,-100.53488
124,-98.46804,-106.11598,-100.3238,-112.89934,-13.4541025
125,-99.88893,-24.335176,-15.674769,-108.73353,-100.330826
