,It 0,It 1,It 2,It 3,It 4
0,-106.79117,-128.40344,-120.59564,-29.28009,-30.760057
1,-35.769184,-122.293785,-120.090096,-22.930887,-28.23279
2,-107.723434,-116.97875,-101.70222,-28.052446,-23.003866
3,-109.36266,-116.93682,-106.86893,-36.10405,-113.55667
4,-118.478806,-111.88003,-120.04244,-113.05984,-117.77417
5,-121.29609,-117.965225,-114.15327,-116.240456,-116.97898
6,-113.35451,-119.68565,-114.64542,-113.38197,-121.80684
7,-114.41956,-115.625946,-120.33753,-113.287415,-117.599106
8,-124.05878,-118.931984,-115.7438,-119.268265,-117.12695
9,-112.92238,-121.246765,-118.98468,-113.90794,-119.494896
10,-128.88203,-107.90001,-113.29475,-113.45813,-37.708336
11,-114.92479,-115.957115,-108.0519,-114.01803,-34.320892
12,-115.53678,-108.27091,-110.97537,-110.45415,-33.343212
13,-107.77086,-45.694504,-26.616077,-109.94228,-26.307213
14,-114.61368,-31.46755,-103.05156,-110.27546,-21.600525
15,-109.167816,-31.28414,-111.94127,-103.99466,-21.460388
16,-113.80794,-19.984402,-119.35608,-104.33384,-22.454517
17,-34.769592,-114.79014,-106.318954,-110.5242,-107.3805
18,-35.234283,-25.676285,-113.40068,-114.162994,-102.65112
19,-38.945812,-103.541245,-15.768011,-18.171911,-27.81091
20,-27.056078,-111.2778,-25.526585,-116.27287,-22.24066
21,-116.42823,-24.079697,-18.305372,-24.820032,-26.113745
22,-20.163076,-126.476395,-104.26465,-11.680647,-20.158829
23,-30.94439,-19.438791,-106.88811,-24.102182,-19.844017
24,-25.4727,-117.826935,-116.81763,-112.09733,-115.29453
25,-31.102049,-23.743742,-109.9142,-28.272053,-103.51754
26,-106.22044,-123.349075,-20.33262,-22.309278,-114.088554
27,-29.449383,-23.533655,-23.527521,-109.09138,-104.85015
28,-106.80615,-21.567825,-102.50843,-118.64594,-110.81039
29,-109.101845,-23.560165,-114.94493,-107.08393,-23.420732
30,-22.79869,-111.87391,-110.19551,-104.77887,-114.85145
31,-120.28921,-26.04619,-22.071579,-24.555395,-118.68112
32,-22.618246,-108.131744,-19.62836,-25.328133,-18.205572
33,-20.83262,-115.53783,-23.767162,-12.05284,-15.847215
34,-104.39702,-28.509617,-104.73281,-20.801992,-13.700593
35,-29.86838,-110.05788,-106.22899,-23.215511,-103.41262
