,It 0,It 1,It 2,It 3,It 4
0,-32.161747,-32.039295,-30.998737,-111.81145,-109.84327
1,-107.81723,-104.1958,-34.737953,-112.00377,-121.907936
2,-114.24881,-118.991684,-112.97912,-116.53146,-108.30132
3,-111.39418,-123.54657,-118.04277,-119.14162,-116.36568
4,-118.23979,-114.10286,-21.403112,-114.429,-117.360664
5,-120.78503,-120.39868,-109.09796,-112.98881,-116.734085
6,-108.96686,-115.70735,-106.60713,-114.007126,-117.64197
7,-120.47421,-38.015976,-23.743092,-120.046616,-119.24085
8,-113.11841,-119.771736,-108.24722,-117.674934,-113.507225
9,-114.77668,-104.595985,-23.503794,-120.46427,-124.21136
10,-116.52207,-104.12188,-102.394844,-121.45096,-121.697205
11,-113.13302,-108.117424,-107.15798,-26.864042,-113.64326
12,-114.93138,-34.621235,-104.413376,-31.807514,-119.10304
13,-24.57123,-117.09964,-100.63649,-115.1448,-120.03787
14,-27.007086,-27.117588,-103.423004,-115.12292,-117.07678
15,-117.61106,-107.60753,-101.71025,-44.95969,-125.71146
16,-30.649595,-108.338936,-119.58395,-36.172977,-110.826454
17,-109.45233,-113.24268,-100.16295,-33.24497,-114.85691
18,-22.460526,-103.86357,-108.09276,-117.21245,-120.413124
19,-29.394688,-26.426859,-102.19939,-116.54306,-30.044582
20,-30.42839,-104.46409,-98.97257,-106.41525,-46.381325
21,-107.12599,-111.90065,-99.99398,-101.61134,-36.941273
22,-28.66523,-106.99119,-23.33304,-19.098686,-120.70027
23,-30.269945,-111.32897,-103.927216,-8.1963825,-27.891562
24,-27.173128,-21.45303,-107.42103,-105.31612,-28.413918
25,-105.15485,-104.85809,-98.26792,-110.58847,-29.32975
26,-24.982416,-105.36384,-103.45021,-23.884256,-105.28895
27,-21.560965,-112.99184,-20.103064,-115.79768,-27.529902
28,-106.35486,-117.79481,-18.912527,-121.56062,-37.334232
29,-36.880646,-113.92216,-102.94528,-45.104294,-107.1703
30,-35.381535,-26.160046,-98.644455,-22.853365,-32.830772
31,-23.075714,-109.11564,-93.54406,-107.24972,-23.44194
32,-24.89935,-116.23315,-113.40984,-39.877182,-27.677637
33,-102.31434,-113.59257,-106.82773,-106.043846,-36.014458
34,-110.18811,-25.540792,-108.79211,-119.72116,-26.121483
35,-124.091736,-22.7401,-115.46745,-112.19442,-24.660826
36,-103.69354,-111.832985,-122.87162,-24.224915,-25.712208
37,-100.26147,-19.267962,-107.4892,-116.5657,-28.546452
38,-106.95415,-23.174942,-108.428024,-17.561932,-128.0748
39,-110.70484,-25.818441,-118.57747,-16.635443,-109.65357
40,-23.466442,-107.17478,-102.37896,-112.93511,-38.374557
41,-30.361172,-27.457247,-22.731323,-107.67041,-33.07168
42,-26.147625,-108.572914,-112.304276,-110.08363,-30.887394
43,-27.634153,-112.388954,-97.48329,-114.41307,-28.511574
44,-18.206509,-20.454336,-107.49258,-25.344828,-29.770311
45,-114.44218,-23.900265,-100.82351,-115.1935,-32.674355
46,-103.40563,-116.370636,-96.70078,-15.900499,-110.92978
47,-22.03324,-117.95254,-103.23471,-116.44411,-30.317015
48,-26.056374,-101.581436,-18.094276,-25.051458,-34.776215
49,-103.77789,-102.77372,-24.710543,-31.13809,-103.29221
50,-102.87898,-98.48772,-104.60605,-26.867641,-30.571247
51,-18.43184,-29.462368,-114.90911,-13.718191,-109.26556
52,-104.53132,-103.2469,-99.62188,-24.067232,-31.039392
53,-101.51041,-32.205395,-23.4552,-24.75201,-107.16398
54,-16.980299,-29.511051,-26.079845,-21.036858,-103.93712
55,-106.50632,-36.625923,-19.192211,-26.611881,-110.46489
56,-103.64663,-102.49371,-19.626001,-23.6729,-27.074284
57,-21.284895,-105.52804,-16.808899,-22.38886,-117.2034
58,-27.134476,-105.08606,-25.979979,-28.731068,-35.731956
59,-104.4476,-105.66226,-107.75497,-23.583931,-107.20818
60,-109.58298,-105.67691,-107.94663,-109.08774,-34.029747
61,-108.80355,-103.23993,-110.552284,-23.9272,-103.7309
62,-26.732655,-29.936388,-114.520454,-109.78312,-104.065506
63,-13.900445,-32.053402,-17.236471,-34.976254,-100.171936
64,-103.17619,-32.939884,-96.51165,-112.058685,-104.004456
65,-104.959694,-102.260254,-104.986015,-110.628815,-25.87972
66,-39.296043,-102.47703,-23.16277,-104.18455,-106.71857
67,-121.975555,-106.97761,-24.234074,-32.682846,-102.55408
68,-27.431698,-105.432594,-100.98151,-110.234,-100.86484
69,-21.79452,-106.42915,-22.94783,-145.29175,-23.919039
70,-110.1552,-105.696014,-108.44603,-130.46219,-32.368786
71,-29.931078,-33.90979,-101.01988,-118.99879,-104.052414
72,-35.44929,-103.635704,-116.534775,-17.433767,-131.21976
73,-120.728806,-104.26466,-26.594166,-104.6581,-38.046444
74,-108.83643,-103.54423,-102.98675,-109.37331,-103.42167
75,-113.93754,-102.32235,-100.39735,-106.34921,-104.55412
76,-22.175009,-115.053024,-97.03221,-22.608006,-32.557728
77,-100.765495,-103.59028,-101.46044,-118.347885,-112.27074
78,-106.4337,-107.90865,-37.051662,-35.01833,-25.672459
79,-20.977097,-104.513916,-99.16457,-106.2156,-105.13294
80,-33.496956,-106.11999,-22.780651,-26.9176,-103.63543
81,-29.733425,-110.51613,-37.605534,-25.33125,-102.8504
82,-102.443214,-102.6044,-25.371393,-103.45622,-108.808876
83,-108.31016,-104.8064,-101.88358,-112.97581,-17.762615
84,-104.83398,-23.357914,-101.926285,-106.8706,-109.62536
85,-13.014892,-109.818565,-111.220566,-105.44357,-104.055145
86,-102.03642,-106.22381,-18.360212,-27.012548,-32.06245
87,-116.39865,-101.52713,-26.060883,-22.874798,-105.431274
88,-19.67266,-113.31324,-27.298891,-100.6765,-27.978806
89,-106.654686,-29.282446,-111.465034,-24.960638,-29.96217
90,-27.934649,-99.92251,-117.57062,-108.17547,-110.72824
91,-109.52626,-30.406382,-106.923355,-102.80337,-22.159508
92,-106.974495,-28.81221,-97.69156,-27.958696,-27.006975
93,-113.65642,-24.322573,-98.34593,-107.37277,-104.12069
94,-19.921778,-100.955376,-24.906336,-18.358648,-103.068855
95,-103.79934,-106.65491,-98.17786,-28.790619,-103.55931
96,-111.75005,-110.47344,-29.679806,-23.51485,-15.241739
97,-11.015275,-34.557808,-107.70894,-41.45726,-25.08149
98,-26.297691,-103.44724,-126.88125,-25.000072,-104.64273
99,-27.535477,-28.906197,-112.58054,-105.67306,-30.287945
100,-113.25804,-27.905317,-118.84484,-19.663904,-28.846704
101,-126.35502,-98.82663,-113.15022,-106.30716,-24.247025
102,-17.123701,-113.26018,-103.857124,-106.17079,-101.53932
103,-25.696768,-29.887209,-95.43255,-104.329956,-104.42868
104,-14.5176935,-39.732307,-94.439606,-101.810776,-101.85964
105,-107.65916,-111.61449,-94.942604,-107.1069,-112.86058
106,-16.079634,-33.73384,-98.13399,-103.740746,-29.486902
107,-12.319183,-114.58787,-113.41285,-26.097458,-103.861465
108,-104.7865,-29.798862,-102.568,-112.86369,-102.38779
109,-16.121326,-104.86608,-28.5273,-25.517237,-112.89963
110,-27.353073,-105.90837,-112.0841,-107.5193,-31.035694
111,-97.05351,-106.305786,-23.012114,-17.893131,-27.52723
112,-16.307724,-19.076155,-34.616135,-96.71889,-29.99045
113,-22.173788,-108.86086,-108.11716,-116.15886,-24.412907
114,-19.399918,-26.402624,-112.382866,-108.08718,-123.13522
115,-105.99422,-27.02489,-109.29759,-22.591848,-109.82623
116,-112.82615,-108.829865,-129.13748,-100.28067,-112.33303
117,-28.517088,-103.45528,-110.18835,-103.06223,-102.3615
118,-103.05243,-23.028297,-110.34685,-109.32633,-21.083847
119,-108.08315,-31.289606,-29.341177,-106.43415,-22.822296
120,-26.26457,-26.148476,-103.157906,-109.62711,-22.251726
121,-27.628317,-24.71652,-3.2905407,-102.18921,-26.356985
122,-103.987236,-101.07106,-111.32764,-105.98414,-25.578964
123,-99.87111,-112.6878,-21.035742,-104.733116,-102.22343
124,-110.63305,-32.108833,-28.27877,-99.28379,-19.054802
125,-15.265451,-35.567764,-30.198298,-27.5767,-20.789646
126,-18.083153,-29.800224,-113.59569,-103.49543,-26.962046
127,-13.86362,-106.65491,-101.96095,-105.92887,-27.042679
128,-122.47926,-112.635,-100.98839,-33.847054,-24.085218
129,-105.52546,-29.28005,-25.783209,-26.119581,-23.975286
130,-108.695335,-37.941765,-112.19706,-104.54013,-105.658455
131,-104.96461,-29.010763,-8.0624485,-101.64191,-101.56585
132,-107.80019,-18.63839,-97.9825,-109.14447,-116.57695
133,-102.55969,-24.028059,-101.61556,-108.22336,-102.110725
134,-9.894293,-23.84823,-109.54322,-28.981993,-26.174719
135,-108.31726,-118.45172,-28.378109,-102.67166,-26.813257
136,-18.955256,-108.80683,-123.05952,-103.58047,-24.343975
137,-103.56239,-111.041275,-101.92186,-26.818346,-23.3116
138,-22.955175,-15.323404,-28.784943,-116.23375,-23.272898
139,-101.29236,-106.33657,-5.4721026,-21.048546,-19.37304
140,-23.004251,-14.137069,0.0056978613,-94.965454,-17.860518
141,-97.77787,-11.007622,-100.80297,-22.114483,-27.211685
142,-12.835168,-102.74179,-23.425436,-109.00626,-104.1945
143,-127.8142,-20.706802,-118.38733,-19.527996,-31.274866
144,-124.772865,-106.3918,-98.0612,-104.39353,-20.989431
145,-98.95907,-99.79532,-97.70652,-18.748917,-106.12962
146,-102.813095,-14.06201,-100.81406,-24.045973,-23.169594
147,-100.33329,-109.78951,-100.46057,-19.38931,-27.174458
148,-98.70937,-24.638943,-102.14858,-19.47012,-105.80739
149,-101.1811,-101.494194,-5.7871075,-20.619621,-29.97794
150,-24.09077,-19.761047,-93.01652,-102.322464,-29.2917
151,-17.524097,-112.01236,-105.002045,-22.194374,-26.018827
152,-104.39251,-101.602165,-97.82654,-23.155504,-20.577736
153,-98.437874,-19.64435,-105.428955,-99.101425,-109.251526
154,-97.105644,-14.667456,-124.57892,-99.75608,-18.452202
155,-111.70644,-103.30182,-101.54906,-101.547905,-19.015501
156,-21.147657,-27.357964,-118.357544,-22.795975,-19.792892
157,-115.91164,-14.185746,-106.18472,-23.876764,-104.93805
158,-102.426575,-9.796785,-98.211426,-27.83267,-17.91896
159,-102.66634,-14.729537,-97.45907,-102.517006,-98.81698
160,-105.65738,-6.5566177,-10.823125,-16.69391,-20.890205
161,-110.83942,-106.50789,-16.525648,-30.301407,-18.692673
162,-97.82585,-11.421196,-17.01368,-15.469247,-16.592714
163,-104.83998,-109.66631,-10.504903,-101.9028,-17.822525
164,-101.93478,-19.709824,-104.62727,-15.748943,-117.768486
165,-96.882645,-13.143889,-99.06461,-101.2752,-20.52095
166,-106.39323,-105.94441,-106.47844,-26.078018,-102.13381
167,-101.50113,-101.77896,-107.466545,-19.445837,-101.80814
168,-101.61451,-119.887535,-108.51657,-30.877394,-104.29855
169,-104.41867,-8.689577,-110.168274,-25.891258,-109.16457
170,-101.15354,-20.553223,-111.0396,-112.12523,-111.03247
171,-102.17758,-15.315734,-99.32302,-105.24589,-22.872084
172,-103.28911,-13.9593525,-102.53789,-108.79212,-26.816093
173,-99.8584,-109.577,-94.38566,-28.877092,-25.027773
174,-103.0116,-106.47858,-104.21473,-27.259573,-20.847061
175,-103.594635,-17.917768,-98.36407,-95.61865,-22.994411
176,-23.80042,-111.87252,-9.488402,-112.17366,-25.057348
177,-23.059898,-34.842808,-103.77773,-18.750254,-28.379944
178,-102.55431,-33.225002,-102.093735,-111.55001,-26.748133
179,-102.839516,-110.893875,5.8784404,-20.27588,-33.02447
180,-104.741356,-107.83497,-97.653755,-109.73182,-30.592167
181,-117.15018,-116.401184,-97.09607,-102.03337,-28.694946
182,-103.52991,-18.694336,-12.775221,-21.002327,-27.079052
183,-103.23812,-107.49392,-17.822708,-17.80602,-24.600225
184,-100.964134,-103.13741,-101.48352,-102.00997,-29.800749
185,-101.406105,-16.894213,-14.3649845,-107.38184,-33.486053
186,-103.24314,-19.801609,-100.577866,-112.08221,-28.056522
187,-108.4495,-28.951687,-22.050608,-108.50415,-18.495745
188,-100.57495,-105.18018,-110.03253,-119.33286,-124.40996
189,-107.41252,-14.2990265,-4.849462,-28.554693,-15.488742
190,-104.575554,-103.321434,-7.0865164,-107.4311,-24.990168
191,-111.60292,-107.80272,-98.95281,-19.376648,-28.989145
192,-113.49892,-33.390163,-99.36925,-120.66508,-35.651882
193,-98.95486,-31.75487,-113.11187,-19.711302,-35.634727
194,-96.876785,-27.835037,-101.77251,-20.035566,-103.85408
195,-101.81683,-9.199244,-13.339263,-101.61872,-108.758316
196,-101.18819,-7.4014816,-26.044155,-93.26872,-113.80071
197,-97.85684,-9.983392,-101.68213,-102.711914,-19.71902
198,-99.69751,-93.64666,3.0496159,-117.98832,-25.077766
199,-101.91418,-32.403976,-107.54826,-110.56517,-25.11461
200,-100.81832,-21.15127,-19.23511,-113.86408,-18.73477
201,-104.53184,-102.09466,-23.082855,-17.119286,-12.788319
202,-98.642944,-104.875824,-27.003435,-17.546967,-19.835312
203,-104.909775,-127.943146,-104.78146,-104.19358,-11.676145
204,-94.46484,-28.909271,-98.67323,-14.317612,-107.01628
205,-106.51297,-116.97147,-99.47099,-100.14732,-33.235844
206,-103.9207,-8.452496,-96.487854,-102.066605,-28.6246
207,-108.7035,-96.65985,-99.00231,-18.467161,-123.6264
208,-116.279495,-5.965615,-98.49722,-19.947466,-14.918421
209,-19.57192,-112.6839,-99.59341,-33.044544,-24.138212
210,-113.188095,-115.78416,-96.594345,-34.36582,-107.90694
211,-113.78249,-28.80577,-116.09675,-99.9427,-22.487621
212,-120.46355,-119.17299,-115.694664,-17.972933,-121.99213
213,-118.342255,-15.720084,-6.13417,-24.69346,-17.466974
214,-128.25316,-12.923623,-13.852047,-14.26528,-14.430731
215,-108.11047,-13.315754,1.4867178,-108.508316,-104.9642
216,-119.249756,-15.720341,-98.42312,-23.486416,-20.220646
217,-107.476425,-11.909252,-96.77463,-102.46588,-27.981474
218,-105.76947,-29.72664,-100.81347,-11.473115,-106.741806
219,-129.44388,-24.718908,-109.69481,-17.977749,-19.649128
220,-108.87796,-101.19472,-101.71308,-20.762558,-9.629911
221,-104.232956,-25.766844,-98.32819,-23.966366,-102.77605
222,-100.11059,-23.605103,-107.263916,-107.46302,-96.382744
223,-107.54512,-23.440401,-23.050362,-105.53064,-22.74548
224,-104.53416,-101.9515,-23.957626,-125.37205,-16.010063
225,-104.29562,-111.73459,-19.197752,-28.45225,-15.718969
226,-105.94948,-14.91035,-97.082115,-118.564705,-9.629499
227,-131.85059,-5.0572014,-103.505936,-125.27608,-105.7996
228,-105.091,-2.3641768,-18.278234,-4.397948,-107.52476
229,-105.69289,-120.76082,-98.98941,-17.37587,-36.3246
230,-20.08641,-6.6037946,-14.240638,-99.411156,-36.51143
231,-126.29591,-9.257486,-98.0971,-25.252535,-106.1909
232,-116.167366,-120.649605,-117.991425,-29.68416,-14.789394
