,It 0,It 1,It 2,It 3,It 4
0,-120.01121,-119.8698,-108.76785,-30.269428,-33.669044
1,-112.91825,-106.12301,-115.60388,-101.36211,-35.0468
2,-112.79708,-113.70704,-122.74239,-28.04544,-35.10859
3,-118.82234,-115.353966,-118.24617,-115.76792,-42.075138
4,-122.84558,-116.22919,-120.789,-121.14185,-41.1272
5,-116.207054,-114.031975,-112.11058,-113.53069,-112.91826
6,-119.109276,-114.72075,-116.52611,-118.03813,-110.57223
7,-24.42528,-127.39514,-104.27291,-32.584385,-112.29442
8,-104.64995,-121.823395,-27.60222,-32.291775,-112.13785
9,-102.9216,-106.88662,-106.90506,-29.729136,-111.91911
10,-24.491188,-116.34723,-113.31824,-30.546759,-109.89489
11,-113.59225,-113.22078,-103.759315,-31.185583,-107.61107
12,-117.224075,-112.71118,-102.96111,-33.77872,-27.333662
13,-123.28577,-106.77833,-103.53582,-33.84489,-32.930492
14,-108.1216,-27.769686,-30.476446,-34.50295,-110.946915
15,-110.07513,-105.98192,-18.434454,-30.688637,-19.930113
16,-107.97507,-108.21453,-13.725702,-110.93978,-25.226702
17,-26.723202,-115.29528,-19.672297,-110.47664,-12.837654
18,-106.022964,-33.8125,-117.77125,-110.93063,-102.7738
19,-109.75196,-104.24554,-102.02516,-27.198578,-102.24312
20,-112.449356,-25.196087,-108.43976,-116.40673,-111.79845
21,-107.099815,-26.519981,-23.792965,-117.9799,-21.277813
22,-104.195366,-104.44711,-21.873941,-114.85257,-108.257576
23,-113.4632,-104.021324,-102.4278,-26.229607,-101.775764
24,-113.51565,-101.843666,-124.335724,-33.08799,-29.999495
25,-106.127525,-112.64979,-104.85144,-113.6752,-23.901474
26,-103.8684,-113.918396,-98.6881,-19.524305,-106.66934
27,-115.21848,-20.859543,-112.04361,-30.41955,-107.674866
28,-96.13015,-134.99615,-101.90019,-30.378405,-102.51147
29,-116.39456,-100.509094,-24.45659,-109.11258,-27.432709
30,-106.09245,-105.3842,-103.29691,-20.99253,-20.819443
31,-95.991066,-101.89527,-103.795586,-103.88772,-112.302
32,-13.349753,-103.48002,-23.37338,-116.09014,-29.608839
33,-17.547165,-25.731285,-111.810486,-105.86209,-107.543365
34,-101.50989,-25.546467,-97.79176,-121.05621,-102.37519
35,-16.312593,-104.65145,-98.98824,-15.26863,-113.85362
36,-93.45194,-11.778827,-23.533869,-21.248554,-103.29438
37,-117.86629,-103.834984,-116.54982,-30.172266,-103.933426
38,-102.2989,-109.88898,-111.23638,-103.64392,-100.42159
39,-100.93202,-109.69498,-109.13159,-106.84745,-102.67973
40,-101.33438,-111.85141,-103.17722,-101.92851,-28.896254
41,-26.801645,-111.41139,-102.214264,-103.677216,-35.116615
42,-16.48439,-117.876495,-13.730506,-32.220825,-34.553844
43,-100.38046,-100.08856,-15.702759,-100.86673,-25.622776
44,-25.851875,-32.004356,-102.48465,-106.80683,-107.62685
45,-106.672615,-105.97081,-13.501255,-102.57285,-123.40559
46,-119.34587,-113.07539,-101.3829,-117.3349,-34.916386
47,-98.48514,-24.653961,-23.043318,-105.06353,-100.46967
48,-99.53587,-119.07771,-103.81375,-111.8878,-113.38246
49,-92.5921,-114.451706,-107.669136,-103.33269,-33.061684
50,-101.11798,-26.064451,-109.621056,-101.864334,-32.294903
51,-112.54842,-109.42642,-105.78277,-104.93363,-107.3384
52,-25.71585,-28.24301,-108.122894,-16.367373,-30.873425
53,-97.09255,-113.96023,-99.24803,-101.84187,-101.21056
54,-103.905426,-33.98535,-23.374207,-23.457115,-26.732126
55,-20.911503,-104.95422,-110.50681,-103.117065,-100.91308
56,-24.189201,-104.15558,-16.283403,-100.537964,-33.734932
57,-100.35985,-113.853386,-102.10824,-28.492056,-33.101803
58,-16.65497,-103.73105,-116.83652,-21.832565,-128.66972
59,-93.113914,-104.29831,-101.130035,-103.48052,-105.089966
60,-100.72731,-111.12194,-102.61976,-115.45584,-106.43213
61,-22.945805,-101.83584,-107.13126,-113.140236,-34.014973
62,-100.4655,-103.73808,-117.03743,-103.14175,-102.90646
