,It 0,It 1,It 2,It 3,It 4
0,-21.40279,-111.34791,-101.70927,-110.84747,-115.22619
1,-116.55201,-116.07992,-26.90607,-32.76704,-118.36884
2,-115.38232,-115.96099,-28.874378,-23.136692,-112.18267
3,-116.15415,-125.46607,-29.14371,-25.291739,-113.28466
4,-114.25531,-120.9945,-37.528484,-117.74647,-119.33753
5,-32.008816,-112.736084,-31.264582,-120.84885,-113.426674
6,-116.79429,-122.68537,-30.01133,-110.72718,-31.197035
7,-32.364418,-29.912888,-27.994558,-110.920586,-25.659842
8,-32.748463,-30.815895,-33.395557,-115.59241,-114.00764
9,-107.2214,-32.256054,-111.74713,-115.92681,-107.621574
10,-18.863255,-121.666756,-115.70284,-19.438381,-105.53628
11,-18.833984,-20.748192,-116.84608,-112.63124,-21.617226
12,-16.939005,-25.079683,-108.55373,-113.13742,-101.44262
13,-115.745636,-106.129524,-107.639694,-103.687485,-100.1374
14,-21.548588,-112.07701,-121.45931,-115.53207,-101.45921
15,-26.423986,-26.523348,-33.12255,-21.931654,-110.437294
16,-108.15743,-17.508837,-113.82588,-18.738512,-102.6871
17,-121.04119,-104.66862,-26.463005,-107.49716,-13.294886
18,-108.578354,-113.7583,-129.15576,-106.23776,-115.72026
19,-106.41212,-115.839554,-110.14143,-108.48358,-18.312424
20,-102.842224,-108.66582,-31.234116,-25.477413,-15.0702715
21,-106.29647,-105.187965,-116.98836,-27.258762,-123.30391
22,-103.997,-102.57682,-23.98754,-105.8172,-18.309593
23,-106.200714,-103.705696,-23.275604,-110.455605,-107.52103
24,-20.238647,-115.34322,-105.179115,-20.789782,-35.431595
25,-108.04522,-103.91281,-109.41342,-21.321005,-101.67352
26,-100.09986,-22.436768,-20.157934,-107.088615,-32.55869
27,-102.02382,-24.84283,-14.72271,-15.134856,-28.378855
28,-105.468666,-20.413416,-28.850416,-28.303108,-119.89204
29,-21.68538,-100.59447,-101.0012,-14.828341,-102.55197
30,-103.71441,-104.2236,-110.24996,-16.131474,-43.02697
31,-115.56562,-110.242584,-101.57481,-108.94112,-32.74771
32,-96.39959,-113.02813,-21.57437,-102.71536,-40.67696
33,-111.956505,-23.24175,-28.026804,-22.203918,-102.310524
34,-96.344635,-110.44547,-100.731964,-20.099201,-115.7551
35,-17.204515,-23.512066,-103.47907,-103.27099,-37.667053
36,-105.463,-106.38404,-98.50122,-106.94501,-25.667105
37,-114.16208,-103.44186,-19.18894,-108.42144,-46.63306
38,-103.66128,-104.07071,-102.22824,-21.395533,-105.607124
39,-23.958023,-102.32827,-102.21191,-17.944904,-107.85285
40,-101.24014,-106.64629,-103.883965,-111.80574,-102.07382
41,-100.18346,-15.524813,-101.73156,-114.27331,-112.63705
42,-100.87189,-100.61766,-99.76178,-22.358246,-24.508017
43,-33.04157,-23.673038,-17.58199,-15.990354,-27.504011
44,-103.04592,-113.3458,-25.809898,-23.846872,-111.07628
45,-101.107605,-21.893469,-22.962042,-24.024565,-102.22411
46,-101.170425,-104.82994,-16.548872,-21.451323,-111.345894
47,-19.89089,-23.261215,-19.2542,-16.794985,-107.4852
48,-104.853325,-24.534065,-15.237499,-19.287636,-35.113285
49,-104.83912,-106.41787,-97.56516,-23.480984,-103.620094
50,-95.86201,-106.91614,-98.87548,-18.748596,-104.19556
51,-17.419582,-22.648724,-24.084558,-17.364655,-28.057386
52,-100.30522,-115.27087,-18.447857,-19.182081,-41.321323
53,-29.271017,-104.19991,-110.15979,-19.001087,-99.14615
54,-102.178825,-13.909988,-111.935814,-12.41332,-102.09631
55,-100.18187,-100.447296,-16.047438,-19.98601,-100.36473
56,-25.812365,-105.7616,-20.633308,-116.58852,-111.75128
57,-102.74115,-112.76327,-24.523226,-12.801296,-20.215939
58,-108.87518,-26.012514,-23.727268,-106.13361,-102.55284
59,-97.53337,-25.077734,-95.46099,-20.446491,-20.995684
60,-109.84296,-19.901617,-112.11331,-18.81893,-102.34039
61,-23.656868,-105.16008,-109.332146,-19.157108,-116.18173
62,-123.47951,-99.52333,-20.64832,-15.4149275,-16.52801
63,-103.59326,-21.266754,-23.314432,-21.770187,-107.83868
64,-100.02442,-109.28895,-12.968181,-20.39294,-17.37116
65,-96.15342,-25.223415,-18.859175,-20.036688,-19.326468
66,-24.855764,-102.947685,-17.184795,-107.96982,-124.20676
